Municipality,ref: ISTAT,Waste type,Quantity,category
Breguzzo,4022024,Organic Fraction (t),"75,644",1
Brentonico,4022025,Organic Fraction (t),"447,330",1
Bresimo,4022026,Organic Fraction (t),"24,779",1
Brez,4022027,Organic Fraction (t),"76,530",1
Brione,4022028,Organic Fraction (t),"13,511",1
Caderzone Terme,4022029,Organic Fraction (t),"117,029",1
Cagno,4022030,Organic Fraction (t),"33,547",1
Calavino,4022031,Organic Fraction (t),"172,558",1
Calceranica al Lago,4022032,Organic Fraction (t),"261,399",1
Caldes,4022033,Organic Fraction (t),"50,466",1
Caldonazzo,4022034,Organic Fraction (t),"548,826",1
Calliano,4022035,Organic Fraction (t),"180,937",1
Campitello di Fassa,4022036,Organic Fraction (t),"231,231",1
Campodenno,4022037,Organic Fraction (t),"144,195",1
Canal San Bovo,4022038,Organic Fraction (t),"142,354",1
Canazei,4022039,Organic Fraction (t),"660,953",1
Capriana,4022040,Organic Fraction (t),"92,010",1
Carano,4022041,Organic Fraction (t),"287,294",1
Carisolo,4022042,Organic Fraction (t),"221,611",1
Carzano,4022043,Organic Fraction (t),"98,468",1
Castel Condino,4022045,Organic Fraction (t),"26,278",1
Castelfondo,4022046,Organic Fraction (t),"66,523",1
Castello Tesino,4022048,Organic Fraction (t),"77,066",1
Castello-Molina di Fiemme,4022047,Organic Fraction (t),"387,039",1
Castelnuovo,4022049,Organic Fraction (t),"106,905",1
Cavalese,4022050,Organic Fraction (t),"813,025",1
Cavareno,4022051,Organic Fraction (t),"130,757",1
Cavedago,4022052,Organic Fraction (t),"115,870",1
Cavedine,4022053,Organic Fraction (t),"341,656",1
Cavizzana,4022054,Organic Fraction (t),"13,816",1
Cembra,4022055,Organic Fraction (t),"149,510",1
Centa San Nicolo,4022056,Organic Fraction (t),"70,117",1
Cimego,4022057,Organic Fraction (t),"45,216",1
Cimone,4022058,Organic Fraction (t),"51,044",1
Cinte Tesino,4022059,Organic Fraction (t),"20,749",1
Cis,4022060,Organic Fraction (t),"30,498",1
Civezzano,4022061,Organic Fraction (t),"427,656",1
Cles,4022062,Organic Fraction (t),"671,989",1
Cloz,4022063,Organic Fraction (t),"69,477",1
