Municipality,ref: ISTAT,Waste type,Quantity,category
Sant\'Orsola Terme,4022168,Waste Electrical and Electronic Equipment (t),5.527,7
Sanzeno,4022169,Waste Electrical and Electronic Equipment (t),8.141,7
Sarnonico,4022170,Waste Electrical and Electronic Equipment (t),8.584,7
Scurelle,4022171,Waste Electrical and Electronic Equipment (t),12.498,7
Segonzano,4022172,Waste Electrical and Electronic Equipment (t),11.853,7
Sella Giudicarie,4022246,Waste Electrical and Electronic Equipment (t),24.95,7
Sfruz,4022173,Waste Electrical and Electronic Equipment (t),4.036,7
Soraga,4022176,Waste Electrical and Electronic Equipment (t),0.45,7
Sover,4022177,Waste Electrical and Electronic Equipment (t),6.638,7
Spiazzo,4022179,Waste Electrical and Electronic Equipment (t),13.294,7
Spormaggiore,4022180,Waste Electrical and Electronic Equipment (t),10.204,7
Sporminore,4022181,Waste Electrical and Electronic Equipment (t),6.129,7
Stenico,4022182,Waste Electrical and Electronic Equipment (t),11.166,7
Storo,4022183,Waste Electrical and Electronic Equipment (t),34.472,7
Strembo,4022184,Waste Electrical and Electronic Equipment (t),6.326,7
Telve,4022188,Waste Electrical and Electronic Equipment (t),14.244,7
Telve di Sopra,4022189,Waste Electrical and Electronic Equipment (t),5.858,7
Tenna,4022190,Waste Electrical and Electronic Equipment (t),5.684,7
Tenno,4022191,Waste Electrical and Electronic Equipment (t),14.011,7
Terragnolo,4022193,Waste Electrical and Electronic Equipment (t),6.429,7
Terzolas,4022195,Waste Electrical and Electronic Equipment (t),4.827,7
Tesero,4022196,Waste Electrical and Electronic Equipment (t),25.409,7
Tione di Trento,4022199,Waste Electrical and Electronic Equipment (t),27.005,7
Ton,4022200,Waste Electrical and Electronic Equipment (t),11.337,7
Torcegno,4022202,Waste Electrical and Electronic Equipment (t),4.927,7
Trambileno,4022203,Waste Electrical and Electronic Equipment (t),10.777,7
Tre Ville,4022247,Waste Electrical and Electronic Equipment (t),16.286,7
Trento,4022205,Waste Electrical and Electronic Equipment (t),731.74,7
Valdaone,4022232,Waste Electrical and Electronic Equipment (t),9.397,7
Valfloriana,4022209,Waste Electrical and Electronic Equipment (t),3.396,7
Vallarsa,4022210,Waste Electrical and Electronic Equipment (t),17.463,7
Vallelaghi,4022248,Waste Electrical and Electronic Equipment (t),38.864,7
Varena,4022211,Waste Electrical and Electronic Equipment (t),7.648,7
Vermiglio,4022213,Waste Electrical and Electronic Equipment (t),19.991,7
Vignola-Falesina,4022216,Waste Electrical and Electronic Equipment (t),1.749,7
Vigo di Fassa,4022217,Waste Electrical and Electronic Equipment (t),11.135,7
Villa d\'Anaunia,4022249,Waste Electrical and Electronic Equipment (t),42.094,7
Villa Lagarina,4022222,Waste Electrical and Electronic Equipment (t),34.615,7
Volano,4022224,Waste Electrical and Electronic Equipment (t),22.981,7
Zambana,4022225,Waste Electrical and Electronic Equipment (t),13.15,7
Ziano di Fiemme,4022226,Waste Electrical and Electronic Equipment (t),15.593,7
Ala,4022001,Waste Electrical and Electronic Equipment (t),60.77,7
Albiano,4022002,Waste Electrical and Electronic Equipment (t),10.527,7
Aldeno,4022003,Waste Electrical and Electronic Equipment (t),22.505,7
Altavalle,4022235,Waste Electrical and Electronic Equipment (t),12.459,7
Altopiano Della Vigolana,4022236,Waste Electrical and Electronic Equipment (t),34.539,7
Amblar-Don,4022237,Waste Electrical and Electronic Equipment (t),5.818,7
Andalo,4022005,Waste Electrical and Electronic Equipment (t),29.682,7
Arco,4022006,Waste Electrical and Electronic Equipment (t),115.827,7
Avio,4022007,Waste Electrical and Electronic Equipment (t),40.495,7
Baselga di Pine,4022009,Waste Electrical and Electronic Equipment (t),40.869,7
Bedollo,4022011,Waste Electrical and Electronic Equipment (t),11.253,7
Besenello,4022013,Waste Electrical and Electronic Equipment (t),19.631,7
Bieno,4022015,Waste Electrical and Electronic Equipment (t),3.253,7
Bleggio Superiore,4022017,Waste Electrical and Electronic Equipment (t),13.699,7
Bocenago,4022018,Waste Electrical and Electronic Equipment (t),4.326,7
Bondone,4022021,Waste Electrical and Electronic Equipment (t),5.632,7
Borgo Chiese,4022238,Waste Electrical and Electronic Equipment (t),16.009,7
Borgo Lares,4022239,Waste Electrical and Electronic Equipment (t),5.718,7
Borgo Valsugana,4022022,Waste Electrical and Electronic Equipment (t),59.645,7
Brentonico,4022025,Waste Electrical and Electronic Equipment (t),30.158,7
Bresimo,4022026,Waste Electrical and Electronic Equipment (t),2.331,7
Brez,4022027,Waste Electrical and Electronic Equipment (t),7.15,7
Caderzone Terme,4022029,Waste Electrical and Electronic Equipment (t),8.045,7
Cagno,4022030,Waste Electrical and Electronic Equipment (t),2.993,7
Calceranica al Lago,4022032,Waste Electrical and Electronic Equipment (t),14.906,7
Caldes,4022033,Waste Electrical and Electronic Equipment (t),4.922,7
Caldonazzo,4022034,Waste Electrical and Electronic Equipment (t),28.379,7
Calliano,4022035,Waste Electrical and Electronic Equipment (t),4.011,7
Campitello di Fassa,4022036,Waste Electrical and Electronic Equipment (t),9.97,7
Campodenno,4022037,Waste Electrical and Electronic Equipment (t),13.181,7
Canal San Bovo,4022038,Waste Electrical and Electronic Equipment (t),11.576,7
Canazei,4022039,Waste Electrical and Electronic Equipment (t),23.852,7
Capriana,4022040,Waste Electrical and Electronic Equipment (t),5.038,7
Carano,4022041,Waste Electrical and Electronic Equipment (t),15.784,7
Carisolo,4022042,Waste Electrical and Electronic Equipment (t),16.43,7
Carzano,4022043,Waste Electrical and Electronic Equipment (t),4.205,7
Castel Condino,4022045,Waste Electrical and Electronic Equipment (t),1.89,7
Castel Ivano,4022240,Waste Electrical and Electronic Equipment (t),25.796,7
Castelfondo,4022046,Waste Electrical and Electronic Equipment (t),5.985,7
Castello Tesino,4022048,Waste Electrical and Electronic Equipment (t),18.869,7
Castello-Molina di Fiemme,4022047,Waste Electrical and Electronic Equipment (t),21.923,7
Castelnuovo,4022049,Waste Electrical and Electronic Equipment (t),8.006,7
Cavalese,4022050,Waste Electrical and Electronic Equipment (t),46.293,7
Cavareno,4022051,Waste Electrical and Electronic Equipment (t),12.412,7
Cavedago,4022052,Waste Electrical and Electronic Equipment (t),4.863,7
Cavedine,4022053,Waste Electrical and Electronic Equipment (t),21.504,7
Cavizzana,4022054,Waste Electrical and Electronic Equipment (t),1.104,7
Cembra Lisignago,4022241,Waste Electrical and Electronic Equipment (t),17.152,7
Cimone,4022058,Waste Electrical and Electronic Equipment (t),4.998,7
Cinte Tesino,4022059,Waste Electrical and Electronic Equipment (t),3.037,7
Cis,4022060,Waste Electrical and Electronic Equipment (t),2.807,7
Civezzano,4022061,Waste Electrical and Electronic Equipment (t),26.673,7
Cles,4022062,Waste Electrical and Electronic Equipment (t),62.592,7
Cloz,4022063,Waste Electrical and Electronic Equipment (t),6.055,7
Comano Terme,4022228,Waste Electrical and Electronic Equipment (t),29.81,7
Commezzadura,4022064,Waste Electrical and Electronic Equipment (t),11.258,7
Conta\',4022242,Waste Electrical and Electronic Equipment (t),13.207,7
Croviana,4022068,Waste Electrical and Electronic Equipment (t),5.756,7
Daiano,4022070,Waste Electrical and Electronic Equipment (t),6.698,7
Dambel,4022071,Waste Electrical and Electronic Equipment (t),3.884,7
Denno,4022074,Waste Electrical and Electronic Equipment (t),10.911,7
Dimaro Folgarida,4022233,Waste Electrical and Electronic Equipment (t),30.977,7
Drena,4022078,Waste Electrical and Electronic Equipment (t),3.543,7
Dro,4022079,Waste Electrical and Electronic Equipment (t),30.592,7
Faedo,4022080,Waste Electrical and Electronic Equipment (t),4.962,7
Fai della Paganella,4022081,Waste Electrical and Electronic Equipment (t),11.7,7
Fiave,4022083,Waste Electrical and Electronic Equipment (t),9.149,7
Fierozzo,4022085,Waste Electrical and Electronic Equipment (t),3.263,7
Folgaria,4022087,Waste Electrical and Electronic Equipment (t),40.67,7
Fondo,4022088,Waste Electrical and Electronic Equipment (t),15.811,7
Fornace,4022089,Waste Electrical and Electronic Equipment (t),8.701,7
Frassilongo,4022090,Waste Electrical and Electronic Equipment (t),2.761,7
Garniga Terme,4022091,Waste Electrical and Electronic Equipment (t),3.209,7
Giovo,4022092,Waste Electrical and Electronic Equipment (t),18.252,7
Giustino,4022093,Waste Electrical and Electronic Equipment (t),9.319,7
Grigno,4022095,Waste Electrical and Electronic Equipment (t),15.168,7
Imer,4022097,Waste Electrical and Electronic Equipment (t),8.895,7
Isera,4022098,Waste Electrical and Electronic Equipment (t),19.45,7
Lavarone,4022102,Waste Electrical and Electronic Equipment (t),20.276,7
Lavis,4022103,Waste Electrical and Electronic Equipment (t),64.816,7
Ledro,4022229,Waste Electrical and Electronic Equipment (t),44.435,7
Levico Terme,4022104,Waste Electrical and Electronic Equipment (t),70.935,7
Livo,4022106,Waste Electrical and Electronic Equipment (t),7.179,7
Lona-Lases,4022108,Waste Electrical and Electronic Equipment (t),6.169,7
Luserna,4022109,Waste Electrical and Electronic Equipment (t),3.346,7
Madruzzo,4022243,Waste Electrical and Electronic Equipment (t),21.078,7
Male,4022110,Waste Electrical and Electronic Equipment (t),20.848,7
Malosco,4022111,Waste Electrical and Electronic Equipment (t),5.809,7
Massimeno,4022112,Waste Electrical and Electronic Equipment (t),1.198,7
Mazzin,4022113,Waste Electrical and Electronic Equipment (t),6.269,7
Mezzana,4022114,Waste Electrical and Electronic Equipment (t),13.821,7
Mezzano,4022115,Waste Electrical and Electronic Equipment (t),12.403,7
Mezzocorona,4022116,Waste Electrical and Electronic Equipment (t),39.515,7
Mezzolombardo,4022117,Waste Electrical and Electronic Equipment (t),51.073,7
Moena,4022118,Waste Electrical and Electronic Equipment (t),22.369,7
Molveno,4022120,Waste Electrical and Electronic Equipment (t),18.522,7
Mori,4022123,Waste Electrical and Electronic Equipment (t),78.339,7
Nago-Torbole,4022124,Waste Electrical and Electronic Equipment (t),29.0,7
Nave San Rocco,4022126,Waste Electrical and Electronic Equipment (t),9.761,7
Nogaredo,4022127,Waste Electrical and Electronic Equipment (t),9.005,7
Nomi,4022128,Waste Electrical and Electronic Equipment (t),5.846,7
Novaledo,4022129,Waste Electrical and Electronic Equipment (t),8.719,7
Ospedaletto,4022130,Waste Electrical and Electronic Equipment (t),5.72,7
Ossana,4022131,Waste Electrical and Electronic Equipment (t),11.315,7
Palu del Fersina,4022133,Waste Electrical and Electronic Equipment (t),1.212,7
Panchia ,4022134,Waste Electrical and Electronic Equipment (t),8.382,7
Peio,4022136,Waste Electrical and Electronic Equipment (t),16.612,7
Pellizzano,4022137,Waste Electrical and Electronic Equipment (t),13.747,7
Pelugo,4022138,Waste Electrical and Electronic Equipment (t),3.22,7
Pergine Valsugana,4022139,Waste Electrical and Electronic Equipment (t),143.706,7
Pieve Di Bono-Prezzo,4022234,Waste Electrical and Electronic Equipment (t),11.474,7
Pieve Tesino,4022142,Waste Electrical and Electronic Equipment (t),5.983,7
Pinzolo,4022143,Waste Electrical and Electronic Equipment (t),66.1,7
Pomarolo,4022144,Waste Electrical and Electronic Equipment (t),14.396,7
Porte Di Rendena,4022244,Waste Electrical and Electronic Equipment (t),14.663,7
Predaia,4022230,Waste Electrical and Electronic Equipment (t),66.503,7
Predazzo,4022147,Waste Electrical and Electronic Equipment (t),48.694,7
Primiero San Martino Di Castrozza,4022245,Waste Electrical and Electronic Equipment (t),59.728,7
Rabbi,4022150,Waste Electrical and Electronic Equipment (t),13.177,7
Revo,4022152,Waste Electrical and Electronic Equipment (t),11.389,7
Riva del Garda,4022153,Waste Electrical and Electronic Equipment (t),128.976,7
Romallo,4022154,Waste Electrical and Electronic Equipment (t),5.57,7
Romeno,4022155,Waste Electrical and Electronic Equipment (t),14.585,7
Roncegno Terme,4022156,Waste Electrical and Electronic Equipment (t),24.255,7
Ronchi Valsugana,4022157,Waste Electrical and Electronic Equipment (t),3.601,7
Ronzo-Chienis,4022135,Waste Electrical and Electronic Equipment (t),12.645,7
Ronzone,4022159,Waste Electrical and Electronic Equipment (t),7.213,7
Rovere della Luna,4022160,Waste Electrical and Electronic Equipment (t),11.949,7
Rovereto,4022161,Waste Electrical and Electronic Equipment (t),308.258,7
Ruffre-Mendola,4022162,Waste Electrical and Electronic Equipment (t),5.527,7
Rumo,4022163,Waste Electrical and Electronic Equipment (t),8.299,7
Sagron Mis,4022164,Waste Electrical and Electronic Equipment (t),1.528,7
Samone,4022165,Waste Electrical and Electronic Equipment (t),2.936,7
San Lorenzo Dorsino,4022231,Waste Electrical and Electronic Equipment (t),15.372,7
San Michele all\'Adige,4022167,Waste Electrical and Electronic Equipment (t),23.087,7
Sant\'Orsola Terme,4022168,Waste Electrical and Electronic Equipment (t),7.483,7
Sanzeno,4022169,Waste Electrical and Electronic Equipment (t),8.59,7
Sarnonico,4022170,Waste Electrical and Electronic Equipment (t),8.89,7
Scurelle,4022171,Waste Electrical and Electronic Equipment (t),9.636,7
Segonzano,4022172,Waste Electrical and Electronic Equipment (t),11.153,7
Sella Giudicarie,4022246,Waste Electrical and Electronic Equipment (t),26.488,7
Sen Jan di Fassa-San Giovanni di Fassa,4022250,Waste Electrical and Electronic Equipment (t),29.93,7
Sfruz,4022173,Waste Electrical and Electronic Equipment (t),4.493,7
Soraga,4022176,Waste Electrical and Electronic Equipment (t),1.31,7
Sover,4022177,Waste Electrical and Electronic Equipment (t),6.211,7
Spiazzo,4022179,Waste Electrical and Electronic Equipment (t),14.135,7
Spormaggiore,4022180,Waste Electrical and Electronic Equipment (t),9.719,7
Sporminore,4022181,Waste Electrical and Electronic Equipment (t),6.339,7
Stenico,4022182,Waste Electrical and Electronic Equipment (t),11.872,7
Storo,4022183,Waste Electrical and Electronic Equipment (t),35.917,7
Strembo,4022184,Waste Electrical and Electronic Equipment (t),6.806,7
Telve,4022188,Waste Electrical and Electronic Equipment (t),13.395,7
Telve di Sopra,4022189,Waste Electrical and Electronic Equipment (t),4.758,7
Tenna,4022190,Waste Electrical and Electronic Equipment (t),7.391,7
Tenno,4022191,Waste Electrical and Electronic Equipment (t),13.183,7
Terragnolo,4022193,Waste Electrical and Electronic Equipment (t),3.396,7
Terzolas,4022195,Waste Electrical and Electronic Equipment (t),3.746,7
Tesero,4022196,Waste Electrical and Electronic Equipment (t),31.052,7
Tione di Trento,4022199,Waste Electrical and Electronic Equipment (t),29.001,7
Ton,4022200,Waste Electrical and Electronic Equipment (t),11.627,7
Torcegno,4022202,Waste Electrical and Electronic Equipment (t),4.243,7
Trambileno,4022203,Waste Electrical and Electronic Equipment (t),5.538,7
Tre Ville,4022247,Waste Electrical and Electronic Equipment (t),17.574,7
Trento,4022205,Waste Electrical and Electronic Equipment (t),758.816,7
Valdaone,4022232,Waste Electrical and Electronic Equipment (t),9.793,7
Valfloriana,4022209,Waste Electrical and Electronic Equipment (t),3.98,7
Vallarsa,4022210,Waste Electrical and Electronic Equipment (t),12.103,7
Vallelaghi,4022248,Waste Electrical and Electronic Equipment (t),36.86,7
Varena,4022211,Waste Electrical and Electronic Equipment (t),9.213,7
Vermiglio,4022213,Waste Electrical and Electronic Equipment (t),15.226,7
Vignola-Falesina,4022216,Waste Electrical and Electronic Equipment (t),1.666,7
Villa d\'Anaunia,4022249,Waste Electrical and Electronic Equipment (t),43.222,7
Villa Lagarina,4022222,Waste Electrical and Electronic Equipment (t),34.14,7
Volano,4022224,Waste Electrical and Electronic Equipment (t),24.107,7
Zambana,4022225,Waste Electrical and Electronic Equipment (t),12.346,7
Ziano di Fiemme,4022226,Waste Electrical and Electronic Equipment (t),18.887,7
Ala,4022001,Waste Electrical and Electronic Equipment (t),54.689,7
Albiano,4022002,Waste Electrical and Electronic Equipment (t),10.919,7
Aldeno,4022003,Waste Electrical and Electronic Equipment (t),23.09,7
Altavalle,4022235,Waste Electrical and Electronic Equipment (t),12.815,7
Altopiano Della Vigolana,4022236,Waste Electrical and Electronic Equipment (t),40.37,7
Amblar-Don,4022237,Waste Electrical and Electronic Equipment (t),5.805,7
Andalo,4022005,Waste Electrical and Electronic Equipment (t),30.656,7
Arco,4022006,Waste Electrical and Electronic Equipment (t),116.332,7
Avio,4022007,Waste Electrical and Electronic Equipment (t),38.502,7
Baselga di Pine,4022009,Waste Electrical and Electronic Equipment (t),41.28,7
Bedollo,4022011,Waste Electrical and Electronic Equipment (t),13.5,7
Besenello,4022013,Waste Electrical and Electronic Equipment (t),23.399,7
Bieno,4022015,Waste Electrical and Electronic Equipment (t),4.373,7
Bleggio Superiore,4022017,Waste Electrical and Electronic Equipment (t),13.912,7
Bocenago,4022018,Waste Electrical and Electronic Equipment (t),4.232,7
Bondone,4022021,Waste Electrical and Electronic Equipment (t),5.632,7
Borgo Chiese,4022238,Waste Electrical and Electronic Equipment (t),16.119,7
Borgo Lares,4022239,Waste Electrical and Electronic Equipment (t),5.908,7
Borgo Valsugana,4022022,Waste Electrical and Electronic Equipment (t),60.957,7
Brentonico,4022025,Waste Electrical and Electronic Equipment (t),32.899,7
Bresimo,4022026,Waste Electrical and Electronic Equipment (t),2.385,7
Brez,4022027,Waste Electrical and Electronic Equipment (t),7.112,7
Caderzone Terme,4022029,Waste Electrical and Electronic Equipment (t),8.25,7
Cagno,4022030,Waste Electrical and Electronic Equipment (t),2.973,7
Calceranica al Lago,4022032,Waste Electrical and Electronic Equipment (t),14.28,7
Caldes,4022033,Waste Electrical and Electronic Equipment (t),6.458,7
Caldonazzo,4022034,Waste Electrical and Electronic Equipment (t),27.18,7
Calliano,4022035,Waste Electrical and Electronic Equipment (t),2.721,7
Campitello di Fassa,4022036,Waste Electrical and Electronic Equipment (t),10.808,7
Campodenno,4022037,Waste Electrical and Electronic Equipment (t),13.469,7
Canal San Bovo,4022038,Waste Electrical and Electronic Equipment (t),12.034,7
Canazei,4022039,Waste Electrical and Electronic Equipment (t),27.175,7
Capriana,4022040,Waste Electrical and Electronic Equipment (t),4.722,7
Carano,4022041,Waste Electrical and Electronic Equipment (t),14.586,7
Carisolo,4022042,Waste Electrical and Electronic Equipment (t),16.783,7
Carzano,4022043,Waste Electrical and Electronic Equipment (t),4.569,7
Castel Condino,4022045,Waste Electrical and Electronic Equipment (t),1.969,7
Castel Ivano,4022240,Waste Electrical and Electronic Equipment (t),28.746,7
Castelfondo,4022046,Waste Electrical and Electronic Equipment (t),5.954,7
Castello Tesino,4022048,Waste Electrical and Electronic Equipment (t),12.81,7
Castello-Molina di Fiemme,4022047,Waste Electrical and Electronic Equipment (t),20.325,7
Castelnuovo,4022049,Waste Electrical and Electronic Equipment (t),9.138,7
Cavalese,4022050,Waste Electrical and Electronic Equipment (t),42.718,7
Cavareno,4022051,Waste Electrical and Electronic Equipment (t),12.505,7
Cavedago,4022052,Waste Electrical and Electronic Equipment (t),4.94,7
Cavedine,4022053,Waste Electrical and Electronic Equipment (t),22.657,7
Cavizzana,4022054,Waste Electrical and Electronic Equipment (t),1.448,7
Cembra Lisignago,4022241,Waste Electrical and Electronic Equipment (t),17.718,7
Cimone,4022058,Waste Electrical and Electronic Equipment (t),5.187,7
Cinte Tesino,4022059,Waste Electrical and Electronic Equipment (t),3.595,7
Cis,4022060,Waste Electrical and Electronic Equipment (t),2.868,7
Civezzano,4022061,Waste Electrical and Electronic Equipment (t),22.27,7
Cles,4022062,Waste Electrical and Electronic Equipment (t),62.244,7
Cloz,4022063,Waste Electrical and Electronic Equipment (t),6.024,7
Comano Terme,4022228,Waste Electrical and Electronic Equipment (t),29.945,7
Commezzadura,4022064,Waste Electrical and Electronic Equipment (t),12.111,7
Conta\',4022242,Waste Electrical and Electronic Equipment (t),12.908,7
Croviana,4022068,Waste Electrical and Electronic Equipment (t),6.944,7
Daiano,4022070,Waste Electrical and Electronic Equipment (t),6.187,7
Dambel,4022071,Waste Electrical and Electronic Equipment (t),3.876,7
Denno,4022074,Waste Electrical and Electronic Equipment (t),11.094,7
Dimaro Folgarida,4022233,Waste Electrical and Electronic Equipment (t),29.274,7
Drena,4022078,Waste Electrical and Electronic Equipment (t),3.591,7
Dro,4022079,Waste Electrical and Electronic Equipment (t),30.851,7
Faedo,4022080,Waste Electrical and Electronic Equipment (t),5.151,7
Fai della Paganella,4022081,Waste Electrical and Electronic Equipment (t),11.695,7
Fiave,4022083,Waste Electrical and Electronic Equipment (t),9.08,7
Fierozzo,4022085,Waste Electrical and Electronic Equipment (t),2.76,7
Folgaria,4022087,Waste Electrical and Electronic Equipment (t),36.854,7
Fondo,4022088,Waste Electrical and Electronic Equipment (t),15.741,7
Fornace,4022089,Waste Electrical and Electronic Equipment (t),7.25,7
Frassilongo,4022090,Waste Electrical and Electronic Equipment (t),2.56,7
Garniga Terme,4022091,Waste Electrical and Electronic Equipment (t),3.183,7
Giovo,4022092,Waste Electrical and Electronic Equipment (t),18.764,7
Giustino,4022093,Waste Electrical and Electronic Equipment (t),9.444,7
Grigno,4022095,Waste Electrical and Electronic Equipment (t),18.387,7
Imer,4022097,Waste Electrical and Electronic Equipment (t),9.149,7
Isera,4022098,Waste Electrical and Electronic Equipment (t),17.232,7
Lavarone,4022102,Waste Electrical and Electronic Equipment (t),22.076,7
Lavis,4022103,Waste Electrical and Electronic Equipment (t),67.434,7
Ledro,4022229,Waste Electrical and Electronic Equipment (t),44.363,7
Levico Terme,4022104,Waste Electrical and Electronic Equipment (t),48.25,7
Livo,4022106,Waste Electrical and Electronic Equipment (t),7.156,7
Lona-Lases,4022108,Waste Electrical and Electronic Equipment (t),6.52,7
Luserna,4022109,Waste Electrical and Electronic Equipment (t),3.512,7
Madruzzo,4022243,Waste Electrical and Electronic Equipment (t),21.691,7
Male,4022110,Waste Electrical and Electronic Equipment (t),22.313,7
Malosco,4022111,Waste Electrical and Electronic Equipment (t),5.779,7
Massimeno,4022112,Waste Electrical and Electronic Equipment (t),1.281,7
Mazzin,4022113,Waste Electrical and Electronic Equipment (t),5.186,7
Mezzana,4022114,Waste Electrical and Electronic Equipment (t),11.162,7
Mezzano,4022115,Waste Electrical and Electronic Equipment (t),12.795,7
Mezzocorona,4022116,Waste Electrical and Electronic Equipment (t),40.982,7
Mezzolombardo,4022117,Waste Electrical and Electronic Equipment (t),53.622,7
Moena,4022118,Waste Electrical and Electronic Equipment (t),17.961,7
Molveno,4022120,Waste Electrical and Electronic Equipment (t),19.313,7
Mori,4022123,Waste Electrical and Electronic Equipment (t),72.245,7
Nago-Torbole,4022124,Waste Electrical and Electronic Equipment (t),28.975,7
Nogaredo,4022127,Waste Electrical and Electronic Equipment (t),8.635,7
Nomi,4022128,Waste Electrical and Electronic Equipment (t),4.873,7
Novaledo,4022129,Waste Electrical and Electronic Equipment (t),9.53,7
Ospedaletto,4022130,Waste Electrical and Electronic Equipment (t),6.807,7
Ossana,4022131,Waste Electrical and Electronic Equipment (t),9.514,7
Palu del Fersina,4022133,Waste Electrical and Electronic Equipment (t),0.91,7
Panchia ,4022134,Waste Electrical and Electronic Equipment (t),7.83,7
Peio,4022136,Waste Electrical and Electronic Equipment (t),17.917,7
Pellizzano,4022137,Waste Electrical and Electronic Equipment (t),13.197,7
Pelugo,4022138,Waste Electrical and Electronic Equipment (t),3.504,7
Pergine Valsugana,4022139,Waste Electrical and Electronic Equipment (t),162.21,7
Pieve Di Bono-Prezzo,4022234,Waste Electrical and Electronic Equipment (t),11.634,7
Pieve Tesino,4022142,Waste Electrical and Electronic Equipment (t),7.439,7
Pinzolo,4022143,Waste Electrical and Electronic Equipment (t),67.608,7
Pomarolo,4022144,Waste Electrical and Electronic Equipment (t),12.346,7
Porte Di Rendena,4022244,Waste Electrical and Electronic Equipment (t),14.902,7
Predaia,4022230,Waste Electrical and Electronic Equipment (t),65.983,7
Predazzo,4022147,Waste Electrical and Electronic Equipment (t),45.517,7
Primiero San Martino Di Castrozza,4022245,Waste Electrical and Electronic Equipment (t),61.909,7
Rabbi,4022150,Waste Electrical and Electronic Equipment (t),12.433,7
Revo,4022152,Waste Electrical and Electronic Equipment (t),11.329,7
Riva del Garda,4022153,Waste Electrical and Electronic Equipment (t),129.738,7
Romallo,4022154,Waste Electrical and Electronic Equipment (t),5.543,7
Romeno,4022155,Waste Electrical and Electronic Equipment (t),14.565,7
Roncegno Terme,4022156,Waste Electrical and Electronic Equipment (t),27.251,7
Ronchi Valsugana,4022157,Waste Electrical and Electronic Equipment (t),4.031,7
Ronzo-Chienis,4022135,Waste Electrical and Electronic Equipment (t),5.936,7
Ronzone,4022159,Waste Electrical and Electronic Equipment (t),7.164,7
Rovere della Luna,4022160,Waste Electrical and Electronic Equipment (t),12.112,7
Rovereto,4022161,Waste Electrical and Electronic Equipment (t),305.617,7
Ruffre-Mendola,4022162,Waste Electrical and Electronic Equipment (t),5.499,7
Rumo,4022163,Waste Electrical and Electronic Equipment (t),8.314,7
Sagron Mis,4022164,Waste Electrical and Electronic Equipment (t),1.572,7
Samone,4022165,Waste Electrical and Electronic Equipment (t),4.825,7
San Lorenzo Dorsino,4022231,Waste Electrical and Electronic Equipment (t),15.684,7
San Michele all\'Adige,4022167,Waste Electrical and Electronic Equipment (t),23.959,7
Sant\'Orsola Terme,4022168,Waste Electrical and Electronic Equipment (t),5.62,7
Sanzeno,4022169,Waste Electrical and Electronic Equipment (t),8.428,7
Sarnonico,4022170,Waste Electrical and Electronic Equipment (t),8.865,7
Scurelle,4022171,Waste Electrical and Electronic Equipment (t),12.17,7
Segonzano,4022172,Waste Electrical and Electronic Equipment (t),11.315,7
Sella Giudicarie,4022246,Waste Electrical and Electronic Equipment (t),26.614,7
Sen Jan di Fassa-San Giovanni di Fassa,4022250,Waste Electrical and Electronic Equipment (t),38.829,7
Sfruz,4022173,Waste Electrical and Electronic Equipment (t),4.569,7
Soraga,4022176,Waste Electrical and Electronic Equipment (t),7.42,7
Sover,4022177,Waste Electrical and Electronic Equipment (t),6.323,7
Spiazzo,4022179,Waste Electrical and Electronic Equipment (t),14.323,7
Spormaggiore,4022180,Waste Electrical and Electronic Equipment (t),10.019,7
Sporminore,4022181,Waste Electrical and Electronic Equipment (t),6.296,7
Stenico,4022182,Waste Electrical and Electronic Equipment (t),12.33,7
Storo,4022183,Waste Electrical and Electronic Equipment (t),36.596,7
Strembo,4022184,Waste Electrical and Electronic Equipment (t),4.984,7
Telve,4022188,Waste Electrical and Electronic Equipment (t),16.883,7
Telve di Sopra,4022189,Waste Electrical and Electronic Equipment (t),5.133,7
Tenna,4022190,Waste Electrical and Electronic Equipment (t),5.03,7
Tenno,4022191,Waste Electrical and Electronic Equipment (t),13.17,7
Terragnolo,4022193,Waste Electrical and Electronic Equipment (t),3.886,7
Terre d\'Adige,4022251,Waste Electrical and Electronic Equipment (t),22.43,7
Terzolas,4022195,Waste Electrical and Electronic Equipment (t),4.97,7
Tesero,4022196,Waste Electrical and Electronic Equipment (t),29.15,7
Tione di Trento,4022199,Waste Electrical and Electronic Equipment (t),29.54,7
Ton,4022200,Waste Electrical and Electronic Equipment (t),11.594,7
Torcegno,4022202,Waste Electrical and Electronic Equipment (t),5.96,7
Trambileno,4022203,Waste Electrical and Electronic Equipment (t),5.921,7
Tre Ville,4022247,Waste Electrical and Electronic Equipment (t),18.089,7
Trento,4022205,Waste Electrical and Electronic Equipment (t),793.299,7
Valdaone,4022232,Waste Electrical and Electronic Equipment (t),9.997,7
Valfloriana,4022209,Waste Electrical and Electronic Equipment (t),3.725,7
Vallarsa,4022210,Waste Electrical and Electronic Equipment (t),10.069,7
Vallelaghi,4022248,Waste Electrical and Electronic Equipment (t),38.37,7
Varena,4022211,Waste Electrical and Electronic Equipment (t),8.518,7
Vermiglio,4022213,Waste Electrical and Electronic Equipment (t),16.908,7
Vignola-Falesina,4022216,Waste Electrical and Electronic Equipment (t),1.88,7
Villa d\'Anaunia,4022249,Waste Electrical and Electronic Equipment (t),42.715,7
Villa Lagarina,4022222,Waste Electrical and Electronic Equipment (t),35.157,7
