ID,Name,Type,Latitude,Longitude,Description,Details,Address,Geometry,Contact
cave_id_4158878590,Grotta Barisela,cave entrance,46.048662,10.7492309,,,,,
cave_id_4187709266,Unnamed,cave entrance,46.4779939,11.7757203,,,,,
cave_id_4202986282,Coel dei Gnatoi,cave entrance,45.8603016,10.6360556,,,,,
cave_id_4239202972,Bus del Canon,cave entrance,46.1002103,11.2597551,,,,,
cave_id_4241436371,Bus del la Giaz,cave entrance,45.9553763,11.176026,,,,,
cave_id_4251488315,Bus dela Spia,cave entrance,46.2256815,11.0264934,,,,,
cave_id_4351027502,Unnamed,cave entrance,46.1792097,11.5478894,,,,,
cave_id_4352875568,Unnamed,cave entrance,46.171849,10.947069,,,,,
cave_id_4359040092,Bus de la Regina - La Finestra,cave entrance,46.1373011,10.8341678,,,,,
cave_id_4373902420,Unnamed,cave entrance,45.8713616,10.6912412,,,,,
cave_id_4388840110,Coalo de la Taiarona,cave entrance,46.0154788,11.5618708,,,,,
cave_id_4388840111,Coalo del Bracalgiòn,cave entrance,46.01512,11.5618155,,,,,
cave_id_4388840112,Coalo della polveriera,cave entrance,46.0201094,11.5784912,,,,,
cave_id_4388840113,Coalo sotto il Pozzo della Singala,cave entrance,46.0048385,11.588089,,,,,
cave_id_4388840114,Cogolo dei Agnei,cave entrance,46.0240068,11.5576525,,,,,
cave_id_4388840115,Covolo delle Balze,cave entrance,46.0053936,11.5850409,,,,,
cave_id_4388840116,Crepa del Colon,cave entrance,46.0201159,11.560987,,,,,
cave_id_4388840117,Grotta dei Camosci,cave entrance,46.0095685,11.5896134,,,,,
cave_id_4388840118,Grotta dei Due Ingressi,cave entrance,46.0056723,11.5854543,,,,,
cave_id_4388840119,Grotta del Muschio,cave entrance,46.0053932,11.5854542,,,,,
cave_id_4388840120,Grotta del Soffio,cave entrance,46.0063165,11.5944989,,,,,
cave_id_4388840121,Grotta dell' Orso,cave entrance,46.0063111,11.5862591,,,,,
cave_id_4388840122,Grotta della Bigonda,cave entrance,46.0181626,11.5809973,,,,,
cave_id_4388840123,Grotta della Porta,cave entrance,46.0042871,11.5901815,,,,,
cave_id_4388840124,Grotta delle Taie,cave entrance,46.0160877,11.5668209,,,,,
cave_id_4388840125,Grotta dello Sbircio,cave entrance,46.0053976,11.5868494,,,,,
cave_id_4388840126,Pozzo Nicola,cave entrance,46.0056058,11.579946,,,,,
cave_id_4388840127,Pozzo della Saetta,cave entrance,46.0063131,11.582591,,,,,
cave_id_4388840128,Pozzo della Singala,cave entrance,46.004733,11.5879808,,,,,
cave_id_4388842583,Pozzo delle Fratte,cave entrance,46.0653772,11.5552389,,,,,
cave_id_4388861181,Grotta del Corvo,cave entrance,46.0088652,11.6171894,,,,,
cave_id_4388861182,Grotta del Salto,cave entrance,46.0086712,11.6178003,,,,,
cave_id_4388876644,Antro a SSE di Sant' Antonio,cave entrance,46.0934588,11.6150319,,,,,
cave_id_4388876645,Buco del Fango,cave entrance,46.0801229,11.5926849,,,,,
cave_id_4388876646,Grotta 1 delle sabbie,cave entrance,46.0792814,11.6212729,,,,,
cave_id_4388876647,Grotta 2 delle sabbie,cave entrance,46.0792562,11.6211941,,,,,
cave_id_4388876648,Grotta dell' Asenaro,cave entrance,46.0776146,11.6209918,,,,,
cave_id_4388876649,Grotta di Gange,cave entrance,46.088176,11.6136137,,,,,
cave_id_4388876650,Grotta di Lissa,cave entrance,46.0752538,11.6298901,,,,,
cave_id_4388881083,Bus de l' Acqua,cave entrance,46.087753,11.6811786,,,,,
cave_id_4388907858,Caverna 2 di Malga Valfontane,cave entrance,46.1048373,11.6684993,,,,,
cave_id_4388907859,Caverna dei Pastori,cave entrance,46.0903937,11.6568324,,,,,
cave_id_4388907860,Cavernetta sotto Pozzo Lares,cave entrance,46.0999517,11.6622601,,,,,
cave_id_4388907861,Grotta a Est di Malga Valfontane,cave entrance,46.1048374,11.6684958,,,,,
cave_id_4388907862,Grotta a Sud di Malga Zanca,cave entrance,46.1117755,11.6915587,,,,,
cave_id_4388907863,Pozzo Lares,cave entrance,46.1000236,11.6622636,,,,,
cave_id_4388907864,Pozzo del dragone,cave entrance,46.099319,11.6654641,,,,,
cave_id_4388907865,Sorgente di Malga Arpaco,cave entrance,46.1116924,11.6988921,,,,,
cave_id_4388907866,Uvada,cave entrance,46.1065615,11.6613364,,,,,
cave_id_4388960222,Caverna dei ciclopi,cave entrance,46.1199366,11.722501,,,,,
cave_id_4388960223,Caverna del fiume scomparso,cave entrance,46.1204231,11.7209719,,,,,
cave_id_4388960224,Caverna sentinella 1,cave entrance,46.1204265,11.7227193,,,,,
cave_id_4388960225,Caverna sentinella 2�,cave entrance,46.1204175,11.7227189,,,,,
cave_id_4388960226,Caverna sentinella 3,cave entrance,46.1202932,11.722648,,,,,
cave_id_4388960227,Grotta 1 delle Pale Rosse,cave entrance,46.118584,11.7263818,,,,,
cave_id_4388960228,Grotta della Fosca,cave entrance,46.1340042,11.726276,,,,,
cave_id_4388960229,Grotta della Volpe,cave entrance,46.1339999,11.7268325,,,,,
cave_id_4388960230,Grotticella alla Casera Spessa,cave entrance,46.1290196,11.6935898,,,,,
cave_id_4388960231,Tana trifoglio,cave entrance,46.1198483,11.722432,,,,,
cave_id_4390660635,Covolo del Vento,cave entrance,46.0041255,11.6084148,,,,,
cave_id_4390660636,Covolo della Tomba,cave entrance,46.004,11.6059965,,,,,
cave_id_4390660637,Grotta 1 delle Beccarie,cave entrance,46.0047244,11.6077734,,,,,
cave_id_4390660638,Grotta 2 delle Beccarie,cave entrance,46.0047243,11.6077737,,,,,
cave_id_4390660639,Grotta dei Soeri,cave entrance,46.0073382,11.6115525,,,,,
cave_id_4390677241,Grotta 1 dei Briganti,cave entrance,45.9923717,11.6015017,,,,,
cave_id_4390677242,Grotta 2 dei Briganti,cave entrance,45.9923382,11.60155,,,,,
cave_id_4390677243,Pozzo Dogomale,cave entrance,46.0008889,11.5940213,,,,,
cave_id_4390677244,Pozzo dei Caprioli,cave entrance,45.9995587,11.6097407,,,,,
cave_id_4390677245,Pozzo dello sciamano,cave entrance,45.9981143,11.6055919,,,,,
cave_id_4390691799,Buco del Pal,cave entrance,45.9873309,11.5909969,,,,,
cave_id_4390691800,Pozzo Alessandro,cave entrance,45.9874651,11.5997844,,,,,
cave_id_4390691801,Pozzo dei Cinque,cave entrance,45.9906656,11.586827,,,,,
cave_id_4390691802,Pozzo della Scura,cave entrance,45.9817768,11.5918221,,,,,
cave_id_4390719332,Crepa della Barbana,cave entrance,46.0065038,11.5673776,,,,,
cave_id_4390719333,Crepa della Catarinela,cave entrance,46.0070589,11.5671063,,,,,
cave_id_4390719334,Occhio Destro Val delle Taie,cave entrance,46.0070528,11.5673772,,,,,
cave_id_4390719335,Occhio Sinistro Val delle Taie,cave entrance,46.007053,11.5673722,,,,,
cave_id_4390719336,Sfesa del Sanguanelo,cave entrance,46.0065003,11.5679329,,,,,
cave_id_4390719337,Tana dei Beatrichi,cave entrance,46.006721,11.5665223,,,,,
cave_id_4390749838,Buco del Baito,cave entrance,46.001219,11.483212,,,,,
cave_id_4390749840,Busi della Lasta Rossa,cave entrance,46.0050564,11.4585208,,,,,
cave_id_4390749841,Covolo della Val Fassinera,cave entrance,46.0073886,11.4559635,,,,,
cave_id_4390749842,Pozzo I Baito Cuvolin,cave entrance,46.0011095,11.4803788,,,,,
cave_id_4390749843,Pozzo II Baito Cuvolin,cave entrance,46.0011719,11.4799941,,,,,
cave_id_4390749844,Pozzo III Baito Cuvolin,cave entrance,46.0003917,11.4819352,,,,,
cave_id_4390749845,Pozzo IV Baito Cuvolin,cave entrance,46.0003377,11.4819328,,,,,
cave_id_4390749846,Pozzo V Baito Cuvolin,cave entrance,46.0002748,11.4819299,,,,,
cave_id_4390749847,Pozzo VI Baito Cuvolin,cave entrance,46.0031662,11.4818269,,,,,
cave_id_4390749848,Pozzo VII Baito Cuvolin,cave entrance,46.0017801,11.4834825,,,,,
cave_id_4390749849,Pozzo sotto Cima Undici,cave entrance,46.0043354,11.4835195,,,,,
cave_id_4390794361,Risorgiva di Val Noana,cave entrance,46.1306614,11.8131647,,,,,
cave_id_4398186501,Unnamed,cave entrance,46.0615597,10.4890941,,,,,
cave_id_4411116124,Stoli,cave entrance,46.1557093,11.8038808,,,,,
cave_id_4421811459,Silvia,cave entrance,46.1405666,10.8670037,,,,,
cave_id_4441355180,Unnamed,cave entrance,46.0941841,11.3658131,,,,,
cave_id_4470383224,Unnamed,cave entrance,46.0334487,11.5305277,,,,,
cave_id_4470383225,Unnamed,cave entrance,46.0334519,11.5303976,,,,,
cave_id_4470383935,Unnamed,cave entrance,46.033349,11.5301924,,,,,
cave_id_4470383992,Unnamed,cave entrance,46.0331249,11.5297302,,,,,
cave_id_4470384055,Unnamed,cave entrance,46.0335613,11.5303766,,,,,
cave_id_4470384090,Unnamed,cave entrance,46.0331496,11.5301072,,,,,
cave_id_4471750581,Unnamed,cave entrance,45.8215102,10.5913193,,,,,
cave_id_4475128376,Unnamed,cave entrance,46.1714363,11.5556284,,,,,
cave_id_4497271515,Unnamed,cave entrance,46.0477314,11.5436406,,,,,
cave_id_4497271520,Unnamed,cave entrance,46.047504,11.5450533,,,,,
cave_id_4497275372,Unnamed,cave entrance,46.0467655,11.543716,,,,,
cave_id_4497275373,Unnamed,cave entrance,46.0466872,11.5440679,,,,,
cave_id_4497275395,Unnamed,cave entrance,46.047829,11.5435051,,,,,
cave_id_4511942363,Unnamed,cave entrance,46.0480393,11.5433177,,,,,
cave_id_4511942371,Unnamed,cave entrance,46.0482667,11.5432295,,,,,
cave_id_4533683487,Unnamed,cave entrance,46.0480812,11.5443931,,,,,
cave_id_4533683488,Unnamed,cave entrance,46.0481074,11.5442629,,,,,
cave_id_4533699889,Unnamed,cave entrance,46.0482709,11.5437052,,,,,
cave_id_4533699890,Unnamed,cave entrance,46.0483023,11.5436217,,,,,
cave_id_4572848621,Unnamed,cave entrance,46.2942139,11.4613693,,,,,
cave_id_4581080408,Unnamed,cave entrance,46.0692247,11.4646177,,,,,
cave_id_4581080409,Unnamed,cave entrance,46.0696216,11.4648176,,,,,
cave_id_4685492856,Unnamed,cave entrance,46.0686241,11.5433149,,,,,
cave_id_4695921996,Postazione Austriaca 1915/1918,cave entrance,46.1162799,11.2767013,,,,,
cave_id_4933645339,Bus de la Giana,cave entrance,45.982417,10.8691606,,,,,
cave_id_4936444790,Coel dei Zenteneri,cave entrance,45.9437933,10.8532418,,,,,
cave_id_4949251907,Unnamed,cave entrance,46.0632017,11.5528031,,,,,
cave_id_4958841945,Unnamed,cave entrance,46.0384856,11.5099069,,,,,
cave_id_4959579643,Unnamed,cave entrance,46.0407745,11.4997895,,,,,
cave_id_4978058993,Unnamed,cave entrance,46.0528508,11.5484948,,,,,
cave_id_4978058994,Unnamed,cave entrance,46.0528618,11.5484106,,,,,
cave_id_4999329559,Unnamed,cave entrance,45.8277593,11.0956823,,,,,
cave_id_5000242671,Bus del Giaz,cave entrance,46.148443,11.0382825,,,,,
cave_id_5009897097,Unnamed,cave entrance,46.0607225,11.5470972,,,,,
cave_id_5009897098,Unnamed,cave entrance,46.0610269,11.5469527,,,,,
cave_id_5033253746,Cave Medie,cave entrance,45.9332792,10.9063392,,,,,
cave_id_5033253748,Cave Basse,cave entrance,45.9311013,10.9048171,,,,,
cave_id_5047531805,Unnamed,cave entrance,45.7687919,11.1506027,,,,,
cave_id_5057079816,Unnamed,cave entrance,45.8695738,10.7788412,,,,,
cave_id_5155292855,Grotta di Ernesto,cave entrance,45.9781115,11.6563377,,,,,
cave_id_5209584360,Unnamed,cave entrance,46.0212502,11.0682776,,,,,
cave_id_5237738267,Unnamed,cave entrance,46.0985385,11.5009636,,,,,
cave_id_5296198933,Unnamed,cave entrance,46.0814037,11.4967838,,,,,
cave_id_5296198936,Unnamed,cave entrance,46.0825333,11.4969705,,,,,
cave_id_5296198941,Unnamed,cave entrance,46.0823694,11.496752,,,,,
cave_id_5296243505,Unnamed,cave entrance,46.0315842,11.5230072,,,,,
cave_id_5303024436,Unnamed,cave entrance,46.0720134,11.58677,,,,,
cave_id_5303024437,Unnamed,cave entrance,46.0728179,11.5870639,,,,,
cave_id_5312638977,Unnamed,cave entrance,45.9523706,11.1126591,,,,,
cave_id_5453802639,Unnamed,cave entrance,46.0335253,11.4823672,,,,,
cave_id_5453802640,Unnamed,cave entrance,46.0333333,11.4826333,,,,,
cave_id_5483449116,Unnamed,cave entrance,46.0334648,11.4824196,,,,,
cave_id_5483449117,Unnamed,cave entrance,46.0334369,11.482467,,,,,
cave_id_5498419696,Unnamed,cave entrance,46.0358276,11.5167035,,,,,
cave_id_5498419699,Unnamed,cave entrance,46.0373903,11.5201646,,,,,
cave_id_5503819187,Unnamed,cave entrance,46.0374405,11.5147665,,,,,
cave_id_5503819188,Unnamed,cave entrance,46.0381563,11.511304,,,,,
cave_id_5509362675,Sorgente Ferrugginosa,cave entrance,46.1300562,11.2764748,,,,,
cave_id_5537655398,Unnamed,cave entrance,46.0613373,11.5500534,,,,,
cave_id_5537655399,Unnamed,cave entrance,46.0610376,11.5493426,,,,,
cave_id_5564912165,Unnamed,cave entrance,46.0620323,11.5689496,,,,,
cave_id_5567355718,Unnamed,cave entrance,46.07265,11.5856197,,,,,
cave_id_5567355719,Unnamed,cave entrance,46.0726392,11.5855543,,,,,
cave_id_5588831100,Unnamed,cave entrance,46.0436995,11.5885394,,,,,
cave_id_5588832442,Unnamed,cave entrance,46.047092,11.5815988,,,,,
cave_id_5588832465,Unnamed,cave entrance,46.0638192,11.5826748,,,,,
cave_id_5623282428,Madonnina della Luce,cave entrance,46.4249312,11.7549416,,,,,
cave_id_5696997807,Unnamed,cave entrance,46.0406047,11.5000167,,,,,
cave_id_5696997930,Unnamed,cave entrance,46.040746,11.4995943,,,,,
cave_id_5697243953,Bus de la stria,cave entrance,45.9241224,10.8765265,,,,,
cave_id_5715639873,Unnamed,cave entrance,46.0430101,11.4915982,,,,,
cave_id_5732005216,Unnamed,cave entrance,46.1793133,11.5478129,,,,,
cave_id_5734608358,Unnamed,cave entrance,46.0391594,11.5043237,,,,,
cave_id_5734608359,Unnamed,cave entrance,46.0391895,11.5043067,,,,,
cave_id_5734610443,Unnamed,cave entrance,46.0392198,11.5040161,,,,,
cave_id_5734610448,Unnamed,cave entrance,46.0442188,11.4992912,,,,,
cave_id_5761420164,Unnamed,cave entrance,46.0407888,11.5125715,,,,,
cave_id_5761420165,Unnamed,cave entrance,46.040807,11.5125138,,,,,
cave_id_5761420166,Unnamed,cave entrance,46.0405993,11.5121572,,,,,
cave_id_5761420167,Unnamed,cave entrance,46.0405619,11.5120976,,,,,
cave_id_5761420168,Unnamed,cave entrance,46.0406086,11.511922,,,,,
cave_id_5761420169,Unnamed,cave entrance,46.0400508,11.5133348,,,,,
cave_id_5761420173,Unnamed,cave entrance,46.0398981,11.5135887,,,,,
cave_id_5768819314,Unnamed,cave entrance,46.0825347,11.496967,,,,,
cave_id_5771750129,Bus dele Anguane,cave entrance,46.1765839,11.0783847,,,,,
cave_id_5794210498,Covolo di Besagno,cave entrance,45.8389574,10.9668519,,,,,
cave_id_5841777341,Unnamed,cave entrance,45.8432906,10.7831034,,,,,
cave_id_5869475647,Unnamed,cave entrance,45.9872734,11.5983573,,,,,
cave_id_5972375786,Galleria Monte Buso,cave entrance,45.81557,11.168,,,,,
cave_id_6126216279,Unnamed,cave entrance,46.0395368,11.5203465,,,,,
cave_id_6221079112,Bus de le Anguane (Forra),cave entrance,46.0189124,10.9725664,,,,,
cave_id_6432437061,Unnamed,cave entrance,45.9650268,11.3062798,,,,,
cave_id_6512000478,Unnamed,cave entrance,45.8471693,10.7668328,,,,,
cave_id_6516265324,Unnamed,cave entrance,46.048402,11.5446353,,,,,
cave_id_6516283335,Unnamed,cave entrance,46.0483853,11.5445854,,,,,
cave_id_6533787406,Unnamed,cave entrance,46.046723,11.548328,,,,,
cave_id_6534728632,Marmitta dei Giganti Piccola,cave entrance,45.8796628,10.8849189,,,,,
cave_id_6534808101,Marmitta dei Giganti,cave entrance,45.8800633,10.8852769,,,,,
cave_id_6534818165,Unnamed,cave entrance,45.8791966,10.8693824,,,,,
cave_id_6549328741,Unnamed,cave entrance,46.069148,11.4635199,,,,,
cave_id_6562414496,Marmitta dei Giganti Granda,cave entrance,45.8795263,10.8848483,,,,,
cave_id_6588140005,Busa dell'Adamo,cave entrance,45.8615592,11.0302588,,,,,
cave_id_6590362714,Covel dei Mustedì,cave entrance,45.9880816,10.9604952,,,,,
cave_id_6591081077,Caverna Strengiador,cave entrance,46.0340059,11.0137531,,,,,
cave_id_6592783751,Busa de la Giana,cave entrance,45.9162427,10.8193853,,,,,
cave_id_6609147120,Unnamed,cave entrance,46.0474151,11.546985,,,,,
cave_id_6655145962,Fori della Grande Guerra,cave entrance,46.3446618,10.6268564,,,,,
cave_id_6672468735,Unnamed,cave entrance,45.8752973,10.9279483,,,,,
cave_id_6672468739,Unnamed,cave entrance,45.872849,10.932038,,,,,
cave_id_6672468740,Unnamed,cave entrance,45.8732842,10.9310402,,,,,
cave_id_6744747993,Unnamed,cave entrance,45.8899756,10.6676198,,,,,
cave_id_6787837814,Unnamed,cave entrance,45.7204444,11.0226249,,,,,
cave_id_6816681989,Unnamed,cave entrance,45.8861297,10.9708781,,,,,
cave_id_6920018364,Unnamed,cave entrance,46.0734096,11.5836605,,,,,
cave_id_7056745272,Stoi,cave entrance,46.0750455,11.0818959,,,,,
cave_id_7096396415,Unnamed,cave entrance,46.0542614,11.5495656,,,,,
cave_id_7142808437,Crepa di Castel Corno,cave entrance,45.8877008,10.9907753,,,,,
cave_id_7167018392,Stoi Bassi,cave entrance,46.0941058,11.152939,,,,,
cave_id_7253394677,Unnamed,cave entrance,45.8838808,11.1721517,,,,,
cave_id_7253394678,Unnamed,cave entrance,45.8801809,11.1768582,,,,,
cave_id_7399353900,Camerona,cave entrance,45.9654182,10.8169346,,,,,
cave_id_7417988553,Unnamed,cave entrance,45.7607026,11.0351872,,,,,
cave_id_7417988554,Unnamed,cave entrance,45.7606633,11.0353347,,,,,
cave_id_7418048395,Unnamed,cave entrance,45.7638294,11.0399294,,,,,
cave_id_7418048520,Unnamed,cave entrance,45.7590681,11.0511276,,,,,
cave_id_7418048540,Unnamed,cave entrance,45.7596472,11.0496202,,,,,
cave_id_7418048541,Unnamed,cave entrance,45.7576786,11.0526404,,,,,
cave_id_7544977931,Grotta del colera,cave entrance,46.406248,11.1611264,,,,,
cave_id_7577227719,Unnamed,cave entrance,45.8813265,10.9054981,,,,,
cave_id_7660985383,Unnamed,cave entrance,45.7261693,10.8439048,,,,,
