id,name,latitude,longitude,memorial_type,type,inscription
memorial_id_4534672934,Unnamed,45.7567476,11.0050057,,memorial,
memorial_id_4558146280,Unnamed,45.7578358,11.0054258,,memorial,
monument_id_4561903463,Unnamed,46.1515842,11.0966066,,monument,
memorial_id_4572899501,Unnamed,46.0686953,11.4625157,plaque,memorial:plaque,
memorial_id_4596373803,Unnamed,46.0520429,11.4944265,plaque,memorial:plaque,
memorial_id_4684036779,Unnamed,46.0680604,11.4962593,,memorial,
memorial_id_4692003969,Unnamed,45.857859,10.909995,stone,memorial:stone,Ai combattenti
memorial_id_4692003970,Czechoslovak legionaries,45.854625,10.9106616,plaque,memorial:plaque,
monument_id_4704863487,Unnamed,45.8745254,11.1064313,,monument,
monument_id_4704863569,Unnamed,45.8760038,11.0881534,,monument,
monument_id_4765154173,Madonna,45.930732,11.0729663,,monument,
memorial_id_4765154776,Immacolata della Guardia,45.907974,11.1312261,statue,memorial:statue,
monument_id_4890327745,Monumento della Pace,45.9176236,11.0313512,,monument,
memorial_id_4909085873,Santa Maria Goretti,45.9138797,11.1090938,,memorial,
memorial_id_4913132148,Unnamed,46.1747411,11.8331643,plaque,memorial:plaque,
memorial_id_4970035869,Unnamed,45.7667332,10.9341156,stone,memorial:stone,R. ESERCITO ITALIANO
memorial_id_5000770882,Unnamed,46.0704206,10.5423516,plaque,memorial:plaque,
memorial_id_5000770914,Unnamed,46.0717016,10.5412025,cross,memorial:cross,
memorial_id_5036016186,Unnamed,45.9831577,10.8801419,,memorial,
memorial_id_5036111244,I sentieri dell'amicizia,46.404962,11.825388,war_memorial,memorial:war_memorial,
memorial_id_5037259449,6° Alpini Battaglione Sette Comuni,46.0073283,11.5644902,,memorial,
memorial_id_5068234115,Obelisco di Val Miniera,46.3377863,11.7584727,,memorial,
memorial_id_5078806521,Monumento Legionari Cecoslovacchi,45.9258335,10.8892472,,memorial,
memorial_id_5085148165,Unnamed,45.8693472,10.9105364,,memorial,
memorial_id_5114871245,Unnamed,45.8845225,10.8411079,statue,memorial:statue,
monument_id_5145424181,Castello di Pergine,46.0592803,11.2492931,,castle,
memorial_id_5248261677,Altare a Cesare Battisti,45.814725,11.1245826,,memorial,
monument_id_5266511326,"Monumento ai ""Piloti di Montagna""",45.8811294,11.036181,,monument,Monumento ai piloti di montagna che hanno combattuto durante la seconda guerra mondiale
monument_id_5271597193,Monumento ai caduti della I° guerra mondiale,45.8554307,11.0600442,,monument,
memorial_id_5303540656,Targa d'ingresso di casa Ganarin,46.1169095,10.7572449,plaque,memorial:plaque,
memorial_id_5310729531,Vecchio segnale di ingresso Sud del paese,46.1167909,10.7573585,plaque,memorial:plaque,
memorial_id_5310729532,Vecchio segnale di ingresso Nord del paese,46.1186204,10.7589119,plaque,memorial:plaque,
monument_id_5375949317,Cannone Alpino,45.7583139,11.0085745,,monument,
monument_id_5389468391,Pietra Miliare,45.7589351,10.9967911,,monument,
monument_id_5389482524,Statua di Papa Giovanni XXIII,45.7565445,11.0007999,,monument,
monument_id_5391147330,Capitello Antico,45.77051,11.0027339,,monument,
monument_id_5393716171,Unnamed,46.0632038,11.24169,,monument,
monument_id_5401488516,Unnamed,46.0844761,10.9191661,,monument,
memorial_id_5414546798,Ai Caduti,46.0400193,10.8755332,war_memorial,memorial:war_memorial,
memorial_id_5580427135,Unnamed,45.9893832,11.6657386,war_memorial,memorial:war_memorial,
memorial_id_5580611516,Unnamed,45.9906877,11.6688366,war_memorial,memorial:war_memorial,TEZZE AI SUOI CADUTI
monument_id_5602471270,Monumento Gianni Caproni,45.9154683,10.8847481,,monument,Gianni Caproni Pioniere dell'Aeronautica
memorial_id_5633422584,Unnamed,46.1980753,11.2932693,,memorial,
memorial_id_5647427114,Unnamed,45.8647695,10.8046394,stele,memorial:stele,
monument_id_5647579029,Unnamed,46.0673236,11.2455496,,monument,
monument_id_5649181087,Unnamed,46.0667083,11.1604544,,monument,
memorial_id_5712367909,Monumento ai caduti,46.037736,11.1068344,war_memorial,memorial:war_memorial,
monument_id_5747778029,Castel Belvedere,46.1120109,11.238182,,castle,
memorial_id_5749265914,Unnamed,46.3479941,10.7884602,war_memorial,memorial:war_memorial,
monument_id_5761760124,Castel Cagnò,46.3888943,11.0369226,,castle,
memorial_id_5773580591,Unnamed,46.0741976,11.4905983,stele,memorial:stele,
monument_id_5812752537,Regole per i Jumper,45.9933548,10.9007299,,monument,
memorial_id_5853271710,Unnamed,46.0673382,11.2456154,,memorial,
monument_id_5865319476,Unnamed,46.0877376,11.295532,,monument,
memorial_id_5898760565,Caduti Guerre Mondiale,45.889092,10.8615395,,memorial,
memorial_id_5968629885,Unnamed,46.1645545,10.7649519,war_memorial,memorial:war_memorial,
memorial_id_5968629886,Ai Caduti,46.1644632,10.7647356,war_memorial,memorial:war_memorial,
monument_id_6021774388,Castello di Mostizzolo,46.3939367,11.0141545,,castle,
monument_id_6090239908,Unnamed,46.2164418,11.1180186,,monument,
memorial_id_6091059026,Monumento ai caduti di Dimaro e Carciato,46.3263274,10.8762324,war_memorial,memorial:war_memorial,
memorial_id_6091068389,Monumento ai caduti,46.3219421,10.8720387,war_memorial,memorial:war_memorial,
memorial_id_6092537711,Unnamed,46.3258522,10.8745379,plaque,memorial:plaque,Qui dove nacque viva perenne la memoria di Giovanni Serra che alla cura delle malattie dei tropici dedicò studio e fatiche Dimaro 8.1.1894 Modena 2.10.1959 il Comune pose nel 1983
monument_id_6105527131,Monumento ai Caduti della Prima Guerra Mondiale,46.2369393,10.5812434,,monument,
memorial_id_6106678877,Monumento ai caduti di Agnedo,46.0512365,11.5303107,war_memorial,memorial:war_memorial,
monument_id_6124676295,Monumento ai caduti,46.0439904,11.5506206,,monument,
monument_id_6184192633,Unnamed,46.375437,11.0760534,,monument,
monument_id_6239423185,Unnamed,46.0062084,11.1281356,,monument,
monument_id_6239423186,Unnamed,46.0062452,11.1281564,,monument,
monument_id_6239423190,Don Dario Trentini,46.0064671,11.1277695,,monument,
memorial_id_6263951899,DUKW 25 MIA Americans 1945,45.8695117,10.8748777,stele,memorial:stele,
memorial_id_6263951900,Col. William O. Darby,45.8695757,10.8749428,stele,memorial:stele,
memorial_id_6304404726,Ai combattenti del XXIX° Reparto d'Assalto - 23/5/1918,45.8237311,11.052672,yes,memorial:yes,"AI COMBATTENTI 
DEL XXIX°
REPARTO D'ASSALTO
CHE QUI CADDERO
IL 23 - 5 - 1918"
memorial_id_6341426155,Unnamed,46.141536,10.9652232,,memorial,
memorial_id_6534666053,Unnamed,45.8230859,10.9826348,plaque,memorial:plaque,1703 - 2003 Da qui passarono i francesi
