id;name;longitude;latitude;geometry;description;historic;amenity;height;website;type
450174244;Cima Nodice;10.8222111;45.8568976;POINT (10.8222111 45.8568976);;;;;;peak
450174246;Cima Parì;10.7662014;45.9059018;POINT (10.7662014 45.9059018);;;;;;peak
450174247;Cima Sclapa;10.7729013;45.9024782;POINT (10.7729013 45.9024782);;;;;;peak
450174248;Monte Tomeabrù;10.7529128;45.9032485;POINT (10.7529128 45.9032485);;;;;;peak
450174249;Monte Caret;10.7560462;45.9101688;POINT (10.7560462 45.9101688);;;;3;;peak
450591939;Cima Doie;10.5072663;45.9250156;POINT (10.5072663 45.9250156);;;;;;peak
453380409;Unnamed;10.9640958;46.2815637;POINT (10.9640958 46.2815637);;;;;;
454567272;Unnamed;11.1093878;45.890108;POINT (11.1093878 45.890108);;;;;;
455364237;Unnamed;11.0171943;45.7196546;POINT (11.0171943 45.7196546);;;;;;
456036439;Monte Listino;10.4533655;45.9768256;POINT (10.4533655 45.9768256);;;;;;peak
456347269;Unnamed;10.5945103;46.0515347;POINT (10.5945103 46.0515347);;;;;;
456740237;Unnamed;10.6003821;46.0535642;POINT (10.6003821 46.0535642);;;;;;
457107420;Terrazza Panoramica della Grotta;11.1496375;46.0452498;POINT (11.1496375 46.0452498);;;;;;
457133495;Corno della Paura;10.9376782;45.7646841;POINT (10.9376782 45.7646841);;;;;;peak
457518119;Dente Italiano;11.1759822;45.7943208;POINT (11.1759822 45.7943208);;;;;;peak
457518120;Dente Austriaco;11.1749185;45.7974035;POINT (11.1749185 45.7974035);;;;;;peak
457885188;Cima Durmont;10.7595454;46.0832406;POINT (10.7595454 46.0832406);;;;;;peak
458785635;Unnamed;11.1077074;45.7344412;POINT (11.1077074 45.7344412);;;;;;
469206830;Batteria Mitragliatrici / Maschinengewehr Batterie;11.1853867;46.0510233;POINT (11.1853867 46.0510233);;;;;;
469267486;Unnamed;10.9472186;45.7642109;POINT (10.9472186 45.7642109);;;;;;
471615197;Doss dell'Anziana;11.1449804;45.8384209;POINT (11.1449804 45.8384209);;;;;;peak
472136733;Roda di Vaèl - Rotwand;11.6199047;46.4254208;POINT (11.6199047 46.4254208);;;;;;peak
472627387;Cima Serodoli;10.7709469;46.2394584;POINT (10.7709469 46.2394584);;;;;;peak
472627446;Monte Nambrone;10.7611915;46.250286;POINT (10.7611915 46.250286);;;;;;peak
474353548;Unnamed;10.9672061;45.7154862;POINT (10.9672061 45.7154862);;;;;;
474982043;Unnamed;11.2379562;46.1117732;POINT (11.2379562 46.1117732);;;;;;
474982851;Croz de la Rocca;11.2166567;46.0950769;POINT (11.2166567 46.0950769);;;;;;peak
474987188;Dossone;10.7291836;46.1524635;POINT (10.7291836 46.1524635);;;;;;peak
475529768;Tessara;11.2315418;46.0786611;POINT (11.2315418 46.0786611);;;;;;peak
478978471;Monte Cogne;11.3677123;46.1943544;POINT (11.3677123 46.1943544);;;;;;peak
478978509;Cimon del Tres;11.3972251;46.2053277;POINT (11.3972251 46.2053277);;;;;;peak
478978631;Dosso di Segonzano;11.2921819;46.1866385;POINT (11.2921819 46.1866385);;;;;;peak
479797707;Unnamed;11.2724651;46.1822777;POINT (11.2724651 46.1822777);;;;;;
482730723;Dos del Cuco;11.2452409;46.0492418;POINT (11.2452409 46.0492418);;;;;;peak
482766921;Colme de Malgola;11.6236559;46.301123;POINT (11.6236559 46.301123);;;;;;peak
482832515;Lemperperg;11.3375462;46.1457866;POINT (11.3375462 46.1457866);;;;;;peak
482869268;Fravort;11.3512714;46.0761238;POINT (11.3512714 46.0761238);;;;;;peak
482869836;Oscivart;11.3468841;46.0778432;POINT (11.3468841 46.0778432);;;;;;peak
482870631;Cima Panarotta;11.3343963;46.0499949;POINT (11.3343963 46.0499949);;;;;;peak
487082706;Casteller;11.2402045;46.0828068;POINT (11.2402045 46.0828068);;;;;;peak
493604218;Unnamed;11.2775544;46.0719603;POINT (11.2775544 46.0719603);;;;;;
493604249;Unnamed;11.2785243;46.0703882;POINT (11.2785243 46.0703882);;;;;;
493608137;Unnamed;11.2765726;46.0706017;POINT (11.2765726 46.0706017);;;;;;
494068168;Unnamed;10.6536779;45.8710092;POINT (10.6536779 45.8710092);;;;;;
494344568;Unnamed;11.2724171;46.1063797;POINT (11.2724171 46.1063797);;;;;;
495191966;Unnamed;11.3531811;45.9932132;POINT (11.3531811 45.9932132);;;;;;
495195842;Unnamed;11.2900401;45.9762506;POINT (11.2900401 45.9762506);;;;;;
495523846;Dosso della Clinga;11.2442454;46.1130371;POINT (11.2442454 46.1130371);;;;;;peak
497543209;Col Rodela;11.7486236;46.4953446;POINT (11.7486236 46.4953446);;;;;;peak
498475392;Dos La Canal;10.5325656;45.866768;POINT (10.5325656 45.866768);;;;;;peak
498481565;Costone delle Cornelle;10.493754;45.880936;POINT (10.493754 45.880936);;;;;;peak
498481678;Col de Perpetue;10.508043;45.878228;POINT (10.508043 45.878228);;;;;;peak
500343065;Cima La Fradusta;11.8734312;46.2510705;POINT (11.8734312 46.2510705);;;;;;peak
504162352;Pala dei Campedei;11.3521195;46.1492461;POINT (11.3521195 46.1492461);;;;;;peak
510906008;Unnamed;10.8675582;45.8927337;POINT (10.8675582 45.8927337);;;;;;
516254582;Unnamed;11.2258043;46.0878248;POINT (11.2258043 46.0878248);;;;;;
517695110;Dos de Portole;10.5022185;45.8811795;POINT (10.5022185 45.8811795);;;;;;peak
517874443;Rocca Fredda;10.5986772;45.8607807;POINT (10.5986772 45.8607807);;;;;;peak
517874444;Monte Stigolo;10.6110008;45.8657584;POINT (10.6110008 45.8657584);;;;;;peak
518977195;Cima Spessa;10.590281;45.8212743;POINT (10.590281 45.8212743);;;;;;peak
518991687;Cima del Levrer;10.6539961;45.8271133;POINT (10.6539961 45.8271133);;;;;;peak
519185456;La Roda;11.0407674;46.1385879;POINT (11.0407674 46.1385879);;;;;;peak
