id;name;latitude;longitude;geometry;artist_name;description;website;type
4775141024;Unnamed;45.8619124;10.7317125;POINT (10.7317125 45.8619124);;;;
4775141025;Unnamed;45.8611054;10.7308891;POINT (10.7308891 45.8611054);;;;
4876524769;Unnamed;46.0622369;11.1129329;POINT (11.1129329 46.0622369);;;;
4876524770;Unnamed;46.0606132;11.1132044;POINT (11.1132044 46.0606132);;;;
4876524773;Unnamed;46.060656;11.1141025;POINT (11.1141025 46.060656);;;;
5117581878;Madonna di Lago;45.8800352;10.8521128;POINT (10.8521128 45.8800352);;;;
5303540652;Unnamed;46.116747;10.7572771;POINT (10.7572771 46.116747);;;;mural
5315340371;Unnamed;45.850576;10.5845453;POINT (10.5845453 45.850576);;;;sculpture
5315340372;Unnamed;45.8505854;10.5847686;POINT (10.5847686 45.8505854);;;;sculpture
5315340373;Unnamed;45.8507774;10.584336;POINT (10.584336 45.8507774);;;;sculpture
5315340374;Unnamed;45.8508353;10.5841078;POINT (10.5841078 45.8508353);;;;sculpture
5315340375;Unnamed;45.850746;10.5837554;POINT (10.5837554 45.850746);;;;sculpture
5315340376;Unnamed;45.8504079;10.5838868;POINT (10.5838868 45.8504079);;;;sculpture
5349586189;Unnamed;46.0080648;11.398258;POINT (11.398258 46.0080648);;;;sculpture
5363012183;Gabbia in Rotatoria;46.0572617;11.2371412;POINT (11.2371412 46.0572617);;;;sculpture
5365385300;Unnamed;45.8947376;11.0446735;POINT (11.0446735 45.8947376);;;;installation
5365385301;Unnamed;45.8948006;11.0449331;POINT (11.0449331 45.8948006);;;;installation
5365385302;Unnamed;45.8946951;11.0448665;POINT (11.0448665 45.8946951);;;;installation
5365385303;Unnamed;45.8948884;11.0448456;POINT (11.0448456 45.8948884);;;;installation
5365385304;Unnamed;45.8945781;11.0445082;POINT (11.0445082 45.8945781);;;;installation
5368717191;Unnamed;45.8986732;11.0423068;POINT (11.0423068 45.8986732);;;;sculpture
5374581156;Energy;45.8936058;11.0358814;POINT (11.0358814 45.8936058);;;;
5375920263;Scultura Cristiana;45.8949662;11.0389468;POINT (11.0389468 45.8949662);;;;
5474059353;Unnamed;46.0660002;11.528758;POINT (11.528758 46.0660002);;;;obelisc
5493331092;Capitello della Madonna;45.9015804;11.0464224;POINT (11.0464224 45.9015804);;;;
5560172064;Ciclo dei mesi;46.069906;11.127517;POINT (11.127517 46.069906);;;;painting
5729199302;Archetipische Frau;45.754284;11.0004499;POINT (11.0004499 45.754284);;;;statue
5729199303;Scultura Goccia metallica;45.7544925;11.0003117;POINT (11.0003117 45.7544925);;;;statue
5729199304;Secondo Incontro;45.7548499;11.0006796;POINT (11.0006796 45.7548499);;;;sculpture
5729199305;Busto Prosperoso;45.7547748;11.0008524;POINT (11.0008524 45.7547748);;;;statue
5729199306;Pietra Forata;45.7547251;11.0009845;POINT (11.0009845 45.7547251);;;;
5729199307;Lucia guarda il cielo;45.7546556;11.0009276;POINT (11.0009276 45.7546556);;;;sculpture
5729199308;Dissonanza Armonica;45.7547946;11.000578;POINT (11.000578 45.7547946);;;;statue
5729199309;Obelisco di pietra;45.7546897;11.0005251;POINT (11.0005251 45.7546897);;;;sculpture
5729199310;Sguardo di pietra;45.7544003;11.0006491;POINT (11.0006491 45.7544003);;;;sculpture
5729199311;Si va da soli, Si torna assieme;45.7545436;11.0007772;POINT (11.0007772 45.7545436);;;;sculpture
5731994103;Unnamed;46.1751425;11.5410835;POINT (11.5410835 46.1751425);;;;cross
5731994104;Unnamed;46.1751556;11.5410946;POINT (11.5410946 46.1751556);;;;cross
5795947153;Unnamed;46.2584641;10.5821229;POINT (10.5821229 46.2584641);;;;statue
5796946877;Unnamed;46.1649294;11.0031878;POINT (11.0031878 46.1649294);;;;statue
5825168115;Regina Mundi;45.8565938;10.8304366;POINT (10.8304366 45.8565938);;;;statue
5825475253;Aquila di Christomannos;46.413789;11.6230103;POINT (11.6230103 46.413789);;Grande opera artistica in bronzo, dedicata a Theodor Christomannos, austriaco considerato uno dei pionieri del turismo nelle Dolomiti.;;statue
5825545311;Unnamed;46.056934;11.5237374;POINT (11.5237374 46.056934);;;;sculpture
5825545312;Unnamed;46.0566154;11.5235895;POINT (11.5235895 46.0566154);;;;sculpture
5825545313;Unnamed;46.056485;11.5235156;POINT (11.5235156 46.056485);;;;sculpture
5825545314;Unnamed;46.056346;11.5233338;POINT (11.5233338 46.056346);;;;sculpture
5825545315;Unnamed;46.0562712;11.5233646;POINT (11.5233646 46.0562712);;;;sculpture
5825545316;Unnamed;46.0572504;11.5237559;POINT (11.5237559 46.0572504);;;;sculpture
5825545317;Unnamed;46.0573552;11.5238329;POINT (11.5238329 46.0573552);;;;sculpture
5825545318;Unnamed;46.0570431;11.523645;POINT (11.523645 46.0570431);;;;sculpture
