id;name;latitude;longitude;bounds;geometry;type;details
PA_id_29114281;Salita Chiesa;;;{'minlat': 46.2807539, 'minlon': 11.5158083, 'maxlat': 46.2815825, 'maxlon': 11.5167759};POLYGON ((11.5158083 46.2815825, 11.5160283 46.2815728, 11.5161156 46.2815448, 11.5161627 46.2815019, 11.5161721 46.2814403, 11.5161628 46.2813731, 11.5161247 46.281203, 11.5161239 46.2811528, 11.5161473 46.2810795, 11.5161828 46.2810268, 11.5162386 46.2809671, 11.5163568 46.2808758, 11.5164739 46.2808246, 11.5166017 46.280788, 11.5167759 46.2807539, 11.5158083 46.2815825));skiing:nordic;{'highway': 'path', 'piste:difficulty': 'intermediate', 'piste:grooming': 'classic+skating', 'ski': 'designated'}
PA_id_29130295;Pista Stadio del Fondo;;;{'minlat': 46.2808951, 'minlon': 11.5131424, 'maxlat': 46.2813034, 'maxlon': 11.5151749};POLYGON ((11.5151749 46.2812327, 11.5149327 46.2812537, 11.5147736 46.2812508, 11.5135271 46.2809095, 11.5133882 46.2808951, 11.5132581 46.2809327, 11.5131829 46.2810021, 11.5131424 46.2811091, 11.5131634 46.2813034, 11.5151749 46.2812327));skiing:nordic;{'highway': 'path', 'oneway': 'yes', 'piste:difficulty': 'intermediate', 'piste:grooming': 'classic+skating', 'ski': 'designated'}
PA_id_29130914;Pista Marcialonga;;;{'minlat': 46.281707, 'minlon': 11.5246141, 'maxlat': 46.2828158, 'maxlon': 11.5256303};POLYGON ((11.5246141 46.281707, 11.524692 46.2817188, 11.5247536 46.2817413, 11.5248105 46.2817969, 11.5248697 46.2818858, 11.524968 46.2819486, 11.5251043 46.2820197, 11.5252689 46.2821156, 11.5254182 46.2821642, 11.5255746 46.2822388, 11.5256303 46.2823312, 11.525616 46.2824082, 11.5255864 46.282452, 11.5255106 46.2824947, 11.5250616 46.2827304, 11.5250474 46.2827719, 11.5250604 46.2827897, 11.5250991 46.2828158, 11.5246141 46.281707));skiing:nordic;{'highway': 'path', 'oneway': 'no', 'piste:difficulty': 'easy', 'piste:grooming': 'classic+skating', 'ski': 'designated'}
PA_id_29143146;Pista Marcialonga;;;{'minlat': 46.2806641, 'minlon': 11.5261401, 'maxlat': 46.2824813, 'maxlon': 11.542095};POLYGON ((11.5261401 46.2824813, 11.5269575 46.2821708, 11.5275072 46.2819598, 11.52782 46.281882, 11.5290676 46.2815896, 11.5292916 46.2815007, 11.5298839 46.281249, 11.530665 46.2811194, 11.530876 46.2811231, 11.5312314 46.2812638, 11.5314202 46.2813193, 11.5316183 46.2813138, 11.5320977 46.2811768, 11.5324864 46.281099, 11.5326178 46.2810805, 11.5329362 46.2809695, 11.5332027 46.2809343, 11.533547 46.2809843, 11.5339635 46.2809288, 11.534752 46.2809417, 11.5350908 46.2810083, 11.5353869 46.2810361, 11.5355609 46.2810324, 11.5357645 46.2809861, 11.5361366 46.2808769, 11.5368585 46.2807159, 11.5376896 46.2806844, 11.5386632 46.2806641, 11.5391685 46.2807714, 11.5408751 46.2819264, 11.5412176 46.2819894, 11.5415327 46.2820078, 11.5416519 46.2819899, 11.541769 46.281918, 11.5418133 46.2818477, 11.5418612 46.2817201, 11.5418985 46.2816334, 11.5419654 46.2815525, 11.542095 46.2814878, 11.5261401 46.2824813));skiing:nordic;{'highway': 'path', 'motorcar': 'no', 'oneway': 'no', 'piste:difficulty': 'easy', 'piste:grooming': 'classic+skating', 'ski': 'designated'}
PA_id_29143789;Pista Marcialonga;;;{'minlat': 46.2819605, 'minlon': 11.5045414, 'maxlat': 46.2846582, 'maxlon': 11.5173824};POLYGON ((11.5045414 46.2846582, 11.5047285 46.2846167, 11.5051665 46.2845595, 11.5053052 46.2845188, 11.5053558 46.2845287, 11.5054263 46.2845012, 11.50619 46.2843867, 11.5062924 46.2843339, 11.5063419 46.2842579, 11.5063881 46.2841688, 11.5064757 46.2840702, 11.5066463 46.28393, 11.5069103 46.2838171, 11.5070521 46.2837649, 11.5072632 46.2836441, 11.5075148 46.2835733, 11.5075888 46.2835546, 11.5079082 46.2833964, 11.508078 46.2833201, 11.5081878 46.2833108, 11.5083623 46.2832741, 11.5085088 46.2832368, 11.5090096 46.2831674, 11.5093259 46.2831581, 11.509745 46.2831877, 11.5099397 46.2832157, 11.5101267 46.2832204, 11.510386 46.283229, 11.5106244 46.2832344, 11.5110412 46.2832352, 11.5116092 46.2833012, 11.5119368 46.2833205, 11.5124873 46.2833632, 11.5129583 46.2834523, 11.5133382 46.2835105, 11.5136619 46.2834039, 11.5138053 46.2833477, 11.5142473 46.2833612, 11.5145496 46.2833709, 11.5149063 46.2832042, 11.51523 46.2829716, 11.5156176 46.2827003, 11.5160739 46.2824541, 11.5165345 46.2823115, 11.5169795 46.2822401, 11.51724 46.2821254, 11.5173824 46.2819605, 11.5045414 46.2846582));skiing:nordic;{'highway': 'path', 'motorcar': 'no', 'oneway': 'no', 'piste:difficulty': 'easy', 'piste:grooming': 'classic+skating', 'ski': 'designated'}
PA_id_29213783;Pista Marcialonga;;;{'minlat': 46.2960646, 'minlon': 11.5866437, 'maxlat': 46.3015542, 'maxlon': 11.5909435};POLYGON ((11.5866514 46.2960646, 11.5866437 46.2964285, 11.5867502 46.2965385, 11.586828 46.2966188, 11.5874604 46.2972719, 11.5877224 46.2975627, 11.5882111 46.2981053, 11.588256 46.298131, 11.5885551 46.2982332, 11.5888147 46.2984515, 11.588974 46.2986844, 11.5890784 46.2987529, 11.5895255 46.299046, 11.5900709 46.299717, 11.5903924 46.3001517, 11.5906118 46.3005724, 11.5908296 46.3010967, 11.5908967 46.3013839, 11.5909435 46.3015542, 11.5866514 46.2960646));skiing:nordic;{'highway': 'track', 'piste:difficulty': 'easy', 'ski': 'designated'}
PA_id_29230226;;;;{'minlat': 46.3552071, 'minlon': 11.4901563, 'maxlat': 46.3576205, 'maxlon': 11.4928125};POLYGON ((11.4927637 46.3552071, 11.4928125 46.3554534, 11.4926919 46.3556379, 11.4902641 46.3571917, 11.4902124 46.3572932, 11.4901563 46.3574033, 11.4901854 46.3575143, 11.4902627 46.3575957, 11.4904409 46.3576205, 11.4927637 46.3552071));skiing:nordic;{'oneway': 'yes', 'piste:oneway': 'yes'}
PA_id_29230227;;;;{'minlat': 46.3575957, 'minlon': 11.4902627, 'maxlat': 46.3578809, 'maxlon': 11.4902813};LINESTRING (11.4902627 46.3575957, 11.4902813 46.3578809);skiing:nordic;{}
PA_id_29232315;;;;{'minlat': 46.3512116, 'minlon': 11.4648944, 'maxlat': 46.3536549, 'maxlon': 11.4667681};POLYGON ((11.4657754 46.3536549, 11.4657094 46.3532749, 11.4656128 46.3530864, 11.4654729 46.3529278, 11.4652757 46.3527734, 11.4649773 46.3523958, 11.4648944 46.3521555, 11.4649276 46.3520011, 11.4649939 46.3518695, 11.4654083 46.3515663, 11.4656072 46.3514004, 11.4658144 46.351286, 11.4660548 46.3512345, 11.4663614 46.3512116, 11.4665603 46.3512345, 11.4667681 46.3513493, 11.4657754 46.3536549));skiing:nordic;{'oneway': 'yes', 'piste:oneway': 'yes'}
PA_id_29232319;;;;{'minlat': 46.3572441, 'minlon': 11.4814979, 'maxlat': 46.3576574, 'maxlon': 11.4865495};POLYGON ((11.4865495 46.3575623, 11.4860392 46.3574941, 11.4855783 46.35746, 11.4851503 46.35746, 11.4847717 46.3574941, 11.4840638 46.3575623, 11.4837346 46.3576418, 11.4834218 46.3575736, 11.4829774 46.3574259, 11.4825 46.3572896, 11.4820391 46.3572441, 11.4819074 46.3572441, 11.4818745 46.3573237, 11.4819239 46.3574259, 11.4819403 46.3575395, 11.481858 46.3576077, 11.4816276 46.3576304, 11.4814979 46.3576574, 11.4865495 46.3575623));skiing:nordic;{'highway': 'path', 'piste:oneway': 'yes'}
PA_id_29232320;;;;{'minlat': 46.3593778, 'minlon': 11.48218, 'maxlat': 46.3639208, 'maxlon': 11.4966772};POLYGON ((11.4966222 46.3593778, 11.4966693 46.3594383, 11.4966772 46.3595672, 11.4966728 46.3596966, 11.4966348 46.3598703, 11.4965234 46.3601259, 11.4963501 46.3602743, 11.495993 46.3603932, 11.495665 46.3605428, 11.4952824 46.3606646, 11.4948164 46.3606999, 11.4943933 46.3607577, 11.4940859 46.3609027, 11.4939391 46.3609474, 11.4938028 46.3608806, 11.4934267 46.3603327, 11.4932496 46.3603, 11.4928071 46.3603508, 11.4918578 46.3607871, 11.4913089 46.3610766, 11.4910214 46.3613779, 11.4907341 46.3616829, 11.4904085 46.3618722, 11.4896076 46.3622129, 11.4889392 46.3624189, 11.4886281 46.3624483, 11.4879685 46.3623819, 11.4876607 46.3624271, 11.4873043 46.3624481, 11.4863997 46.3625957, 11.4856264 46.3630295, 11.4853828 46.3631396, 11.4852053 46.3631652, 11.4850668 46.3631155, 11.4849645 46.3630034, 11.4847671 46.3628192, 11.4839067 46.362583, 11.4835888 46.3626203, 11.4831104 46.3627436, 11.4830104 46.3629524, 11.4831066 46.3631165, 11.4832466 46.3632476, 11.4833028 46.3633674, 11.4832435 46.3634315, 11.4829731 46.3634681, 11.4826918 46.3634749, 11.4824505 46.3635923, 11.48218 46.3637745, 11.4822818 46.3638992, 11.4824305 46.3639208, 11.4966222 46.3593778));skiing:nordic;{'oneway': 'yes', 'piste:oneway': 'yes'}
