Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2021 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Rasun-Anterselva;04021071;Comune;463,480;3,000;211,394;8,691;2,780;40,326;79,117;21,007;10,478;30,555;168,806;43,860;73,360;;
Renon;04021072;Comune;500,760;52,370;369,520;9,040;243,212;82,400;95,820;44,544;10,757;51,500;387,260;74,830;76,640;;
Rifiano;04021073;Comune;105,094;28,523;58,778;;37,058;20,687;5,350;3,547;4,108;14,320;49,430;20,370;12,010;;
Rio di Pusteria;04021074;Comune;403,240;77,578;253,552;0,998;53,778;74,923;68,307;15,420;10,927;5,620;181,205;48,090;;;
Rodengo;04021075;Comune;97,980;18,233;70,257;2,506;27,066;21,970;15,620;6,464;4,059;;45,691;;77,320;;
Salorno;04021076;Comune;206,550;83,920;185,640;7,260;154,170;64,550;108,100;33,069;11,753;21,950;146,910;56,670;;;
San Candido;04021077;Comune;608,560;99,870;389,427;14,156;61,609;65,514;83,241;24,635;13,277;18,314;231,147;38,979;123,440;;
San Genesio Atesino;04021079;Comune;210,100;97,690;120,420;14,330;;45,460;46,840;19,925;11,324;6,950;102,540;45,990;;;
San Leonardo in Passiria;04021080;Comune;344,847;45,021;171,351;3,105;41,977;36,563;12,457;24,660;22,398;11,790;123,537;54,060;88,580;;
San Lorenzo di Sebato;04021081;Comune;493,523;61,793;278,068;6,023;101,824;50,607;48,419;22,308;20,639;14,882;211,075;42,170;43,780;;
San Martino in Badia;04021082;Comune;285,080;36,320;316,796;51,026;;41,548;159,917;17,701;9,952;12,940;226,783;14,660;;;
San Martino in Passiria;04021083;Comune;346,808;45,021;149,151;3,105;41,977;34,763;10,277;25,251;13,243;10,040;126,877;23,031;;;
San Pancrazio;04021084;Comune;27,660;22,643;44,288;;11,460;10,960;2,760;5,815;3,184;4,000;31,780;7,800;6,860;;
Santa Cristina Valgardena;04021085;Comune;331,504;;143,562;0,502;46,619;46,994;37,323;15,896;1,785;;166,995;;;;
Sarentino;04021086;Comune;423,191;;220,480;23,160;106,830;85,160;162,810;48,966;10,835;30,500;111,640;53,100;;;
Scena;04021087;Comune;639,980;;216,180;0,180;27,480;37,680;15,600;15,543;15,200;6,120;266,940;;;;
Selva dei Molini;04021088;Comune;102,090;36,360;53,305;2,534;;17,952;16,363;7,934;6,218;10,301;29,627;20,925;;;
Selva di Val Gardena;04021089;Comune;434,187;51,495;368,536;0,695;68,886;90,568;77,753;22,105;4,232;7,920;331,288;;25,760;;
Senales;04021091;Comune;140,120;8,940;74,240;2,030;34,980;17,740;3,320;10,782;2,826;5,810;85,600;19,305;65,540;;
Senale-San Felice;04021118;Comune;;34,570;30,420;;;11,240;2,340;7,646;2,051;1,400;23,060;;38,000;;
Sesto;04021092;Comune;465,120;68,930;183,992;10,013;23,007;45,319;60,908;19,022;7,948;8,242;179,193;23,657;;;
Silandro;04021093;Comune;985,708;22,735;350,720;11,700;42,544;58,390;462,637;36,259;14,472;17,050;209,900;49,510;191,280;;
