Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2022 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Roncegno Terme;04022156;Comune;205,093;;165,020;10,579;83,276;41,509;88,332;28,288;8,948;1,401;124,454;37,929;62,516;;
Ronchi Valsugana;04022157;Comune;30,659;;24,668;1,582;12,449;6,205;13,204;4,229;1,338;0,209;18,605;5,670;9,345;;
Ronzo-Chienis;04022135;Comune;120,510;;62,380;;;6,183;44,384;3,385;1,099;4,190;51,730;;;;
Ronzone;04022159;Comune;57,570;;37,993;1,676;25,569;10,246;16,591;5,265;1,887;1,692;21,740;7,110;;;
Rovere della Luna;04022160;Comune;158,460;;84,922;8,735;50,290;27,928;82,091;9,511;2,623;8,610;66,694;24,300;7,560;;
Rovereto;04022161;Comune;4.991,774;241,068;2.586,832;460,424;974,854;339,167;970,291;277,261;78,797;157,450;1.477,290;597,135;302,550;;
Ruffre-Mendola;04022162;Comune;47,655;;31,451;1,388;21,166;8,482;13,733;4,358;1,562;1,401;17,995;6,300;;;
Rumo;04022163;Comune;90,086;;59,453;2,622;40,011;16,033;25,961;8,239;2,951;2,648;34,019;11,865;;;
Sagron Mis;04022164;Comune;24,891;;16,653;1,552;8,849;2,888;11,243;1,599;0,469;0,636;7,887;2,730;8,270;;
Samone;04022165;Comune;36,872;;29,668;1,902;14,972;7,463;15,881;5,085;1,609;0,252;22,375;6,819;11,239;;
San Lorenzo Dorsino;04022231;Comune;200,552;;146,774;47,611;55,078;26,639;62,422;19,647;4,311;1,948;105,719;23,655;;;
San Michele all\'Adige;04022167;Comune;503,040;;260,233;18,822;84,230;38,151;174,713;19,686;4,282;21,290;163,042;62,480;10,000;;
Sant\'Orsola Terme;04022168;Comune;173,439;;75,561;4,566;21,370;11,931;28,115;7,058;2,692;3,986;50,335;16,725;34,073;;
Sanzeno;04022169;Comune;99,147;;65,433;2,887;44,036;17,645;28,574;9,067;3,247;2,915;37,440;13,845;;;
Sarnonico;04022170;Comune;95,523;;63,041;2,781;42,426;17,001;27,528;8,736;3,128;2,808;36,071;11,820;;;
Scurelle;04022171;Comune;91,708;;73,789;4,730;37,237;18,561;39,498;12,649;4,003;0,626;55,650;16,960;27,954;;
Segonzano;04022172;Comune;82,674;;72,527;6,656;41,434;28,349;57,683;15,099;2,599;7,670;60,406;20,535;18,850;;
Sella Giudicarie;04022246;Comune;340,846;;249,449;80,920;93,608;45,274;106,088;33,391;7,326;3,311;179,674;43,560;;;
Sen Jan di Fassa-San Giovanni di Fassa;04022250;Comune;723,587;;417,059;31,472;239,710;266,840;223,025;31,456;7,006;7,320;417,311;;54,960;;
Sfruz;04022173;Comune;41,791;;27,580;1,216;18,561;7,438;12,044;3,822;1,369;1,229;15,782;5,535;;;
Soraga;04022176;Comune;115,343;;101,677;3,837;32,390;4,941;41,564;8,173;1,225;;119,582;;;;
Sover;04022177;Comune;45,576;;35,804;3,690;24,796;15,718;31,905;8,383;1,527;4,253;32,901;11,580;20,880;;
Spiazzo;04022179;Comune;149,618;;109,498;35,516;41,090;19,874;46,567;14,657;3,216;1,453;78,870;19,035;;;
Spormaggiore;04022180;Comune;204,740;;87,014;6,509;50,870;18,928;56,630;11,590;1,853;7,069;55,173;18,885;;;
Sporminore;04022181;Comune;76,653;;50,588;2,231;34,045;13,643;22,090;7,011;2,510;2,253;28,945;10,725;;;
Stenico;04022182;Comune;147,230;;107,750;34,946;40,434;19,557;45,824;14,424;3,165;1,430;77,611;17,400;;;
Storo;04022183;Comune;513,429;;375,753;121,889;141,005;68,199;159,803;50,298;11,037;4,987;270,650;67,470;;;
Strembo;04022184;Comune;69,920;;51,170;16,596;19,202;9,288;21,761;6,850;1,503;0,679;36,858;8,940;;;
Telve;04022188;Comune;130,741;;105,195;6,744;53,086;26,460;56,309;18,032;5,705;0,893;79,336;24,179;39,852;;
Telve di Sopra;04022189;Comune;41,599;;33,472;2,146;16,891;8,420;17,916;5,737;1,816;0,284;25,243;7,693;12,680;;
Tenna;04022190;Comune;166,969;;72,742;4,396;20,572;11,486;27,067;6,793;2,591;3,837;48,457;15,900;32,803;;
Tenno;04022191;Comune;197,648;;99,161;8,351;69,857;18,262;75,631;12,349;3,699;1,026;112,670;16,624;19,750;;
Terragnolo;04022193;Comune;35,580;1,080;22,755;;;2,653;18,847;1,145;0,806;1,540;51,840;;9,350;;
Terre d\'Adige;04022251;Comune;297,152;;152,261;14,171;65,023;39,915;121,594;20,583;5,063;15,942;123,731;45,840;20,600;;
Terzolas;04022195;Comune;74,846;;33,613;2,124;16,039;13,491;19,651;6,130;1,840;2,687;25,236;9,495;;;
Tesero;04022196;Comune;655,693;;309,582;129,940;87,543;42,751;125,287;32,584;9,665;10,180;186,111;44,415;89,899;;
Tione di Trento;04022199;Comune;713,550;;307,691;99,811;115,464;55,846;130,859;41,188;9,039;4,084;221,626;54,960;;;
Ton;04022200;Comune;137,953;;91,044;4,017;61,272;24,552;39,756;12,617;4,517;4,055;52,094;19,230;;;
Torcegno;04022202;Comune;48,151;;38,742;2,484;19,551;9,745;20,738;6,641;2,100;0,329;29,218;8,905;14,677;;
Trambileno;04022203;Comune;115,360;;70,411;;;7,192;51,867;2,651;0,829;6,440;56,110;;68,880;;
Tre Ville;04022247;Comune;196,685;;143,944;46,697;54,016;26,125;61,217;19,269;4,228;1,910;103,681;20,460;;;
Trento;04022205;Comune;16.898,520;604,779;8.446,160;1.578,985;2.329,900;902,722;3.053,579;778,950;210,237;476,450;5.080,620;1.770,690;994,670;;
Valdaone;04022232;Comune;134,611;;98,515;31,950;36,968;17,880;41,897;13,188;2,893;1,307;70,959;17,280;;;
Valfloriana;04022209;Comune;85,680;;40,454;16,980;11,440;5,587;16,371;4,258;1,263;1,330;24,319;6,195;11,747;;
Vallarsa;04022210;Comune;48,590;;68,726;;;7,483;52,899;6,413;2,983;4,840;75,260;;56,690;;
