Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);;
Ospedaletto;04022130;Comune;14,911;;38,152;2,516;11,352;9,484;20,957;5,720;1,799;0,258;36,918;11,925;;;
Ossana;04022131;Comune;222,241;;62,518;4,367;38,750;27,211;31,132;11,315;3,706;2,528;56,328;12,615;;;
Palu del Fersina;04022133;Comune;40,374;;12,849;0,828;3,784;2,248;4,350;1,212;0,427;0,666;6,803;2,505;;;
Panchia ;04022134;Comune;177,986;;76,236;5,308;19,538;10,206;27,545;8,382;2,705;2,539;39,083;;;;
Peio;04022136;Comune;204,342;;142,393;6,403;60,940;40,188;60,564;16,612;3,408;2,400;106,635;9,260;;;
Pellizzano;04022137;Comune;135,152;;54,916;2,458;25,730;21,818;26,012;13,747;1,986;2,201;45,687;11,760;;;
Pelugo;04022138;Comune;37,115;;24,111;16,257;9,594;4,494;10,065;3,220;0,821;0,594;18,163;5,775;;;
Pergine Valsugana;04022139;Comune;3.994,295;;1.524,408;98,213;448,917;266,827;516,019;143,706;50,851;79,074;807,115;326,442;;;
Pieve Di Bono-Prezzo;04022234;Comune;132,233;;85,903;57,919;34,183;16,013;35,859;11,474;2,927;2,116;64,710;21,750;;;
Pieve Tesino;04022142;Comune;53,757;;37,825;2,744;14,962;11,361;22,117;5,983;1,788;0,109;41,707;9,735;;;
Pinzolo;04022143;Comune;761,752;;494,854;333,653;196,915;92,245;206,572;66,100;16,861;12,190;372,772;45,720;;;
Pomarolo;04022144;Comune;192,049;44,426;136,524;11,564;39,481;23,283;89,863;14,396;3,465;3,097;73,558;37,500;;;
Porte Di Rendena;04022244;Comune;168,990;;109,779;74,019;43,684;20,464;45,826;14,663;3,741;2,704;82,697;27,105;;;
Predaia;04022230;Comune;766,710;;469,416;65,804;295,134;131,697;212,785;66,503;23,436;19,187;271,157;100,125;;;
Predazzo;04022147;Comune;1.033,926;;442,854;30,838;113,498;59,289;160,009;48,694;15,707;14,750;227,032;;;;
Primiero San Martino Di Castrozza;04022245;Comune;934,589;;611,540;59,309;295,140;124,141;482,790;59,728;20,297;2,547;150,013;80,970;;;
Rabbi;04022150;Comune;138,292;;68,386;5,983;30,690;41,548;39,754;13,177;2,921;1,523;75,491;20,295;;;
Revo;04022152;Comune;131,297;;80,386;11,269;50,541;22,553;36,439;11,389;4,013;3,286;46,434;19,170;;;
Riva del Garda;04022153;Comune;2.739,690;288,303;1.346,411;91,272;546,139;202,273;881,917;128,976;18,398;6,259;768,899;262,575;;;
Romallo;04022154;Comune;64,224;;39,321;5,511;24,722;11,032;17,824;5,570;1,963;1,607;22,714;9,165;;;
Romeno;04022155;Comune;168,141;;102,944;14,432;64,723;28,882;46,664;14,585;5,140;4,208;59,465;20,940;;;
Roncegno Terme;04022156;Comune;190,852;;168,822;11,023;60,745;40,754;92,241;24,255;7,373;0,999;97,953;43,950;;;
Ronchi Valsugana;04022157;Comune;21,171;;21,879;1,319;10,534;7,620;10,422;3,601;1,317;0,150;21,361;6,690;;;
Ronzo-Chienis;04022135;Comune;168,041;46,727;66,295;4,803;0,718;6,086;41,495;12,645;2,081;5,040;68,320;;;;
Ronzone;04022159;Comune;83,154;;50,911;7,136;32,009;14,283;23,078;7,213;2,542;2,081;29,409;6,420;;;
Rovere della Luna;04022160;Comune;206,311;;127,119;8,812;44,429;23,439;76,214;11,949;2,137;6,749;71,546;25,200;;;
Rovereto;04022161;Comune;5.955,594;;2.836,804;150,874;800,456;353,151;1.209,113;308,258;74,447;76,916;1.383,260;599,580;;;
Ruffre-Mendola;04022162;Comune;63,714;;39,009;5,469;24,526;10,944;17,682;5,527;1,948;1,594;22,533;6,135;;;
Rumo;04022163;Comune;95,674;;58,576;8,211;36,828;16,434;26,552;8,299;2,925;2,394;33,836;12,090;;;
Sagron Mis;04022164;Comune;23,915;;15,649;1,518;7,552;3,177;12,353;1,528;0,519;0,066;3,839;2,760;;;
Samone;04022165;Comune;30,459;;24,121;1,873;7,180;6,057;15,674;2,936;1,306;0,127;13,664;5,910;;;
San Lorenzo Dorsino;04022231;Comune;177,148;;115,080;77,592;45,793;21,452;48,040;15,372;3,921;2,835;86,689;23,565;;;
San Michele all\'Adige;04022167;Comune;398,647;;245,628;17,027;85,849;45,291;147,265;23,087;4,126;13,041;138,246;48,345;;;
Sant\'Orsola Terme;04022168;Comune;235,316;;79,370;5,114;23,373;13,892;26,867;7,483;2,649;4,118;42,023;16,996;;;
Sanzeno;04022169;Comune;99,032;;60,632;8,500;38,121;17,010;27,485;8,590;3,028;2,478;35,024;13,875;;;
Sarnonico;04022170;Comune;102,493;;62,751;8,796;39,453;17,605;28,444;8,890;3,133;2,565;36,248;12,120;;;
Scurelle;04022171;Comune;121,652;;78,639;5,240;25,145;19,885;43,731;9,636;5,031;0,048;47,502;18,901;;;
