Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2016 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Frassilongo;04022090;Comune;112,540;;29,661;1,842;5,575;7,169;12,874;2,045;0,785;0,273;16,252;5,177;;;
Garniga Terme;04022091;Comune;53,089;;31,821;1,989;10,998;5,818;17,611;3,010;0,783;1,081;17,212;5,880;;;
Giovo;04022092;Comune;240,503;;188,938;11,809;65,302;34,549;104,562;7,645;4,639;6,421;102,195;37,950;;;
Giustino;04022093;Comune;115,182;;78,751;5,962;21,841;14,381;47,785;8,696;2,046;3,194;47,617;11,145;;;
Grigno;04022095;Comune;159,059;;114,958;14,058;46,721;37,704;114,001;17,366;6,902;0,891;16,169;33,135;;;
Imer;04022097;Comune;141,096;;90,510;11,605;31,365;18,761;88,514;7,952;3,140;0,376;;17,580;;;
Isera;04022098;Comune;317,082;;195,917;23,072;57,548;30,963;191,729;16,884;6,494;2,608;;41,460;;;
Lavarone;04022102;Comune;184,355;;140,578;8,340;76,233;28,644;65,356;15,704;3,358;2,140;101,285;16,725;;;
Lavis;04022103;Comune;1.106,261;;663,085;41,443;229,184;121,253;366,964;62,716;16,274;22,533;358,662;133,515;;;
Ledro;04022229;Comune;457,750;;384,672;40,884;164,140;97,266;396,718;29,940;8,238;2,770;;79,845;;;
Levico Terme;04022104;Comune;1.062,846;;713,810;35,290;145,130;90,661;312,553;39,785;12,114;6,309;365,590;56,126;;;
Livo;04022106;Comune;87,198;;55,147;7,691;28,068;13,020;24,772;7,292;2,690;1,383;25,882;12,645;;;
Lona-Lases;04022108;Comune;109,372;;65,558;4,098;22,659;11,988;36,280;6,201;1,610;2,228;35,460;13,170;;;
Luserna;04022109;Comune;38,608;;20,544;1,572;12,022;8,401;12,910;2,743;0,683;0,999;16,135;4,095;;;
Madruzzo;04022243;Comune;359,823;;215,676;13,481;74,543;39,439;119,359;20,400;5,296;7,329;116,658;43,050;;;
Male;04022110;Comune;251,751;;164,716;6,762;45,200;33,059;51,103;22,914;3,781;2,207;97,243;20,560;;;
Malosco;04022111;Comune;66,603;;42,122;5,874;21,438;9,945;18,921;5,570;2,056;1,056;19,769;6,645;;;
Massimeno;04022112;Comune;13,660;;9,339;0,707;2,590;1,706;5,668;1,032;0,243;0,379;5,647;1,890;;;
Mazzin;04022113;Comune;98,059;;45,019;3,398;23,360;6,132;41,852;4,937;0,960;1,846;;;;;
Mezzana;04022114;Comune;352,841;;117,259;5,494;53,890;29,747;49,119;13,423;3,046;0,980;122,703;13,410;;;
Mezzano;04022115;Comune;198,685;;127,452;16,342;44,167;26,419;124,640;11,197;4,421;0,529;;24,270;;;
Mezzocorona;04022116;Comune;682,533;;409,107;25,572;141,399;74,809;226,407;38,695;10,046;13,902;221,284;82,305;;;
Mezzolombardo;04022117;Comune;874,120;;523,944;32,749;181,089;95,808;289,959;49,556;12,865;17,805;283,398;106,470;;;
Moena;04022118;Comune;655,702;;271,643;26,090;211,540;81,916;296,393;12,070;5,269;8,270;;;;;
Molveno;04022120;Comune;307,226;;184,150;11,511;63,647;33,674;101,912;17,418;4,522;6,258;99,606;16,920;;;
Mori;04022123;Comune;1.049,062;;583,246;42,178;177,835;92,197;361,590;57,323;15,191;9,745;328,400;146,190;;;
Nago-Torbole;04022124;Comune;741,990;;349,840;49,755;87,100;82,289;482,366;12,030;2,140;1,655;;43,425;;;
Nave San Rocco;04022126;Comune;171,186;;102,608;6,413;35,464;18,763;56,785;9,706;2,521;3,487;55,500;20,865;;;
Nogaredo;04022127;Comune;226,427;;114,184;8,161;37,410;19,896;69,838;11,226;3,354;2,451;69,450;31,080;;;
Nomi;04022128;Comune;145,501;;100,360;6,221;15,973;11,730;52,842;5,231;2,219;6,833;53,040;20,715;;;
Novaledo;04022129;Comune;78,920;;57,039;6,975;23,181;18,708;56,562;8,617;3,425;0,442;8,023;16,350;;;
Ospedaletto;04022130;Comune;58,545;;42,312;5,175;17,196;13,878;41,960;6,392;2,541;0,328;5,951;12,225;;;
Ossana;04022131;Comune;174,593;;63,457;4,455;27,440;23,990;28,757;9,710;3,479;2,589;55,094;12,810;;;
Palu del Fersina;04022133;Comune;23,344;;13,370;0,704;4,949;4,635;5,803;0,727;0,330;0,123;7,326;2,002;;;
Panchia ;04022134;Comune;158,204;;80,281;9,407;14,040;15,114;73,591;6,689;2,495;2,203;;;;;
Peio;04022136;Comune;245,161;;143,636;5,312;40,490;35,738;53,908;17,867;4,081;2,554;98,638;7,020;;;
Pellizzano;04022137;Comune;144,820;;66,111;3,071;25,300;15,505;25,533;13,335;2,686;2,157;42,808;11,820;;;
Pelugo;04022138;Comune;42,653;;29,162;2,208;8,088;5,325;17,696;3,221;0,758;1,183;17,633;6,015;;;
Pergine Valsugana;04022139;Comune;4.582,729;;1.536,650;117,261;482,638;275,921;787,308;146,384;57,128;39,551;786,947;320,445;;;
Pieve Di Bono-Prezzo;04022234;Comune;145,845;;99,715;7,550;27,656;18,209;60,507;11,012;2,589;4,045;60,293;21,960;;;
Pieve Tesino;04022142;Comune;60,266;;43,558;5,327;17,702;14,285;43,194;6,580;2,615;0,338;6,126;9,750;;;
Pinzolo;04022143;Comune;797,723;;545,415;41,296;151,268;99,600;330,954;60,225;14,158;22,123;329,778;45,885;;;
Pomarolo;04022144;Comune;215,167;;154,342;10,341;42,577;24,243;89,057;13,832;4,198;2,641;63,500;37,320;;;
Porte Di Rendena;04022244;Comune;186,336;;127,399;9,645;35,334;23,265;77,305;14,068;3,307;5,168;77,031;27,180;;;
Pozza di Fassa;04022145;Comune;473,050;;275,419;27,070;75,350;122,700;351,870;16,582;4,356;2,988;;;;;
Predaia;04022230;Comune;767,166;;485,179;67,659;246,937;114,543;217,936;64,156;23,680;12,166;227,709;99,825;;;
Predazzo;04022147;Comune;922,015;;467,876;54,825;81,828;88,087;428,889;38,982;14,539;12,837;;;;;
Primiero San Martino Di Castrozza;04022245;Comune;939,444;;602,632;77,269;208,833;124,917;589,335;52,939;20,901;2,499;;81,000;;;
Rabbi;04022150;Comune;134,185;;64,853;6,133;15,350;39,689;34,690;14,391;4,598;3,657;69,402;20,580;;;
Revo;04022152;Comune;130,644;;82,624;11,523;42,052;19,506;37,114;10,926;4,031;2,072;38,778;18,975;;;
Riva del Garda;04022153;Comune;2.672,048;;1.231,468;141,680;391,055;267,420;1.379,392;77,497;16,398;8,482;;257,850;;;
Romallo;04022154;Comune;64,656;;40,891;5,703;20,812;9,653;18,367;5,407;1,996;1,025;19,192;9,255;;;
Romeno;04022155;Comune;168,556;;106,601;14,866;54,256;25,167;47,883;14,096;5,202;2,673;50,031;20,940;;;
Roncegno Terme;04022156;Comune;226,859;;163,960;20,050;66,636;53,777;162,593;24,768;9,843;1,271;23,061;43,275;;;
Ronchi Valsugana;04022157;Comune;31,855;;23,022;2,815;9,357;7,551;22,831;3,478;1,383;0,178;3,238;6,585;;;
Ronzo-Chienis;04022135;Comune;176,560;;67,201;5,124;2,962;8,585;41,326;3,185;1,988;5,005;43,320;;;;
Ronzone;04022159;Comune;83,202;;52,619;7,339;26,782;12,423;23,637;6,957;2,567;1,319;24,696;6,525;;;
Rovere della Luna;04022160;Comune;199,451;;119,551;7,472;41,319;21,861;66,161;11,307;2,935;4,063;64,664;24,330;;;
Rovereto;04022161;Comune;5.237,148;;2.763,620;137,565;684,992;300,354;1.139,745;254,801;67,017;47,482;1.272,700;592,230;;;
Ruffre-Mendola;04022162;Comune;63,017;;39,854;5,559;20,284;9,409;17,902;5,269;1,943;0,999;18,704;;;;
Rumo;04022163;Comune;98,162;;62,081;8,658;31,597;14,656;27,887;8,208;3,030;1,557;29,137;12,360;;;
Sagron Mis;04022164;Comune;25,807;;16,554;2,123;5,737;3,431;16,190;1,455;0,573;0,069;;2,865;;;
Samone;04022165;Comune;39,747;;28,727;3,513;11,675;9,422;28,488;4,340;1,725;0,223;4,040;8,280;;;
San Lorenzo Dorsino;04022231;Comune;195,770;;133,850;10,134;37,123;24,443;81,219;14,781;3,474;5,429;80,932;23,820;;;
San Michele all\'Adige;04022167;Comune;383,418;;229,820;14,365;79,431;42,024;127,186;21,738;5,643;7,810;124,308;46,380;;;
Sant\'Orsola Terme;04022168;Comune;110,588;;76,870;5,397;10,036;18,577;33,402;4,178;1,822;0,707;42,115;13,416;;;
Sanzeno;04022169;Comune;98,162;;62,081;8,658;31,597;14,656;27,887;8,208;3,030;1,557;29,137;13,770;;;
Sarnonico;04022170;Comune;103,490;;65,451;9,128;33,312;15,452;29,400;8,654;3,193;1,641;30,718;11,835;;;
Scurelle;04022171;Comune;104,533;;75,550;9,239;30,705;24,779;74,921;11,412;4,536;0,586;10,626;21,555;;;
Segonzano;04022172;Comune;153,197;;84,369;7,316;35,478;21,403;64,775;11,072;2,874;3,977;63,309;21,930;;;
Sella Giudicarie;04022246;Comune;335,324;;229,266;17,358;63,585;41,867;139,118;25,317;5,951;9,300;138,624;44,295;;;
Sfruz;04022173;Comune;48,671;;30,782;4,293;15,667;7,267;13,826;4,070;1,502;0,772;14,446;5,010;;;
Soraga;04022176;Comune;93,948;;89,850;11,921;29,580;21,679;133,852;0,730;2,139;;;;;;
Sover;04022177;Comune;109,372;;65,558;4,098;22,659;11,988;36,280;6,201;1,610;2,228;35,460;12,525;;;
Spiazzo;04022179;Comune;178,670;;122,159;9,249;33,880;22,308;74,124;13,489;3,170;4,955;73,863;19,050;;;
Spormaggiore;04022180;Comune;168,114;;100,767;6,299;34,828;18,426;55,766;9,532;2,477;3,424;54,504;19,260;;;
Sporminore;04022181;Comune;73,878;;46,723;6,516;23,780;11,031;20,987;6,178;2,281;1,172;21,928;10,680;;;
Stenico;04022182;Comune;150,070;;102,605;7,769;28,457;18,737;62,260;11,330;2,662;4,162;62,040;17,505;;;
Storo;04022183;Comune;463,283;;316,752;23,981;87,849;57,843;192,204;34,978;8,223;12,848;191,523;70,170;;;
Strembo;04022184;Comune;85,011;;58,122;4,400;16,120;10,614;35,269;6,419;1,509;2,358;35,144;8,400;;;
Telve;04022188;Comune;148,728;;107,492;13,145;43,686;35,255;106,597;16,238;6,453;0,833;15,119;30,285;;;
Telve di Sopra;04022189;Comune;42,187;;30,490;3,729;12,392;10,001;30,235;4,607;1,830;0,236;4,288;8,805;;;
Tenna;04022190;Comune;135,582;;75,874;5,697;19,804;15,033;32,183;6,200;1,364;0,671;38,967;7,918;;;
Tenno;04022191;Comune;199,702;;105,878;15,760;29,965;29,204;147,295;9,723;2,043;1,526;;22,632;;;
Terragnolo;04022193;Comune;44,875;;25,734;2,402;0,553;3,094;18,280;1,608;0,726;2,035;24,470;;;;
Terzolas;04022195;Comune;67,255;;28,125;1,895;7,115;11,307;12,945;4,106;2,464;1,182;20,978;2,668;;;
Tesero;04022196;Comune;580,419;;294,535;34,513;51,510;55,452;269,991;24,540;9,152;8,082;;;;;
Tione di Trento;04022199;Comune;362,941;;248,147;18,787;68,822;45,315;150,575;27,403;6,442;10,065;150,041;54,465;;;
Ton;04022200;Comune;136,690;;86,447;12,056;43,998;20,409;38,831;11,431;4,217;2,168;40,572;19,845;;;
Torcegno;04022202;Comune;52,302;;37,801;4,623;15,363;12,399;37,486;5,710;2,268;0,293;5,317;10,695;;;
Trambileno;04022203;Comune;130,840;;72,271;6,308;1,720;8,052;50,997;3,663;1,587;5,270;47,160;;;;
Tre Ville;04022247;Comune;218,866;;149,641;11,330;41,502;27,327;90,801;16,525;3,883;6,070;90,479;21,510;;;
Trento;04022205;Comune;16.600,420;;9.468,908;480,523;2.223,903;1.076,474;3.994,801;787,756;186,926;308,160;4.361,160;1.761,255;;;
Valdaone;04022232;Comune;126,288;;86,344;6,538;23,947;15,768;52,393;9,535;2,241;3,502;52,208;17,820;;;
Valfloriana;04022209;Comune;77,582;;39,369;4,614;6,885;7,412;36,089;3,280;1,224;1,080;;;;;
Vallarsa;04022210;Comune;43,482;;63,835;5,017;1,655;6,589;38,639;5,780;1,479;5,840;62,040;;;;
Vallelaghi;04022248;Comune;640,259;;383,769;23,988;132,641;70,176;212,384;36,299;9,423;13,041;207,578;76,125;;;
Varena;04022211;Comune;174,705;;88,654;10,389;15,504;16,691;81,266;7,386;2,753;2,433;;;;;
Vermiglio;04022213;Comune;290,327;;127,797;8,986;46,300;49,262;70,476;18,481;3,787;3,992;133,060;28,035;;;
Vignola-Falesina;04022216;Comune;28,993;;15,824;0,941;3,773;2,846;6,838;1,506;0,557;0,408;8,134;2,430;;;
Vigo di Fassa;04022217;Comune;227,791;;147,254;12,179;50,240;74,245;140,561;11,056;2,609;1,992;;;;;
Villa d\'Anaunia;04022249;Comune;507,513;;320,969;44,762;163,361;75,776;144,176;42,442;15,662;8,048;150,640;73,320;;;
Villa Lagarina;04022222;Comune;383,386;;240,204;16,457;75,264;41,917;143,337;27,074;8,342;5,956;126,440;57,435;;;
Volano;04022224;Comune;392,544;;188,471;12,810;76,206;44,221;110,577;25,091;7,177;4,660;98,700;46,275;;;
Zambana;04022225;Comune;216,656;;129,863;8,117;44,884;23,746;71,868;12,282;3,190;4,413;70,242;26,430;;;
Ziano di Fiemme;04022226;Comune;356,212;;180,762;21,182;31,612;34,032;165,698;15,062;5,619;4,960;;;;;


			



