Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Ospedaletto;04022130;Comune;30,500;;44,287;4,304;10,833;9,638;29,854;6,283;;0,302;19,516;;;;
Ossana;04022131;Comune;127,423;;69,958;7,714;27,980;21,308;20,922;6,665;;3,964;52,635;;;;
Padergnone;04022132;Comune;77,106;;53,441;2,057;14,467;10,362;33,822;4,907;;0,791;47,903;;;;
Palu del Fersina;04022133;Comune;26,759;;13,486;0,656;2,690;2,692;3,508;1,307;;0,123;8,953;;;;
Panchia ;04022134;Comune;150,107;;77,687;3,867;13,270;13,218;44,428;6,323;;1,784;28,171;;;;
Peio;04022136;Comune;200,530;;133,214;6,876;49,340;52,856;40,548;14,063;;4,350;117,538;;;;
Pellizzano;04022137;Comune;122,075;;69,621;3,616;23,820;18,412;17,227;9,412;;3,523;54,666;;;;
Pelugo;04022138;Comune;16,949;;11,693;0,460;3,127;1,862;4,714;1,100;;0,583;9,391;;;;
Pergine Valsugana;04022139;Comune;2.908,673;;1.498,443;100,975;408,762;199,373;496,890;160,619;;34,388;987,314;;;;
Pieve di Bono;04022140;Comune;158,328;;109,234;5,026;29,214;17,394;44,040;10,449;;5,442;87,720;;;;
Pieve Tesino;04022142;Comune;54,267;;38,768;4,434;19,577;14,405;38,079;6,760;;0,325;24,161;;;;
Pinzolo;04022143;Comune;1.546,509;;1.066,969;44,430;285,359;169,891;430,177;100,746;;53,155;856,828;;;;
Pomarolo;04022144;Comune;240,268;;146,913;7,538;39,770;24,180;55,369;15,012;;3,684;100,710;;;;
Pozza di Fassa;04022145;Comune;458,505;;234,385;9,669;66,654;94,721;227,220;12,706;;2,720;69,876;;;;
Praso;04022146;Comune;13,289;;9,169;0,518;2,452;1,460;3,696;0,862;;0,457;7,362;;;;
Predazzo;04022147;Comune;919,949;;476,111;23,695;81,326;81,004;272,285;38,749;;10,935;172,652;;;;
Preore;04022148;Comune;13,935;;9,614;0,379;2,571;1,531;3,876;0,904;;0,479;7,720;;;;
Prezzo;04022149;Comune;8,287;;5,718;0,224;1,529;0,911;2,305;0,538;;0,285;4,592;;;;
Rabbi;04022150;Comune;79,615;;58,393;1,217;11,760;21,743;13,609;4,097;;3,182;58,322;;;;
Ragoli;04022151;Comune;383,565;;264,631;10,428;70,775;42,137;106,692;24,877;;13,183;212,512;;;;
Revo;04022152;Comune;116,561;;81,983;10,969;37,684;17,205;34,530;9,998;;1,207;37,181;;;;
Riva del Garda;04022153;Comune;2.554,929;;1.145,802;22,091;332,524;211,880;816,684;66,102;;8,662;500,210;;;;
Romallo;04022154;Comune;57,258;;40,273;5,387;18,511;8,450;16,962;4,911;;0,593;18,264;;;;
Romeno;04022155;Comune;150,674;;105,976;14,179;48,713;22,239;44,637;12,923;;1,560;48,062;;;;
Roncegno Terme;04022156;Comune;144,296;;132,888;16,135;38,826;19,138;36,094;24,037;;1,154;90,077;;;;
Ronchi Valsugana;04022157;Comune;24,287;;27,627;2,349;19,355;7,989;4,827;3,319;;0,159;21,653;;;;
Roncone;04022158;Comune;83,737;;57,772;3,677;15,451;9,199;23,292;5,792;;2,878;46,395;;;;
Ronzo-Chienis;04022135;Comune;142,465;;60,510;3,787;3,490;5,726;23,748;1,783;;3,701;59,249;;;;
Ronzone;04022159;Comune;76,777;;54,001;7,225;24,822;11,332;22,744;6,586;;0,795;24,491;;;;
Rovere della Luna;04022160;Comune;170,274;;102,158;5,939;34,360;28,550;65,720;14,267;;2,859;69,096;;;;
Rovereto;04022161;Comune;4.916,806;;2.915,267;92,821;674,868;256,806;742,825;266,381;;34,835;1.693,660;;;;
Ruffre-Mendola;04022162;Comune;57,908;;40,730;5,450;18,722;8,548;17,154;4,967;;0,600;18,471;;;;
Rumo;04022163;Comune;87,932;;61,847;8,276;28,428;12,979;26,050;7,542;;0,910;28,048;;;;
Sagron Mis;04022164;Comune;17,907;;16,605;0,827;9,750;3,158;10,062;1,223;;0,127;6,059;;;;
Samone;04022165;Comune;35,408;;27,743;2,789;7,101;4,882;15,124;4,252;;0,204;9,847;;;;
San Lorenzo in Banale;04022166;Comune;65,962;;45,509;1,793;12,171;7,247;18,348;4,278;;2,267;36,546;;;;
San Michele all\'Adige;04022167;Comune;408,786;;382,285;8,837;130,427;41,619;129,112;20,068;;7,533;158,037;;;;
Sant\'Orsola Terme;04022168;Comune;151,634;;76,376;3,591;10,028;9,220;19,842;4,011;;0,687;50,677;;;;
Sanzeno;04022169;Comune;89,884;;63,220;8,459;29,059;13,267;26,627;7,710;;0,931;28,670;;;;
Sarnonico;04022170;Comune;91,000;;64,005;8,564;29,420;13,432;26,958;7,805;;0,942;29,026;;;;
Scurelle;04022171;Comune;347,578;;70,925;8,501;56,334;20,460;58,887;11,182;;0,537;37,490;;;;
Segonzano;04022172;Comune;95,698;;75,489;4,044;23,085;22,169;38,676;10,852;;3,253;48,937;;;;
Sfruz;04022173;Comune;44,524;;31,316;4,191;14,394;6,572;13,190;3,819;;0,461;14,202;;;;
Siror;04022174;Comune;225,540;;209,149;10,414;122,794;39,784;126,722;15,408;;1,598;76,315;;;;
Smarano;04022175;Comune;60,233;;42,364;5,669;19,473;8,891;17,843;5,166;;0,624;19,213;;;;
Soraga;04022176;Comune;108,316;;74,329;1,296;23,820;15,507;71,235;0,260;;;36,477;;;;
Sover;04022177;Comune;65,788;;50,672;2,326;13,045;14,247;31,252;6,128;;1,837;36,268;;;;
Spera;04022178;Comune;66,224;;31,301;3,032;13,832;7,163;20,876;4,592;;0,220;13,492;;;;
Spiazzo;04022179;Comune;195,824;;135,104;5,906;36,133;21,512;54,470;12,961;;6,730;108,494;;;;
Spormaggiore;04022180;Comune;166,409;;84,389;5,281;51,990;26,929;45,290;11,400;;0,970;44,739;;;;
Sporminore;04022181;Comune;66,739;;46,941;6,281;21,577;9,851;19,771;5,724;;0,691;21,288;;;;
Stenico;04022182;Comune;168,624;;116,338;5,429;31,114;18,524;46,905;10,937;;5,796;93,425;;;;
Storo;04022183;Comune;295,759;;204,052;9,078;54,573;32,491;82,268;19,542;;10,165;163,863;;;;
Strembo;04022184;Comune;31,507;;21,738;0,946;5,814;3,461;8,765;2,043;;1,083;17,456;;;;
Strigno;04022185;Comune;95,431;;66,635;7,419;15,895;12,887;42,569;11,237;;0,539;27,775;;;;
Taio;04022186;Comune;287,127;;201,951;27,020;92,828;42,379;85,059;24,628;;2,973;91,588;;;;
Tassullo;04022187;Comune;177,072;;124,544;16,661;57,247;26,136;52,456;15,189;;1,833;56,483;;;;
Telve;04022188;Comune;161,609;;102,853;10,316;40,203;14,259;18,875;15,695;;0,754;61,053;;;;
Telve di Sopra;04022189;Comune;27,831;;29,678;3,237;9,437;6,048;5,407;4,549;;0,218;12,807;;;;
Tenna;04022190;Comune;150,823;;74,100;3,470;10,000;7,237;18,552;4,205;;0,508;49,630;;;;
Tenno;04022191;Comune;247,670;;101,322;4,616;28,398;24,383;90,087;8,694;;1,190;51,989;;;;
