id,amenity,recycling:PET,recycling:aluminium,recycling:batteries,recycling:beverage_cartons,recycling:books,recycling:bottles,recycling:cans,recycling:cardboard,recycling:cartons,recycling:clothes,recycling:drugs,recycling:electrical_appliances,recycling:electrical_items,recycling:food_waste,recycling:garden_pots,recycling:garden_waste,recycling:glass,recycling:glass_bottles,recycling:green_waste,recycling:lamps,recycling:magazines,recycling:newspaper,recycling:organic,recycling:organic_waste,recycling:paper,recycling:paper_packaging,recycling:plastic,recycling:plastic_bottles,recycling:plastic_packaging,recycling:scrap_metal,recycling:shoes,recycling:small_appliances,recycling:tetrapak,recycling:waste,recycling:wood,recycling_type,geometry
node/457521146,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.0959003 45.7943891)
node/459656396,recycling,,,,,,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,yes,,,,,,,,,container,POINT (10.9662841 46.1460371)
node/459656402,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (10.9673367 46.144792)
node/459656424,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (10.9585458 46.1384004)
node/459965284,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (10.9539024 46.265396)
node/461102485,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (10.8401598 45.9073277)
node/471118700,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.2764059 46.0772248)
node/489869106,waste_disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (10.8771845 45.867841)
node/489869110,recycling,,,,,,,yes,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,container,POINT (10.8792143 45.8648337)
node/492906161,recycling,,,,,,,yes,,,,,,,,,,,yes,,,,,,,yes,,no,,yes,,,,,,,container,POINT (10.8379011 45.8883472)
node/527734748,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.0999343 46.212506)
node/527734786,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.0966472 46.2164588)
node/528945700,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (10.8695174 45.9318209)
node/529070984,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.0718723 46.1548602)
node/529071030,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.0714811 46.1587099)
node/557197363,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.1186438 46.0699766)
node/560073337,recycling,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,yes,,,,,,,,,container,POINT (11.1259863 46.0703468)
node/560485325,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.1315783 46.0658668)
node/565167310,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.7469821 46.3088392)
node/568475526,recycling,,,,,,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,,,,,,,,,,container,POINT (10.906485 45.9599982)
node/642206792,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (10.8641917 45.9226106)
node/656406830,recycling,yes,yes,,,,,yes,yes,,,,,,,,,,yes,yes,,,,,,yes,,yes,yes,yes,,,,,yes,,container,POINT (10.9916852 46.0799822)
node/672005529,recycling,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.1390106 46.0422464)
node/672802412,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1433673 46.0349671)
node/678059806,recycling,,,,,,,yes,,,yes,,,,,,,yes,,,,,,,,yes,,,,,yes,,,,,,container,POINT (11.1628721 46.0716864)
node/678084020,recycling,,,,,,,yes,,,yes,,,,,,,yes,,,,,,,,yes,,,,,yes,,,,,,container,POINT (11.17673 46.0718219)
node/695073698,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,centre,POINT (11.3201315 46.0030426)
node/704266226,recycling,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1722892 46.2492929)
node/704266227,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,container,POINT (11.1739671 46.2488212)
node/704266228,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (11.1805401 46.2495283)
node/734201678,recycling,,,,,,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,yes,yes,yes,,,,,yes,,container,POINT (10.74517 45.8704435)
node/737145769,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.6871879 46.4306612)
node/764073211,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.1018759 46.0615945)
node/770561237,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,yes,,,,,,,,,container,POINT (10.7510258 46.057395)
node/792618744,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.0438723 45.8905105)
node/803634497,recycling,,,,,,,yes,,,,,,,,,,,yes,,,,,,,yes,,no,,yes,,,,,,,container,POINT (10.8399797 45.8866638)
node/814239873,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,yes,,,,,,container,POINT (11.1243672 46.0713448)
node/853801670,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.1242644 46.0657084)
node/856906896,waste_disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (10.7954973 46.4077741)
node/859538684,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,container,POINT (11.252066 45.9414797)
node/861317494,recycling,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,container,POINT (10.874576 45.8704691)
node/862966703,waste_disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.2856422 46.0031244)
node/862994264,waste_disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (10.8934023 45.9325438)
node/867538683,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.0611303 46.2387274)
node/867538702,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1187413 46.2141815)
node/867538752,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1191859 46.2138589)
node/869314085,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1232541 46.0668861)
node/870409350,recycling,,,,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,,,,,,,container,POINT (11.3288246 45.9621845)
node/870409389,recycling,,,,,,,,,,,,,,,,,no,yes,,,,,,,yes,,,,,,,,,,,container,POINT (11.3272569 45.9575362)
node/874501159,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1213269 46.0677368)
node/874501238,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1196773 46.0700159)
node/874501344,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1227796 46.0668175)
node/874501463,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1198172 46.0700294)
node/877620630,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1197577 46.0697529)
node/877620732,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1199243 46.0688394)
node/877620901,waste_basket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (11.1242456 46.0670578)
