id,waste_basket_id,waste_disposal_type_id
238,node/678059806,4
239,node/678059806,4
240,node/678059806,6
241,node/678084020,2
242,node/678084020,3
243,node/678084020,4
244,node/678084020,4
245,node/678084020,6
246,node/704266226,2
247,node/704266226,3
248,node/704266226,5
249,node/704266227,5
250,node/704266228,2
251,node/704266228,3
252,node/704266228,5
253,node/734201678,2
254,node/734201678,3
255,node/734201678,3
256,node/734201678,4
257,node/734201678,5
258,node/734201678,5
259,node/734201678,5
260,node/734201678,9
261,node/764073211,2
262,node/764073211,3
263,node/770561237,2
264,node/770561237,3
265,node/770561237,5
266,node/803634497,2
267,node/803634497,3
268,node/803634497,4
269,node/803634497,5
270,node/814239873,2
271,node/814239873,3
272,node/814239873,4
273,node/861317494,2
274,node/861317494,3
275,node/870409350,2
276,node/870409350,3
277,node/870409389,2
278,node/870409389,3
279,node/904488844,2
280,node/913628425,2
281,node/913628425,3
282,node/913628425,4
283,node/918935176,1
284,node/918935176,2
285,node/918935176,2
286,node/918935176,2
287,node/918935176,2
288,node/918935176,2
289,node/918935176,2
290,node/918935176,3
291,node/918935176,4
292,node/918935176,5
293,node/918935176,5
294,node/918935176,5
295,node/918935176,9
296,node/944586211,2
297,node/944586211,3
298,node/944586211,5
299,node/944999697,2
300,node/944999697,3
301,node/944999697,4
302,node/944999697,5
303,node/955954368,2
304,node/955954368,3
305,node/955954368,4
306,node/986851199,1
307,node/986851199,2
308,node/986851199,3
309,node/986851199,4
310,node/986851199,5
311,node/986851199,9
312,node/999591837,2
313,node/999591837,3
314,node/999591837,5
315,node/1000099577,2
316,node/1000099577,3
317,node/1000099577,4
318,node/1000099577,5
319,node/1024762652,2
320,node/1024762652,3
321,node/1024762652,3
322,node/1103690926,2
323,node/1103690926,3
324,node/1103690926,4
325,node/1103690926,4
326,node/1103690926,6
327,node/1103690926,7
328,node/1108425648,2
329,node/1108425648,3
330,node/1108425648,7
331,node/1108425653,2
332,node/1108425653,3
333,node/1108435344,2
334,node/1108435344,3
335,node/1108435357,2
336,node/1108435357,3
337,node/1108435361,2
338,node/1108435361,3
339,node/1147996646,2
340,node/1147996646,3
341,node/1147996646,4
342,node/1147996646,5
343,node/1154558317,2
344,node/1154558317,3
345,node/1168181389,2
346,node/1168181389,3
347,node/1168181389,4
348,node/1168182112,2
349,node/1168182112,4
350,node/1168182112,7
351,node/1168256481,2
352,node/1168256481,3
353,node/1168256481,4
354,node/1168368182,2
355,node/1168368182,3
356,node/1168368182,4
357,node/1168798812,2
358,node/1168798812,3
359,node/1169695724,1
360,node/1169695724,2
361,node/1169695724,3
362,node/1169695724,4
363,node/1169695724,5
364,node/1210309574,2
365,node/1210309574,3
366,node/1210309574,4
367,node/1271355518,5
368,node/1271355526,8
369,node/1271355527,5
370,node/1291659076,2
371,node/1291659076,3
372,node/1291659076,5
373,node/1317027261,1
374,node/1317027261,2
375,node/1317027261,3
376,node/1317027261,4
377,node/1317027261,5
378,node/1320532719,2
379,node/1320532719,3
380,node/1320532719,4
381,node/1320532739,7
382,node/1333553419,2
383,node/1333553419,3
384,node/1333553457,2
385,node/1333553457,3
386,node/1333553457,3
