Raccolta differenziata per frazione merceologica dei comuni della provincia di Trento - 2017 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Rabbi;04022150;Comune;154,354;;68,876;6,300;23,820;38,233;38,999;12,883;3,233;5,098;70,170;20,445;;;
Revo;04022152;Comune;130,055;;80,983;11,140;46,783;20,524;36,286;10,837;3,577;2,884;43,425;19,170;;;
Riva del Garda;04022153;Comune;2.964,718;;1.260,308;140,355;488,800;238,354;1.358,030;100,186;22,532;4,931;117,211;260,550;;;
Romallo;04022154;Comune;64,364;;40,078;5,513;23,153;10,158;17,958;5,363;1,770;1,427;21,492;9,225;;;
Romeno;04022155;Comune;167,796;;104,483;14,371;60,360;26,480;46,816;13,981;4,614;3,721;56,026;20,955;;;
Roncegno Terme;04022156;Comune;171,100;;159,922;13,044;54,960;38,107;87,747;20,335;6,639;1,351;67,932;43,590;;;
Ronchi Valsugana;04022157;Comune;20,382;;20,756;1,478;10,630;7,011;8,940;4,230;1,421;0,190;16,583;6,510;;;
Ronzo-Chienis;04022135;Comune;150,012;;63,015;4,755;1,621;8,775;36,821;8,955;1,230;5,890;43,960;;;;
Ronzone;04022159;Comune;82,826;;51,575;7,094;29,795;13,072;23,109;6,902;2,277;1,837;27,655;6,540;;;
Rovere della Luna;04022160;Comune;196,434;;120,096;8,024;41,628;22,921;71,424;12,107;2,641;3,106;64,060;24,645;;;
Rovereto;04022161;Comune;5.171,848;;2.776,946;142,654;688,496;328,250;1.163,456;270,702;73,914;65,114;1.300,620;597,375;;;
Ruffre-Mendola;04022162;Comune;62,732;;39,062;5,374;22,566;9,899;17,502;5,227;1,727;1,391;20,946;6,105;;;
Rumo;04022163;Comune;97,719;;60,847;8,370;35,152;15,421;27,264;8,141;2,688;2,167;32,628;12,165;;;
Sagron Mis;04022164;Comune;20,514;;13,777;1,664;5,429;3,404;13,862;1,383;0,550;0,108;;2,805;;;
Samone;04022165;Comune;28,727;;23,513;2,513;6,128;6,936;17,665;3,347;1,422;0,237;5,342;7,460;;;
San Lorenzo Dorsino;04022231;Comune;175,775;;129,845;11,650;38,946;24,611;81,251;14,568;2,911;4,228;81,010;23,430;;;
San Michele all\'Adige;04022167;Comune;377,618;;230,868;15,428;80,024;44,064;137,304;23,274;5,080;5,972;123,146;47,265;;;
Sant\'Orsola Terme;04022168;Comune;104,583;;78,802;4,062;8,675;12,558;20,738;5,527;2,428;2,367;41,603;8,857;;;
Sanzeno;04022169;Comune;97,719;;60,847;8,370;35,152;15,421;27,264;8,141;2,688;2,167;32,628;13,920;;;
Sarnonico;04022170;Comune;103,023;;64,152;8,824;37,060;16,258;28,744;8,584;2,832;2,285;34,399;11,670;;;
Scurelle;04022171;Comune;117,477;;79,713;8,971;27,177;26,057;72,269;12,498;5,177;0,623;29,186;21,330;;;
Segonzano;04022172;Comune;192,319;;117,580;7,856;40,756;22,441;69,928;11,853;2,585;3,041;62,718;21,705;;;
Sella Giudicarie;04022246;Comune;301,078;;222,407;19,956;66,709;42,156;139,172;24,950;4,991;7,242;138,758;44,190;;;
Sfruz;04022173;Comune;48,451;;30,170;4,150;17,429;7,646;13,518;4,036;1,333;1,074;16,178;5,205;;;
