Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2022 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Castelrotto;04021019;Comune;1.171,916;86,626;601,752;25,750;98,306;137,580;164,357;50,747;16,502;9,820;505,313;81,550;;;
Cermes;04021020;Comune;157,142;16,492;78,300;;33,228;15,394;5,645;9,567;4,231;5,868;81,331;12,647;61,990;;
Chienes;04021021;Comune;445,870;92,680;203,644;5,985;16,800;30,007;22,937;6,265;9,066;13,577;150,225;21,620;95,240;;
Chiusa;04021022;Comune;443,810;220,840;312,435;0,030;132,860;99,500;65,920;13,698;12,995;11,548;237,605;77,940;;;
Cornedo all\'Isarco;04021023;Comune;283,690;22,090;101,240;;61,930;28,926;42,986;12,411;8,144;12,450;60,180;12,250;40,760;;
Cortaccia sulla strada del vino;04021024;Comune;349,140;;97,677;2,608;38,220;23,577;50,646;13,448;8,221;9,150;104,501;;;;
Cortina sulla strada del vino;04021025;Comune;36,630;19,860;30,920;0,710;;8,160;13,550;3,385;1,888;5,000;32,900;3,740;;;
Corvara in Badia;04021026;Comune;830,214;3,445;172,360;15,184;4,470;26,113;36,580;25,370;15,224;9,032;342,236;18,893;;;
Curon Venosta;04021027;Comune;203,372;70,010;153,000;11,250;48,584;43,020;12,418;21,285;5,500;12,100;157,980;35,640;244,030;;
Dobbiaco;04021028;Comune;441,612;32,310;229,100;14,993;37,696;51,731;82,249;25,649;11,733;16,993;174,177;23,852;47,280;;
Egna;04021029;Comune;361,060;141,330;249,980;14,800;191,830;49,980;115,450;34,283;18,281;11,150;180,040;81,900;56,070;;
Falzes;04021030;Comune;385,700;49,900;155,723;7,869;68,980;0,045;45,009;11,672;8,436;12,261;107,649;46,155;50,940;;
Fie allo Sciliar;04021031;Comune;277,840;48,438;253,430;4,910;70,890;74,480;114,800;24,431;9,872;14,900;210,350;39,230;63,600;;
Fortezza;04021032;Comune;57,610;24,185;64,260;0,163;7,930;8,450;21,080;3,305;1,652;6,959;43,590;;;;
Funes;04021033;Comune;214,150;68,350;107,400;0,040;;36,040;33,740;12,856;6,700;6,656;86,945;;;;
Gais;04021034;Comune;403,910;;192,650;6,420;101,940;47,478;44,040;9,186;15,636;13,995;128,398;48,075;109,390;;
Gargazzone;04021035;Comune;313,098;4,574;85,039;0,148;6,772;12,831;15,394;10,103;2,888;4,202;74,310;3,722;;;
Glorenza;04021036;Comune;42,961;9,130;41,718;4,174;4,810;11,408;3,458;8,196;5,111;2,497;95,962;9,748;;;
La Valle;04021117;Comune;47,810;0,630;128,372;;;7,030;;0,003;1,884;;57,957;;;;
Laces;04021037;Comune;712,567;25,181;264,020;9,212;57,127;63,040;18,514;38,819;11,141;16,840;206,050;54,270;;;
Lagundo;04021038;Comune;814,530;64,130;258,500;;91,020;51,660;20,960;31,141;24,290;11,850;267,860;40,700;28,790;;
Laion;04021039;Comune;154,990;32,860;102,100;;56,510;23,100;28,490;12,236;7,776;14,100;70,965;41,535;;;
Laives;04021040;Comune;1.585,834;265,890;1.077,380;39,480;454,748;158,730;518,760;71,111;28,492;64,800;780,320;187,720;250,750;;
Lana;04021041;Comune;1.067,639;40,148;791,115;1,296;59,440;92,343;111,485;88,679;30,041;85,025;477,296;32,674;264,440;;
Lasa;04021042;Comune;175,254;28,387;325,689;7,117;57,965;34,445;13,442;24,994;11,791;15,271;142,763;52,797;;;
Lauregno;04021043;Comune;;4,570;8,320;;;1,340;0,940;0,003;0,155;;6,200;;;;
Luson;04021044;Comune;114,740;18,250;53,920;0,050;25,720;15,070;2,750;10,799;6,941;2,978;37,350;23,700;;;
Magre sulla strada del vino;04021045;Comune;81,640;;34,059;0,808;;8,029;18,138;5,428;1,984;;29,593;;;;
Malles Venosta;04021046;Comune;129,045;42,208;335,144;12,849;51,822;55,940;18,077;35,299;15,829;20,093;210,195;47,909;;;
Marebbe;04021047;Comune;435,470;72,010;213,519;8,930;36,010;52,855;21,580;15,312;14,936;12,335;239,302;47,430;24,780;;
Marlengo;04021048;Comune;338,358;29,318;139,200;;59,072;27,366;10,035;17,170;8,457;10,432;144,589;31,153;11,320;;
Martello;04021049;Comune;13,650;7,240;36,200;1,680;13,470;11,360;3,065;7,388;3,624;2,800;38,900;12,465;;;
Meltina;04021050;Comune;32,800;26,410;56,090;;;15,240;9,180;10,700;4,208;6,350;53,320;25,845;7,900;;
Merano;04021051;Comune;3.212,750;297,120;3.029,760;13,210;773,710;370,880;140,310;218,663;87,215;269,565;2.273,700;53,480;672,730;;
Monguelfo-Tesido;04021052;Comune;508,948;6,232;201,890;8,113;64,992;50,182;80,925;12,227;8,240;17,594;145,768;43,530;95,764;;
Montagna;04021053;Comune;128,380;95,850;84,940;2,315;;25,280;40,790;14,887;5,878;4,600;81,270;25,560;;;
Moso in Passiria;04021054;Comune;69,382;17,268;113,133;0,899;15,686;15,630;7,854;10,158;8,891;3,680;90,549;12,838;;;
Nalles;04021055;Comune;340,940;55,820;108,900;;77,780;28,600;8,140;12,214;6,604;5,350;92,660;;40,330;;
Naturno;04021056;Comune;1.236,573;5,830;420,260;;;50,000;27,440;19,385;24,156;32,240;298,760;1,190;12,760;;
Naz-Sciaves;04021057;Comune;478,946;34,712;202,870;4,421;35,505;33,458;45,668;11,682;6,901;16,457;129,766;10,842;;;
Nova Levante;04021058;Comune;314,270;75,240;138,800;6,840;;22,890;94,760;16,025;11,071;1,100;142,720;26,530;;;
Nova Ponente;04021059;Comune;502,520;109,640;314,160;16,760;96,560;73,740;92,960;26,246;6,774;10,550;259,900;;63,780;;
Ora;04021060;Comune;446,890;11,490;149,770;;63,390;32,650;116,482;32,940;16,685;11,750;133,390;40,780;;;
Ortisei;04021061;Comune;609,208;;402,847;1,385;118,545;95,309;92,441;34,878;3,557;27,450;331,080;;;;
Parcines;04021062;Comune;591,020;53,050;221,230;3,480;67,320;51,800;14,360;47,210;18,574;30,750;167,840;58,140;32,580;;
Perca;04021063;Comune;185,462;22,227;164,622;2,423;39,440;20,092;19,598;7,645;4,409;5,330;95,821;17,010;63,420;;
Plaus;04021064;Comune;122,640;;22,960;;4,580;4,420;1,700;1,082;0,934;2,310;20,000;;;;
Ponte Gardena;04021065;Comune;22,380;6,420;20,120;0,082;;4,140;7,230;0,567;1,546;5,600;10,072;;;;
Postal;04021066;Comune;184,744;6,098;65,386;0,197;9,029;13,402;16,551;13,471;3,515;5,603;60,094;4,963;32,150;;
Prato allo Stelvio;04021067;Comune;243,637;10,937;218,067;10,035;17,484;41,362;14,550;24,420;9,135;17,570;172,198;37,790;;;
Predoi;04021068;Comune;37,340;8,900;37,117;;5,620;8,971;0,680;1,400;1,171;3,210;18,720;;21,950;;
Proves;04021069;Comune;;;9,260;;;11,400;;7,635;0,665;;7,560;;;;
Racines;04021070;Comune;529,382;36,986;357,338;0,050;50,638;26,213;115,802;27,874;11,386;39,230;383,604;68,895;123,780;;
Rasun-Anterselva;04021071;Comune;516,730;6,910;223,904;9,978;8,180;44,662;86,977;18,074;11,657;30,400;208,020;43,635;;;
Renon;04021072;Comune;547,600;49,060;361,230;6,580;195,260;77,170;37,340;47,721;10,874;26,500;422,770;49,890;76,280;;
Rifiano;04021073;Comune;113,731;31,008;60,587;1,718;34,686;16,887;4,849;8,535;4,658;16,150;49,324;20,475;;;
Rio di Pusteria;04021074;Comune;491,140;65,804;291,660;2,664;46,360;60,709;83,468;12,975;7,653;5,720;229,466;47,460;;;
Rodengo;04021075;Comune;112,110;15,078;69,937;0,565;14,719;18,937;15,312;4,836;3,292;;53,360;;42,240;;
Salorno;04021076;Comune;198,400;91,710;175,080;4,090;115,940;50,600;99,920;23,196;8,705;20,900;138,920;56,490;;;
San Candido;04021077;Comune;703,490;79,550;467,992;15,185;50,346;58,904;96,861;18,587;15,066;16,642;289,009;40,452;133,520;;
San Genesio Atesino;04021079;Comune;201,440;98,110;114,220;12,740;;42,530;49,380;18,815;10,671;6,850;115,490;45,405;;;
San Leonardo in Passiria;04021080;Comune;372,139;53,036;173,623;2,760;48,177;33,615;11,843;23,099;18,978;10,570;117,375;46,221;119,620;;
San Lorenzo di Sebato;04021081;Comune;532,888;69,195;296,244;7,304;100,903;53,385;53,367;19,993;20,676;21,026;237,010;43,740;65,300;;
San Martino in Badia;04021082;Comune;195,880;;197,022;17,720;;17,326;47,580;20,274;9,948;20,890;151,115;8,300;;;
San Martino in Passiria;04021083;Comune;409,559;55,536;148,283;2,761;48,177;33,515;11,283;23,595;12,504;9,310;129,655;29,181;27,960;;
San Pancrazio;04021084;Comune;30,500;27,858;42,043;;9,080;9,780;2,720;6,001;2,991;5,000;21,800;7,800;5,960;;
Santa Cristina Valgardena;04021085;Comune;341,232;;172,207;0,546;46,977;42,588;45,854;14,109;1,738;;230,737;;;;
Sarentino;04021086;Comune;427,400;59,730;330,660;28,260;117,230;79,106;183,289;51,941;12,887;35,150;254,530;39,280;52,080;;
Scena;04021087;Comune;887,230;;242,140;0,240;27,240;40,200;19,700;21,346;17,411;8,300;324,280;0,880;;;
Selva dei Molini;04021088;Comune;120,385;37,970;54,360;3,000;;22,610;16,840;5,495;6,193;9,118;40,560;18,980;;;
Selva di Val Gardena;04021089;Comune;653,488;61,530;491,266;0,780;74,426;95,136;102,479;19,692;3,707;9,950;583,668;;39,990;;
Senales;04021091;Comune;143,590;11,600;79,560;2,620;43,750;23,220;3,840;8,482;2,489;4,450;108,680;16,490;45,600;;
Senale-San Felice;04021118;Comune;;26,600;28,380;;;10,800;2,500;4,652;1,575;2,950;21,560;;40,730;;
Sesto;04021092;Comune;596,930;42,180;217,295;12,320;24,616;41,014;76,272;15,163;9,061;10,249;252,509;22,989;92,340;;
Silandro;04021093;Comune;802,510;19,948;309,200;10,540;36,818;51,020;409,742;28,193;9,759;15,250;204,595;43,865;147,830;;
Sluderno;04021094;Comune;80,224;4,704;136,887;5,401;44,219;29,822;8,820;14,565;6,361;11,100;100,279;27,555;;;
Stelvio;04021095;Comune;0,015;;107,313;5,309;9,957;10,809;6,462;5,826;5,727;1,249;123,406;1,150;;;
Terento;04021096;Comune;248,900;27,750;75,545;2,660;47,140;21,703;28,258;10,738;4,507;7,830;73,190;26,625;;;
Terlano;04021097;Comune;470,100;135,000;298,850;24,670;;77,370;126,990;29,560;9,073;17,200;234,460;72,450;;;
Termeno sulla strada del vino;04021098;Comune;604,877;23,680;192,880;5,710;103,550;46,230;73,760;22,954;10,333;12,850;181,740;36,740;;;
Tesimo;04021099;Comune;82,880;26,010;75,330;;40,240;26,140;5,380;12,421;6,353;4,730;73,380;19,410;;;
Tires;04021100;Comune;67,620;53,230;66,300;2,550;;20,740;22,230;9,802;1,939;2,800;63,640;13,310;;;
Tirolo;04021101;Comune;647,850;;208,000;0,320;14,500;29,700;16,460;12,175;19,603;10,330;272,180;36,885;;;
Trodena nel parco naturale;04021102;Comune;257,017;93,580;47,215;4,063;;21,592;19,247;8,213;2,290;3,300;51,423;15,465;16,020;;
Tubre;04021103;Comune;2,685;11,320;36,020;1,096;32,401;17,160;2,723;8,190;3,310;4,700;29,510;14,250;;;
Ultimo;04021104;Comune;117,670;45,563;166,600;;38,520;40,200;10,380;18,001;9,760;13,150;134,540;43,200;;;
Vadena;04021105;Comune;138,880;9,310;83,642;0,599;13,760;13,656;38,165;5,773;2,604;1,400;61,988;3,160;;;
Val di Vizze;04021107;Comune;278,619;25,321;195,443;0,060;31,417;40,343;56,960;18,958;5,636;17,182;116,879;10,281;;;
Valdaora;04021106;Comune;683,260;2,850;232,003;9,824;0,880;42,006;86,952;18,074;17,697;;183,403;47,655;;;
Valle Aurina;04021108;Comune;864,870;97,750;438,557;17,572;68,620;89,633;114,179;16,197;20,690;25,325;305,078;51,500;42,420;;
Valle di Casies;04021109;Comune;345,730;20,360;159,824;7,649;31,100;38,362;74,418;13,380;8,105;9,022;130,737;34,800;;;
Vandoies;04021110;Comune;437,650;143,610;189,079;4,220;;43,627;35,270;18,776;13,478;20,343;107,994;49,755;261,820;;
Varna;04021111;Comune;622,421;48,188;520,752;4,023;97,468;45,334;49,827;27,575;9,291;27,403;257,533;38,188;;;
Velturno;04021116;Comune;243,030;21,318;132,570;0,895;20,550;14,180;47,380;4,628;3,878;11,753;109,980;3,250;29,040;;
Verano;04021112;Comune;43,370;;36,220;0,400;5,060;4,540;2,680;3,854;1,887;4,670;33,420;;;;
Villabassa;04021113;Comune;160,270;5,780;105,169;2,992;8,482;9,435;29,430;10,852;3,667;7,086;64,871;6,746;;;
Villandro;04021114;Comune;143,050;15,280;78,710;0,610;8,950;10,690;26,730;6,909;2,629;3,300;74,655;0,870;12,870;;
Vipiteno;04021115;Comune;652,946;62,796;697,456;0,006;108,080;93,472;209,877;70,877;20,154;44,927;347,938;64,650;149,140;;


			



