Raccolta differenziata per frazione merceologica dei comuni della provincia di Bolzano - 2020 (ISPRA);
Comune;Istat;Dato riferito a:;Frazione organica (t);Ing. misti a recupero(t);Carta e cartone (t);Altro RD (t);Legno (t);Metallo (t);Plastica (t);RAEE (t);Selettiva (t);Tessili (t);Vetro (t);Rifiuti da costruzione e demolizione (t);Pulizia Stradale a Recupero (t);
Rodengo;04021075;Comune;99,390;14,284;68,638;0,298;39,912;5,537;13,879;4,547;5,531;;47,742;;7,200;;
Salorno;04021076;Comune;192,220;84,150;174,970;8,890;113,690;63,810;96,390;29,791;9,273;20,450;127,850;56,970;92,290;;
San Candido;04021077;Comune;626,710;65,880;450,460;13,482;48,552;67,322;92,281;26,961;15,502;15,399;238,285;21,715;159,400;;
San Genesio Atesino;04021079;Comune;201,670;92,660;111,890;16,080;;43,680;43,560;20,598;12,037;7,200;99,390;45,570;;;
San Leonardo in Passiria;04021080;Comune;309,323;47,532;163,035;3,397;50,383;41,317;10,334;21,344;19,726;8,880;95,988;32,907;117,360;;
San Lorenzo di Sebato;04021081;Comune;515,738;61,072;268,700;4,592;101,178;59,982;48,886;20,996;19,196;2,526;199,704;45,190;;;
San Martino in Badia;04021082;Comune;315,020;14,050;168,096;29,916;;17,164;63,376;28,774;9,430;15,380;164,559;15,240;;;
San Martino in Passiria;04021083;Comune;272,803;47,532;143,575;3,397;50,383;39,097;9,494;23,895;10,811;7,900;106,348;31,707;14,720;;
San Pancrazio;04021084;Comune;16,470;24,903;44,029;;6,440;6,480;2,240;5,775;1,738;;24,140;1,950;;;
Santa Cristina Valgardena;04021085;Comune;388,466;;161,359;0,186;43,809;54,929;44,082;15,012;2,755;;165,461;;;;
Sarentino;04021086;Comune;458,760;67,570;306,524;24,600;110,940;92,842;169,708;45,401;17,499;23,800;105,460;36,830;62,880;;
Scena;04021087;Comune;770,620;;192,940;;28,040;45,000;12,840;12,607;13,500;3,530;206,260;;;;
Selva dei Molini;04021088;Comune;129,610;40,620;60,140;2,680;;26,700;16,380;9,125;6,476;8,303;37,100;21,420;;;
Selva di Val Gardena;04021089;Comune;553,363;67,495;422,865;0,258;62,027;110,499;95,501;20,917;5,157;8,000;422,234;;59,480;;
Senales;04021091;Comune;155,920;13,180;75,080;1,840;44,830;23,510;3,800;8,935;2,199;4,500;114,100;18,615;17,860;;
Senale-San Felice;04021118;Comune;;34,340;32,640;;;14,760;2,400;5,332;1,593;1,050;24,860;;10,960;;
Sesto;04021092;Comune;483,620;48,970;207,133;11,498;33,422;55,973;82,759;16,693;9,079;7,292;210,556;10,264;49,120;;
Silandro;04021093;Comune;887,048;20,725;443,085;3,245;36,733;59,371;431,287;30,728;14,482;13,880;198,299;74,511;140,283;;
Sluderno;04021094;Comune;105,659;3,279;119,916;4,765;32,001;28,228;5,719;15,755;6,237;8,781;69,642;26,137;;;
Stelvio;04021095;Comune;0,052;;95,725;3,890;10,861;13,934;8,599;5,382;7,722;0,809;94,533;1,375;;;
Terento;04021096;Comune;266,410;34,020;75,356;3,221;55,980;23,554;22,635;11,410;4,686;8,575;55,344;27,015;;;
Terlano;04021097;Comune;524,210;110,615;275,980;25,365;;80,660;127,650;37,402;4,025;11,250;;68,850;;;
Termeno sulla strada del vino;04021098;Comune;550,590;16,210;175,450;8,620;76,790;47,890;63,550;21,931;12,307;13,720;145,330;21,310;;;
Tesimo;04021099;Comune;93,158;28,585;68,131;;55,920;29,890;4,140;9,988;6,966;3,380;51,750;5,640;12,560;;
Tires;04021100;Comune;64,380;47,790;57,920;2,580;;18,140;18,440;7,308;1,550;;38,520;15,240;;;
Tirolo;04021101;Comune;588,820;;177,900;0,960;13,660;36,960;12,160;15,842;14,926;4,620;181,140;36,210;;;
Trodena nel parco naturale;04021102;Comune;290,090;88,110;47,210;4,390;;31,100;24,970;5,712;2,521;3,150;46,810;15,900;;;
Tubre;04021103;Comune;0,007;16,288;39,820;3,000;49,515;21,220;2,460;10,655;2,974;3,400;31,540;14,235;;;
Ultimo;04021104;Comune;98,190;53,318;167,420;;59,220;51,300;9,780;17,296;8,836;9,370;118,700;32,500;;;
Vadena;04021105;Comune;215,600;13,080;65,190;;18,710;13,930;32,388;4,580;11,240;0,450;43,910;6,480;;;
Val di Vizze;04021107;Comune;307,610;12,440;190,500;;21,980;40,200;59,460;21,533;6,067;5,008;121,640;6,200;;;
Valdaora;04021106;Comune;736,090;5,380;224,164;9,926;6,840;37,498;82,670;21,807;20,544;0,680;149,183;47,145;;;
Valle Aurina;04021108;Comune;802,830;82,940;441,833;16,279;73,080;91,348;111,168;2,243;25,282;21,689;279,294;89,595;44,350;;
Valle di Casies;04021109;Comune;305,860;19,540;158,443;6,386;39,670;49,602;62,302;10,570;9,798;7,172;109,158;34,875;;;
Vandoies;04021110;Comune;420,710;138,340;201,237;4,620;1,560;44,453;35,030;19,850;14,402;18,637;94,991;49,725;181,380;;
Varna;04021111;Comune;704,178;48,663;527,245;7,484;103,437;52,221;48,733;26,044;15,359;20,185;230,190;33,841;47,600;;
Velturno;04021116;Comune;227,430;11,605;210,401;1,160;16,883;20,355;44,500;6,282;7,253;10,295;94,635;2,060;;;
Verano;04021112;Comune;16,121;6,880;38,560;0,580;3,060;6,620;2,580;3,440;2,093;2,700;28,180;;;;
Villabassa;04021113;Comune;146,800;4,580;102,061;4,671;9,434;26,105;25,404;10,240;6,122;6,173;70,611;15,586;;;
Villandro;04021114;Comune;112,050;12,640;69,984;0,271;9,770;9,502;20,614;4,050;4,627;3,250;66,394;7,500;70,490;;
Vipiteno;04021115;Comune;675,636;47,330;678,480;0,500;127,900;114,400;203,375;53,817;30,690;41,505;295,610;36,540;;;


			



