Comune,Istat,Waste type,Quantity
Bresimo,4022026,RAEE (t),2.245
Caderzone Terme,4022029,RAEE (t),9.037
Calceranica al Lago,4022032,RAEE (t),16.119
Caldes,4022033,RAEE (t),7.717
Caldonazzo,4022034,RAEE (t),30.767
Calliano,4022035,RAEE (t),3.189
Campitello di Fassa,4022036,RAEE (t),4.633
Campodenno,4022037,RAEE (t),12.832
Canal San Bovo,4022038,RAEE (t),13.335
Canazei,4022039,RAEE (t),28.523
Capriana,4022040,RAEE (t),5.095
Carisolo,4022042,RAEE (t),17.097
Carzano,4022043,RAEE (t),4.646
Castel Condino,4022045,RAEE (t),2.275
Castel Ivano,4022240,RAEE (t),29.227
Castello Tesino,4022048,RAEE (t),12.576
Castello-Molina di Fiemme,4022047,RAEE (t),21.218
Castelnuovo,4022049,RAEE (t),9.555
Cavalese,4022050,RAEE (t),43.401
Cavareno,4022051,RAEE (t),11.508
Cavedago,4022052,RAEE (t),5.133
Cavedine,4022053,RAEE (t),24.207
Cavizzana,4022054,RAEE (t),1.417
Cembra Lisignago,4022241,RAEE (t),18.465
Cimone,4022058,RAEE (t),5.711
Cinte Tesino,4022059,RAEE (t),3.512
Cis,4022060,RAEE (t),2.744
Civezzano,4022061,RAEE (t),23.878
Cles,4022062,RAEE (t),60.683
Comano Terme,4022228,RAEE (t),32.755
Commezzadura,4022064,RAEE (t),15.817
Conta\',4022242,RAEE (t),12.284
Croviana,4022068,RAEE (t),8.001
Dambel,4022071,RAEE (t),3.714
Denno,4022074,RAEE (t),10.325
Dimaro Folgarida,4022233,RAEE (t),31.345
Drena,4022078,RAEE (t),4.823
Dro,4022079,RAEE (t),41.718
Fai della Paganella,4022081,RAEE (t),11.632
Fiave,4022083,RAEE (t),10.63
Fierozzo,4022085,RAEE (t),2.744
Folgaria,4022087,RAEE (t),35.522
Fornace,4022089,RAEE (t),7.673
Frassilongo,4022090,RAEE (t),2.163
Garniga Terme,4022091,RAEE (t),3.268
Giovo,4022092,RAEE (t),20.471
Giustino,4022093,RAEE (t),9.711
Grigno,4022095,RAEE (t),18.495
Imer,4022097,RAEE (t),10.39
Isera,4022098,RAEE (t),18.712
Lavarone,4022102,RAEE (t),19.852
Lavis,4022103,RAEE (t),72.346
Ledro,4022229,RAEE (t),57.725
Levico Terme,4022104,RAEE (t),51.792
Livo,4022106,RAEE (t),6.822
Lona-Lases,4022108,RAEE (t),6.949
Luserna,4022109,RAEE (t),0.551
Madruzzo,4022243,RAEE (t),23.377
Male,4022110,RAEE (t),29.934
Massimeno,4022112,RAEE (t),1.518
Mazzin,4022113,RAEE (t),3.767
Mezzana,4022114,RAEE (t),12.467
Mezzano,4022115,RAEE (t),14.607
Mezzocorona,4022116,RAEE (t),44.244
Mezzolombardo,4022117,RAEE (t),58.105
Moena,4022118,RAEE (t),5.35
Molveno,4022120,RAEE (t),17.967
Mori,4022123,RAEE (t),72.514
Nago-Torbole,4022124,RAEE (t),31.126
Nogaredo,4022127,RAEE (t),8.855
Nomi,4022128,RAEE (t),6.265
Novaledo,4022129,RAEE (t),9.792
Novella,4022253,RAEE (t),31.271
Ospedaletto,4022130,RAEE (t),6.981
Ossana,4022131,RAEE (t),10.572
Palu del Fersina,4022133,RAEE (t),1.687
Panchia ,4022134,RAEE (t),8.092
Peio,4022136,RAEE (t),18.173
Pellizzano,4022137,RAEE (t),15.597
Pelugo,4022138,RAEE (t),4.021
Pergine Valsugana,4022139,RAEE (t),169.133
Pieve Di Bono-Prezzo,4022234,RAEE (t),13.694
Pieve Tesino,4022142,RAEE (t),7.175
Pinzolo,4022143,RAEE (t),64.77
Pomarolo,4022144,RAEE (t),15.695
Porte Di Rendena,4022244,RAEE (t),17.279
Predaia,4022230,RAEE (t),63.388
Predazzo,4022147,RAEE (t),46.467
Primiero San Martino Di Castrozza,4022245,RAEE (t),62.945
Rabbi,4022150,RAEE (t),11.576
Riva del Garda,4022153,RAEE (t),163.567
Romeno,4022155,RAEE (t),13.415
Roncegno Terme,4022156,RAEE (t),26.664
Ronchi Valsugana,4022157,RAEE (t),4.304
Ronzo-Chienis,4022135,RAEE (t),6.1
Ronzone,4022159,RAEE (t),6.214
Rovere della Luna,4022160,RAEE (t),13.038
Rovereto,4022161,RAEE (t),307.51
Ruffre-Mendola,4022162,RAEE (t),4.989
Rumo,4022163,RAEE (t),7.741
Sagron Mis,4022164,RAEE (t),1.664
Samone,4022165,RAEE (t),4.954
San Lorenzo Dorsino,4022231,RAEE (t),18.312
San Michele all\'Adige,4022167,RAEE (t),31.536
Sant\'Orsola Terme,4022168,RAEE (t),6.075
Sanzeno,4022169,RAEE (t),7.91
Sarnonico,4022170,RAEE (t),8.154
Scurelle,4022171,RAEE (t),12.286
Segonzano,4022172,RAEE (t),11.886
Sella Giudicarie,4022246,RAEE (t),29.919
Sen Jan di Fassa-San Giovanni di Fassa,4022250,RAEE (t),34.712
Sfruz,4022173,RAEE (t),4.111
Soraga,4022176,RAEE (t),1.14
Sover,4022177,RAEE (t),6.517
Spiazzo,4022179,RAEE (t),16.292
Spormaggiore,4022180,RAEE (t),10.599
Sporminore,4022181,RAEE (t),6.053
Stenico,4022182,RAEE (t),13.514
Storo,4022183,RAEE (t),43.48
Strembo,4022184,RAEE (t),6.059
Telve,4022188,RAEE (t),17.205
Telve di Sopra,4022189,RAEE (t),5.278
Tenna,4022190,RAEE (t),5.588
Tenno,4022191,RAEE (t),17.778
Terragnolo,4022193,RAEE (t),5.208
Terre d\'Adige,4022251,RAEE (t),24.222
Terzolas,4022195,RAEE (t),6.214
Tesero,4022196,RAEE (t),28.909
Tione di Trento,4022199,RAEE (t),35.315
Ton,4022200,RAEE (t),11.312
Torcegno,4022202,RAEE (t),6.218
Trambileno,4022203,RAEE (t),7.639
Tre Ville,4022247,RAEE (t),18.416
Trento,4022205,RAEE (t),842.956
Valdaone,4022232,RAEE (t),11.73
Valfloriana,4022209,RAEE (t),3.946
Vallarsa,4022210,RAEE (t),9.717
Vallelaghi,4022248,RAEE (t),41.74
Vermiglio,4022213,RAEE (t),17.654
Vignola-Falesina,4022216,RAEE (t),1.918
Villa d\'Anaunia,4022249,RAEE (t),40.634
Villa Lagarina,4022222,RAEE (t),37.109
Ville di Fiemme,4022254,RAEE (t),29.82
Volano,4022224,RAEE (t),29.905
Ziano di Fiemme,4022226,RAEE (t),18.176
Ala,4022001,RAEE (t),56.342
Albiano,4022002,RAEE (t),12.73
Aldeno,4022003,RAEE (t),26.997
Altavalle,4022235,RAEE (t),14.577
Altopiano Della Vigolana,4022236,RAEE (t),38.86
Amblar-Don,4022237,RAEE (t),6.59
Andalo,4022005,RAEE (t),29.422
Arco,4022006,RAEE (t),241.938
Avio,4022007,RAEE (t),31.143
Baselga di Pine,4022009,RAEE (t),44.902
Bedollo,4022011,RAEE (t),12.113
Besenello,4022013,RAEE (t),22.011
Bieno,4022015,RAEE (t),4.945
Bleggio Superiore,4022017,RAEE (t),18.461
Bocenago,4022018,RAEE (t),5.352
Bondone,4022021,RAEE (t),7.216
Borgo Chiese,4022238,RAEE (t),21.413
Borgo d\'Anaunia,4022252,RAEE (t),30.563
Borgo Lares,4022239,RAEE (t),7.994
Borgo Valsugana,4022022,RAEE (t),72.015
Brentonico,4022025,RAEE (t),33.185
Bresimo,4022026,RAEE (t),2.721
Caderzone Terme,4022029,RAEE (t),10.158
Calceranica al Lago,4022032,RAEE (t),14.839
Caldes,4022033,RAEE (t),9.067
Caldonazzo,4022034,RAEE (t),30.741
Calliano,4022035,RAEE (t),3.561
Campitello di Fassa,4022036,RAEE (t),13.65
Campodenno,4022037,RAEE (t),15.552
Canal San Bovo,4022038,RAEE (t),14.395
Canazei,4022039,RAEE (t),26.176
Capriana,4022040,RAEE (t),5.155
Carisolo,4022042,RAEE (t),19.218
Carzano,4022043,RAEE (t),5.393
Castel Condino,4022045,RAEE (t),2.558
Castel Ivano,4022240,RAEE (t),33.933
Castello Tesino,4022048,RAEE (t),14.601
Castello-Molina di Fiemme,4022047,RAEE (t),21.468
Castelnuovo,4022049,RAEE (t),11.094
Cavalese,4022050,RAEE (t),43.913
Cavareno,4022051,RAEE (t),13.946
Cavedago,4022052,RAEE (t),5.452
Cavedine,4022053,RAEE (t),25.706
Cavizzana,4022054,RAEE (t),1.971
Cembra Lisignago,4022241,RAEE (t),19.608
Cimone,4022058,RAEE (t),6.063
Cinte Tesino,4022059,RAEE (t),4.08
Cis,4022060,RAEE (t),3.325
Civezzano,4022061,RAEE (t),29.656
Cles,4022062,RAEE (t),73.537
Comano Terme,4022228,RAEE (t),36.815
Commezzadura,4022064,RAEE (t),11.836
Conta\',4022242,RAEE (t),14.887
Croviana,4022068,RAEE (t),5.738
Dambel,4022071,RAEE (t),4.502
Denno,4022074,RAEE (t),12.513
Dimaro Folgarida,4022233,RAEE (t),32.998
Drena,4022078,RAEE (t),7.62
Dro,4022079,RAEE (t),65.908
Fai della Paganella,4022081,RAEE (t),12.353
Fiave,4022083,RAEE (t),11.948
Fierozzo,4022085,RAEE (t),3.695
Folgaria,4022087,RAEE (t),47.565
Fornace,4022089,RAEE (t),9.736
Frassilongo,4022090,RAEE (t),2.974
Garniga Terme,4022091,RAEE (t),3.472
Giovo,4022092,RAEE (t),21.738
Giustino,4022093,RAEE (t),10.914
Grigno,4022095,RAEE (t),21.474
Imer,4022097,RAEE (t),11.216
Isera,4022098,RAEE (t),27.316
Lavarone,4022102,RAEE (t),21.581
Lavis,4022103,RAEE (t),76.819
Ledro,4022229,RAEE (t),91.199
Levico Terme,4022104,RAEE (t),71.789
Livo,4022106,RAEE (t),8.267
Lona-Lases,4022108,RAEE (t),7.38
Luserna,4022109,RAEE (t),4.725
Madruzzo,4022243,RAEE (t),24.825
Male,4022110,RAEE (t),19.737
Massimeno,4022112,RAEE (t),1.705
Mazzin,4022113,RAEE (t),5.86
Mezzana,4022114,RAEE (t),23.005
Mezzano,4022115,RAEE (t),15.772
Mezzocorona,4022116,RAEE (t),46.983
Mezzolombardo,4022117,RAEE (t),61.703
Moena,4022118,RAEE (t),27.62
Molveno,4022120,RAEE (t),19.08
Mori,4022123,RAEE (t),64.199
Nago-Torbole,4022124,RAEE (t),49.175
Nogaredo,4022127,RAEE (t),8.877
Nomi,4022128,RAEE (t),3.995
Novaledo,4022129,RAEE (t),11.368
Novella,4022253,RAEE (t),37.899
Ospedaletto,4022130,RAEE (t),8.106
Ossana,4022131,RAEE (t),9.42
Palu del Fersina,4022133,RAEE (t),1.341
Panchia ,4022134,RAEE (t),8.187
Peio,4022136,RAEE (t),23.098
Pellizzano,4022137,RAEE (t),8.261
Pelugo,4022138,RAEE (t),4.52
Pergine Valsugana,4022139,RAEE (t),160.097
Pieve Di Bono-Prezzo,4022234,RAEE (t),15.39
Pieve Tesino,4022142,RAEE (t),8.33
Pinzolo,4022143,RAEE (t),72.801
Pomarolo,4022144,RAEE (t),11.233
Porte Di Rendena,4022244,RAEE (t),19.419
Predaia,4022230,RAEE (t),76.821
Predazzo,4022147,RAEE (t),47.013
Primiero San Martino Di Castrozza,4022245,RAEE (t),67.962
Rabbi,4022150,RAEE (t),13.079
Riva del Garda,4022153,RAEE (t),258.418
Romeno,4022155,RAEE (t),16.259
Roncegno Terme,4022156,RAEE (t),30.956
Ronchi Valsugana,4022157,RAEE (t),4.997
Ronzo-Chienis,4022135,RAEE (t),6.382
Ronzone,4022159,RAEE (t),7.53
Rovere della Luna,4022160,RAEE (t),13.847
Rovereto,4022161,RAEE (t),305.089
Ruffre-Mendola,4022162,RAEE (t),6.048
Rumo,4022163,RAEE (t),9.383
Sagron Mis,4022164,RAEE (t),1.796
Samone,4022165,RAEE (t),5.75
San Lorenzo Dorsino,4022231,RAEE (t),20.581
San Michele all\'Adige,4022167,RAEE (t),33.489
Sant\'Orsola Terme,4022168,RAEE (t),8.235
Sanzeno,4022169,RAEE (t),9.588
Sarnonico,4022170,RAEE (t),9.885
Scurelle,4022171,RAEE (t),14.264
Segonzano,4022172,RAEE (t),12.622
Sella Giudicarie,4022246,RAEE (t),33.629
Sen Jan di Fassa-San Giovanni di Fassa,4022250,RAEE (t),33.053
Sfruz,4022173,RAEE (t),4.983
Soraga,4022176,RAEE (t),0.98
Sover,4022177,RAEE (t),6.92
Spiazzo,4022179,RAEE (t),18.312
Spormaggiore,4022180,RAEE (t),11.255
Sporminore,4022181,RAEE (t),7.337
Stenico,4022182,RAEE (t),15.188
Storo,4022183,RAEE (t),48.869
Strembo,4022184,RAEE (t),6.811
Telve,4022188,RAEE (t),19.975
Telve di Sopra,4022189,RAEE (t),6.129
Tenna,4022190,RAEE (t),8.454
Tenno,4022191,RAEE (t),28.087
Terragnolo,4022193,RAEE (t),3.024
Terre d\'Adige,4022251,RAEE (t),25.723
Terzolas,4022195,RAEE (t),5.553
Tesero,4022196,RAEE (t),29.248
Tione di Trento,4022199,RAEE (t),39.694
Ton,4022200,RAEE (t),13.711
Torcegno,4022202,RAEE (t),7.219
Trambileno,4022203,RAEE (t),4.01
Tre Ville,4022247,RAEE (t),20.699
Trento,4022205,RAEE (t),874.198
Valdaone,4022232,RAEE (t),13.185
Valfloriana,4022209,RAEE (t),3.992
Vallarsa,4022210,RAEE (t),7.534
Vallelaghi,4022248,RAEE (t),44.325
Vermiglio,4022213,RAEE (t),22.775
Vignola-Falesina,4022216,RAEE (t),1.632
Villa d\'Anaunia,4022249,RAEE (t),49.245
Villa Lagarina,4022222,RAEE (t),32.505
Ville di Fiemme,4022254,RAEE (t),39.523
Volano,4022224,RAEE (t),25.068
Ziano di Fiemme,4022226,RAEE (t),18.389
Ala,4022001,RAEE (t),50.195
Albiano,4022002,RAEE (t),8.987
Aldeno,4022003,RAEE (t),21.001
Altavalle,4022235,RAEE (t),9.266
Altopiano Della Vigolana,4022236,RAEE (t),32.615
Amblar-Don,4022237,RAEE (t),5.343
Andalo,4022005,RAEE (t),21.53
Arco,4022006,RAEE (t),94.203
Avio,4022007,RAEE (t),27.128
Baselga di Pine,4022009,RAEE (t),33.381
Bedollo,4022011,RAEE (t),9.764
Besenello,4022013,RAEE (t),18.282
Bieno,4022015,RAEE (t),4.378
Bleggio Superiore,4022017,RAEE (t),17.153
Bocenago,4022018,RAEE (t),4.534
Bondone,4022021,RAEE (t),7.763
Borgo Chiese,4022238,RAEE (t),21.819
Borgo d\'Anaunia,4022252,RAEE (t),26.764
Borgo Lares,4022239,RAEE (t),8.087
Borgo Valsugana,4022022,RAEE (t),67.308
Brentonico,4022025,RAEE (t),31.712
Bresimo,4022026,RAEE (t),2.446
Caderzone Terme,4022029,RAEE (t),8.476
Calceranica al Lago,4022032,RAEE (t),13.03
Caldes,4022033,RAEE (t),7.823
Caldonazzo,4022034,RAEE (t),26.386
Calliano,4022035,RAEE (t),3.903
Campitello di Fassa,4022036,RAEE (t),11.037
Campodenno,4022037,RAEE (t),14.713
Canal San Bovo,4022038,RAEE (t),12.469
Canazei,4022039,RAEE (t),25.818
Capriana,4022040,RAEE (t),5.302
Carisolo,4022042,RAEE (t),12.463
Carzano,4022043,RAEE (t),4.788
Castel Condino,4022045,RAEE (t),2.529
Castel Ivano,4022240,RAEE (t),30.682
Castello Tesino,4022048,RAEE (t),11.708
Castello-Molina di Fiemme,4022047,RAEE (t),22.315
Castelnuovo,4022049,RAEE (t),10.209
Cavalese,4022050,RAEE (t),44.681
Cavareno,4022051,RAEE (t),11.447
Cavedago,4022052,RAEE (t),6.175
Cavedine,4022053,RAEE (t),20.858
Cavizzana,4022054,RAEE (t),1.32
Cembra Lisignago,4022241,RAEE (t),25.037
Cimone,4022058,RAEE (t),4.758
Cinte Tesino,4022059,RAEE (t),3.456
Cis,4022060,RAEE (t),2.954
Civezzano,4022061,RAEE (t),25.909
Cles,4022062,RAEE (t),70.651
Comano Terme,4022228,RAEE (t),35.385
Commezzadura,4022064,RAEE (t),16.427
Conta\',4022242,RAEE (t),13.913
Croviana,4022068,RAEE (t),6.504
Dambel,4022071,RAEE (t),4.135
Denno,4022074,RAEE (t),12.236
Dimaro Folgarida,4022233,RAEE (t),41.488
Drena,4022078,RAEE (t),4.4
Dro,4022079,RAEE (t),37.505
Fai della Paganella,4022081,RAEE (t),11.138
Fiave,4022083,RAEE (t),11.885
Fierozzo,4022085,RAEE (t),2.971
Folgaria,4022087,RAEE (t),36.491
Fornace,4022089,RAEE (t),8.36
Frassilongo,4022090,RAEE (t),2.168
Garniga Terme,4022091,RAEE (t),2.577
Giovo,4022092,RAEE (t),21.823
Giustino,4022093,RAEE (t),10.046
Grigno,4022095,RAEE (t),19.011
Imer,4022097,RAEE (t),10.012
Isera,4022098,RAEE (t),20.599
Lavarone,4022102,RAEE (t),17.023
Lavis,4022103,RAEE (t),70.186
Ledro,4022229,RAEE (t),49.312
Levico Terme,4022104,RAEE (t),60.781
Livo,4022106,RAEE (t),7.351
Lona-Lases,4022108,RAEE (t),5.238
Luserna,4022109,RAEE (t),3.355
Madruzzo,4022243,RAEE (t),22.028
Male,4022110,RAEE (t),26.065
Massimeno,4022112,RAEE (t),1.593
Mazzin,4022113,RAEE (t),5.797
Mezzana,4022114,RAEE (t),14.124
Mezzano,4022115,RAEE (t),13.384
Mezzocorona,4022116,RAEE (t),43.08
Mezzolombardo,4022117,RAEE (t),77.125
Moena,4022118,RAEE (t),29.705
Molveno,4022120,RAEE (t),16.205
Mori,4022123,RAEE (t),49.442
Nago-Torbole,4022124,RAEE (t),15.527
Nogaredo,4022127,RAEE (t),5.771
Nomi,4022128,RAEE (t),3.111
Novaledo,4022129,RAEE (t),10.386
Novella,4022253,RAEE (t),35.432
Ospedaletto,4022130,RAEE (t),7.423
Ossana,4022131,RAEE (t),10.18
Palu del Fersina,4022133,RAEE (t),1.035
Panchia ,4022134,RAEE (t),8.187
Peio,4022136,RAEE (t),19.374
Pellizzano,4022137,RAEE (t),14.247
Pelugo,4022138,RAEE (t),4.589
Pergine Valsugana,4022139,RAEE (t),138.869
Pieve Di Bono-Prezzo,4022234,RAEE (t),16.24
Pieve Tesino,4022142,RAEE (t),7.423
Pinzolo,4022143,RAEE (t),63.258
Pomarolo,4022144,RAEE (t),8.193
Porte Di Rendena,4022244,RAEE (t),20.671
Predaia,4022230,RAEE (t),68.691
Predazzo,4022147,RAEE (t),47.376
Primiero San Martino Di Castrozza,4022245,RAEE (t),58.565
Rabbi,4022150,RAEE (t),13.3
Riva del Garda,4022153,RAEE (t),92.521
Romeno,4022155,RAEE (t),14.528
Roncegno Terme,4022156,RAEE (t),28.288
Ronchi Valsugana,4022157,RAEE (t),4.229
Ronzo-Chienis,4022135,RAEE (t),3.385
Ronzone,4022159,RAEE (t),5.265
Rovere della Luna,4022160,RAEE (t),9.511
Rovereto,4022161,RAEE (t),277.261
Ruffre-Mendola,4022162,RAEE (t),4.358
Rumo,4022163,RAEE (t),8.239
Sagron Mis,4022164,RAEE (t),1.599
Samone,4022165,RAEE (t),5.085
San Lorenzo Dorsino,4022231,RAEE (t),19.647
San Michele all\'Adige,4022167,RAEE (t),19.686
Sant\'Orsola Terme,4022168,RAEE (t),7.058
Sanzeno,4022169,RAEE (t),9.067
Sarnonico,4022170,RAEE (t),8.736
Scurelle,4022171,RAEE (t),12.649
Segonzano,4022172,RAEE (t),15.099
Sella Giudicarie,4022246,RAEE (t),33.391
Sen Jan di Fassa-San Giovanni di Fassa,4022250,RAEE (t),31.456
Sfruz,4022173,RAEE (t),3.822
Soraga,4022176,RAEE (t),8.173
Sover,4022177,RAEE (t),8.383
Spiazzo,4022179,RAEE (t),14.657
Spormaggiore,4022180,RAEE (t),11.59
Sporminore,4022181,RAEE (t),7.011
Stenico,4022182,RAEE (t),14.424
Storo,4022183,RAEE (t),50.298
Strembo,4022184,RAEE (t),6.85
Telve,4022188,RAEE (t),18.032
Telve di Sopra,4022189,RAEE (t),5.737
Tenna,4022190,RAEE (t),6.793
Tenno,4022191,RAEE (t),12.349
Terragnolo,4022193,RAEE (t),1.145
Terre d\'Adige,4022251,RAEE (t),20.583
Terzolas,4022195,RAEE (t),6.13
Tesero,4022196,RAEE (t),32.584
Tione di Trento,4022199,RAEE (t),41.188
Ton,4022200,RAEE (t),12.617
Torcegno,4022202,RAEE (t),6.641
Trambileno,4022203,RAEE (t),2.651
Tre Ville,4022247,RAEE (t),19.269
Trento,4022205,RAEE (t),778.95
Valdaone,4022232,RAEE (t),13.188
Valfloriana,4022209,RAEE (t),4.258
Vallarsa,4022210,RAEE (t),6.413
Vallelaghi,4022248,RAEE (t),36.326
Vermiglio,4022213,RAEE (t),18.652
Vignola-Falesina,4022216,RAEE (t),1.348
Villa d\'Anaunia,4022249,RAEE (t),46.46
Villa Lagarina,4022222,RAEE (t),23.596
Ville di Fiemme,4022254,RAEE (t),26.928
Volano,4022224,RAEE (t),24.059
Ziano di Fiemme,4022226,RAEE (t),17.2
Ala,4022001,Selettiva (t),9.771
Albiano,4022002,Selettiva (t),3.789
Aldeno,4022003,Selettiva (t),5.041
Amblar,4022004,Selettiva (t),0.913
Andalo,4022005,Selettiva (t),3.206
Arco,4022006,Selettiva (t),18.764
Avio,4022007,Selettiva (t),12.437
Baselga di Pine,4022009,Selettiva (t),13.082
Bedollo,4022011,Selettiva (t),4.023
Besenello,4022013,Selettiva (t),5.023
Bieno,4022015,Selettiva (t),1.422
Bleggio Superiore,4022017,Selettiva (t),2.813
Bocenago,4022018,Selettiva (t),0.823
Bolbeno,4022019,Selettiva (t),0.558
Bondo,4022020,Selettiva (t),1.168
Bondone,4022021,Selettiva (t),1.122
Borgo Valsugana,4022022,Selettiva (t),20.57
Bosentino,4022023,Selettiva (t),2.249
Breguzzo,4022024,Selettiva (t),1.119
Brentonico,4022025,Selettiva (t),10.562
Bresimo,4022026,Selettiva (t),0.802
Brez,4022027,Selettiva (t),2.479
Brione,4022028,Selettiva (t),0.2
Caderzone Terme,4022029,Selettiva (t),1.732
Cagno,4022030,Selettiva (t),1.087
Calavino,4022031,Selettiva (t),2.339
Calceranica al Lago,4022032,Selettiva (t),5.172
Caldes,4022033,Selettiva (t),2.091
Caldonazzo,4022034,Selettiva (t),10.474
Calliano,4022035,Selettiva (t),1.157
Campitello di Fassa,4022036,Selettiva (t),1.157
Campodenno,4022037,Selettiva (t),4.669
Canal San Bovo,4022038,Selettiva (t),4.137
Canazei,4022039,Selettiva (t),6.034
Capriana,4022040,Selettiva (t),1.492
Carano,4022041,Selettiva (t),4.657
Carisolo,4022042,Selettiva (t),3.28
Carzano,4022043,Selettiva (t),1.585
Castel Condino,4022045,Selettiva (t),0.388
Castelfondo,4022046,Selettiva (t),2.154
Castello Tesino,4022048,Selettiva (t),4.594
Castello-Molina di Fiemme,4022047,Selettiva (t),6.273
Castelnuovo,4022049,Selettiva (t),3.059
Cavalese,4022050,Selettiva (t),13.18
Cavareno,4022051,Selettiva (t),4.234
Cavedago,4022052,Selettiva (t),0.523
Cavedine,4022053,Selettiva (t),4.357
Cavizzana,4022054,Selettiva (t),0.429
Cembra,4022055,Selettiva (t),2.966
Centa San Nicolo,4022056,Selettiva (t),1.787
Cimego,4022057,Selettiva (t),0.67
Cimone,4022058,Selettiva (t),1.635
Cinte Tesino,4022059,Selettiva (t),1.247
Cis,4022060,Selettiva (t),0.989
Civezzano,4022061,Selettiva (t),8.574
Cles,4022062,Selettiva (t),21.76
Cloz,4022063,Selettiva (t),2.25
Comano Terme,4022228,Selettiva (t),5.986
Commezzadura,4022064,Selettiva (t),1.789
Condino,4022066,Selettiva (t),2.383
Croviana,4022068,Selettiva (t),2.485
Cunevo,4022069,Selettiva (t),2.039
Daiano,4022070,Selettiva (t),1.867
Dambel,4022071,Selettiva (t),1.373
Dare,4022073,Selettiva (t),0.496
Denno,4022074,Selettiva (t),4.039
Dimaro,4022075,Selettiva (t),2.029
Don,4022076,Selettiva (t),1.095
Drena,4022078,Selettiva (t),0.57
Dro,4022079,Selettiva (t),4.93
Faedo,4022080,Selettiva (t),1.185
Fai della Paganella,4022081,Selettiva (t),2.036
Faver,4022082,Selettiva (t),1.326
Fiave,4022083,Selettiva (t),1.877
Fiera di Primiero,4022084,Selettiva (t),1.626
Fierozzo,4022085,Selettiva (t),0.989
Flavon,4022086,Selettiva (t),1.761
Folgaria,4022087,Selettiva (t),10.33
Fondo,4022088,Selettiva (t),5.42
Fornace,4022089,Selettiva (t),2.919
Frassilongo,4022090,Selettiva (t),0.94
Garniga Terme,4022091,Selettiva (t),0.959
Giovo,4022092,Selettiva (t),4.031
Giustino,4022093,Selettiva (t),1.865
Grauno,4022094,Selettiva (t),0.663
Grigno,4022095,Selettiva (t),6.87
Grumes,4022096,Selettiva (t),0.842
Imer,4022097,Selettiva (t),3.009
Isera,4022098,Selettiva (t),5.909
Ivano-Fracena,4022099,Selettiva (t),1.007
Lardaro,4022100,Selettiva (t),0.405
Lasino,4022101,Selettiva (t),2.02
Lavarone,4022102,Selettiva (t),5.886
Lavis,4022103,Selettiva (t),28.126
Ledro,4022229,Selettiva (t),7.489
Levico Terme,4022104,Selettiva (t),13.866
Lisignago,4022105,Selettiva (t),1.151
Livo,4022106,Selettiva (t),2.7
Lona-Lases,4022108,Selettiva (t),2.157
Luserna,4022109,Selettiva (t),1.927
Male,4022110,Selettiva (t),2.549
Malosco,4022111,Selettiva (t),2.105
Massimeno,4022112,Selettiva (t),0.22
Mazzin,4022113,Selettiva (t),1.38
Mezzana,4022114,Selettiva (t),2.752
Mezzano,4022115,Selettiva (t),4.265
Mezzocorona,4022116,Selettiva (t),10.937
Mezzolombardo,4022117,Selettiva (t),11.577
Moena,4022118,Selettiva (t),5.537
Molveno,4022120,Selettiva (t),2.485
Monclassico,4022121,Selettiva (t),2.321
Montagne,4022122,Selettiva (t),0.4
Mori,4022123,Selettiva (t),19.89
Nago-Torbole,4022124,Selettiva (t),4.768
Nanno,4022125,Selettiva (t),1.845
Nave San Rocco,4022126,Selettiva (t),1.842
Nogaredo,4022127,Selettiva (t),3.512
Nomi,4022128,Selettiva (t),2.858
Novaledo,4022129,Selettiva (t),3.169
Ospedaletto,4022130,Selettiva (t),2.496
Ossana,4022131,Selettiva (t),3.814
Padergnone,4022132,Selettiva (t),1.161
Palu del Fersina,4022133,Selettiva (t),0.526
Panchia ,4022134,Selettiva (t),2.388
Peio,4022136,Selettiva (t),4.195
Pellizzano,4022137,Selettiva (t),2.42
Pelugo,4022138,Selettiva (t),0.67
Pergine Valsugana,4022139,Selettiva (t),53.111
Pieve di Bono,4022140,Selettiva (t),2.055
Pieve Tesino,4022142,Selettiva (t),2.555
Pinzolo,4022143,Selettiva (t),12.697
Pomarolo,4022144,Selettiva (t),4.747
Pozza di Fassa,4022145,Selettiva (t),5.625
Predaia,4022230,Selettiva (t),23.083
Predazzo,4022147,Selettiva (t),13.888
Preore,4022148,Selettiva (t),0.66
Prezzo,4022149,Selettiva (t),0.302
Rabbi,4022150,Selettiva (t),3.051
Ragoli,4022151,Selettiva (t),2.426
Revo,4022152,Selettiva (t),3.873
Riva del Garda,4022153,Selettiva (t),20.647
Romallo,4022154,Selettiva (t),1.953
Romeno,4022155,Selettiva (t),5.042
Roncegno Terme,4022156,Selettiva (t),9.407
Ronchi Valsugana,4022157,Selettiva (t),1.357
Roncone,4022158,Selettiva (t),2.672
Ronzo-Chienis,4022135,Selettiva (t),2.327
Ronzone,4022159,Selettiva (t),2.528
Rovere della Luna,4022160,Selettiva (t),3.641
Rovereto,4022161,Selettiva (t),71.41
Ruffre-Mendola,4022162,Selettiva (t),1.94
Rumo,4022163,Selettiva (t),2.929
Sagron Mis,4022164,Selettiva (t),0.577
Samone,4022165,Selettiva (t),1.617
San Lorenzo Dorsino,4022231,Selettiva (t),3.101
San Michele all\'Adige,4022167,Selettiva (t),4.32
