Comune,Istat,Waste type,Quantity
Nanno,4022125,Frazione organica (t),"56,992"
Nave San Rocco,4022126,Frazione organica (t),"151,218"
Nogaredo,4022127,Frazione organica (t),"242,058"
Nomi,4022128,Frazione organica (t),"148,188"
Novaledo,4022129,Frazione organica (t),"33,287"
Ospedaletto,4022130,Frazione organica (t),"31,453"
Ossana,4022131,Frazione organica (t),"123,756"
Padergnone,4022132,Frazione organica (t),"85,223"
Palu del Fersina,4022133,Frazione organica (t),"21,016"
Panchia ,4022134,Frazione organica (t),"147,378"
Peio,4022136,Frazione organica (t),"200,996"
Pellizzano,4022137,Frazione organica (t),"118,119"
Pelugo,4022138,Frazione organica (t),"45,216"
Pergine Valsugana,4022139,Frazione organica (t),"3.961,396"
Pieve di Bono,4022140,Frazione organica (t),"138,839"
Pieve Tesino,4022142,Frazione organica (t),"41,717"
Pinzolo,4022143,Frazione organica (t),"857,928"
Pomarolo,4022144,Frazione organica (t),"214,453"
Pozza di Fassa,4022145,Frazione organica (t),"423,923"
Predaia,4022230,Frazione organica (t),"712,873"
Predazzo,4022147,Frazione organica (t),"856,723"
Preore,4022148,Frazione organica (t),"44,577"
Prezzo,4022149,Frazione organica (t),"20,427"
Rabbi,4022150,Frazione organica (t),"123,814"
Ragoli,4022151,Frazione organica (t),"163,947"
Revo,4022152,Frazione organica (t),"119,607"
Riva del Garda,4022153,Frazione organica (t),"2.324,704"
Romallo,4022154,Frazione organica (t),"60,327"
Romeno,4022155,Frazione organica (t),"155,726"
Roncegno Terme,4022156,Frazione organica (t),"154,452"
Ronchi Valsugana,4022157,Frazione organica (t),"22,664"
Roncone,4022158,Frazione organica (t),"180,544"
Ronzo-Chienis,4022135,Frazione organica (t),"140,816"
Ronzone,4022159,Frazione organica (t),"78,054"
Rovere della Luna,4022160,Frazione organica (t),"158,028"
Rovereto,4022161,Frazione organica (t),"4.898,288"
Ruffre-Mendola,4022162,Frazione organica (t),"59,851"
Rumo,4022163,Frazione organica (t),"90,443"
Sagron Mis,4022164,Frazione organica (t),"19,834"
Samone,4022165,Frazione organica (t),"35,719"
San Lorenzo Dorsino,4022231,Frazione organica (t),"209,589"
San Michele all\'Adige,4022167,Frazione organica (t),"405,182"
Sant\'Orsola Terme,4022168,Frazione organica (t),"115,251"
Sanzeno,4022169,Frazione organica (t),"91,777"
Sarnonico,4022170,Frazione organica (t),"91,968"
Scurelle,4022171,Frazione organica (t),"315,857"
Segonzano,4022172,Frazione organica (t),"101,334"
Sfruz,4022173,Frazione organica (t),"45,365"
Siror,4022174,Frazione organica (t),"232,571"
Soraga,4022176,Frazione organica (t),"95,692"
Sover,4022177,Frazione organica (t),"61,604"
Spera,4022178,Frazione organica (t),"55,279"
Spiazzo,4022179,Frazione organica (t),"194,161"
Spormaggiore,4022180,Frazione organica (t),"147,887"
Sporminore,4022181,Frazione organica (t),"67,570"
Stenico,4022182,Frazione organica (t),"160,968"
Storo,4022183,Frazione organica (t),"501,842"
Strembo,4022184,Frazione organica (t),"91,921"
Strigno,4022185,Frazione organica (t),"111,415"
Tassullo,4022187,Frazione organica (t),"179,458"
Telve,4022188,Frazione organica (t),"174,355"
Telve di Sopra,4022189,Frazione organica (t),"28,072"
Tenna,4022190,Frazione organica (t),"126,780"
Tenno,4022191,Frazione organica (t),"247,484"
Terlago,4022192,Frazione organica (t),"227,127"
Terragnolo,4022193,Frazione organica (t),"37,557"
Terres,4022194,Frazione organica (t),"31,640"
Terzolas,4022195,Frazione organica (t),"65,969"
Tesero,4022196,Frazione organica (t),"542,152"
Tione di Trento,4022199,Frazione organica (t),"393,111"
Ton,4022200,Frazione organica (t),"128,469"
Tonadico,4022201,Frazione organica (t),"178,926"
Torcegno,4022202,Frazione organica (t),"38,807"
Trambileno,4022203,Frazione organica (t),"119,514"
Transacqua,4022204,Frazione organica (t),"227,131"
Trento,4022205,Frazione organica (t),"15.972,080"
Tuenno,4022207,Frazione organica (t),"234,543"
Valda,4022208,Frazione organica (t),"10,813"
Valdaone,4022232,Frazione organica (t),"139,370"
Valfloriana,4022209,Frazione organica (t),"76,132"
Vallarsa,4022210,Frazione organica (t),"42,939"
Varena,4022211,Frazione organica (t),"165,835"
Vattaro,4022212,Frazione organica (t),"130,734"
Vermiglio,4022213,Frazione organica (t),"253,268"
Vezzano,4022215,Frazione organica (t),"193,102"
Vignola-Falesina,4022216,Frazione organica (t),"21,492"
Vigo di Fassa,4022217,Frazione organica (t),"218,761"
Vigo Rendena,4022220,Frazione organica (t),"62,771"
Vigolo Vattaro,4022219,Frazione organica (t),"236,295"
Villa Agnedo,4022221,Frazione organica (t),"61,740"
Villa Lagarina,4022222,Frazione organica (t),"370,401"
Villa Rendena,4022223,Frazione organica (t),"113,518"
Volano,4022224,Frazione organica (t),"396,149"
Zambana,4022225,Frazione organica (t),"208,586"
Ziano di Fiemme,4022226,Frazione organica (t),"330,992"
Zuclo,4022227,Frazione organica (t),"40,641"
Ala,4022001,Frazione organica (t),"936,562"
Albiano,4022002,Frazione organica (t),"181,140"
Aldeno,4022003,Frazione organica (t),"373,587"
Altavalle,4022235,Frazione organica (t),"217,393"
Altopiano Della Vigolana,4022236,Frazione organica (t),"490,557"
Amblar-Don,4022237,Frazione organica (t),"65,271"
Andalo,4022005,Frazione organica (t),"485,049"
Arco,4022006,Frazione organica (t),"2.309,430"
Avio,4022007,Frazione organica (t),"413,374"
Baselga di Pine,4022009,Frazione organica (t),"654,810"
Bedollo,4022011,Frazione organica (t),"184,898"
Besenello,4022013,Frazione organica (t),"233,046"
Bieno,4022015,Frazione organica (t),"33,003"
Bleggio Superiore,4022017,Frazione organica (t),"175,132"
Bocenago,4022018,Frazione organica (t),"50,122"
Bondone,4022021,Frazione organica (t),"71,153"
Borgo Chiese,4022238,Frazione organica (t),"198,914"
Borgo Lares,4022239,Frazione organica (t),"73,708"
Borgo Valsugana,4022022,Frazione organica (t),"504,875"
Brentonico,4022025,Frazione organica (t),"461,419"
Bresimo,4022026,Frazione organica (t),"26,539"
Brez,4022027,Frazione organica (t),"83,407"
Caderzone Terme,4022029,Frazione organica (t),"105,453"
Cagno,4022030,Frazione organica (t),"35,761"
Calceranica al Lago,4022032,Frazione organica (t),"246,361"
Caldes,4022033,Frazione organica (t),"50,343"
Caldonazzo,4022034,Frazione organica (t),"488,716"
Calliano,4022035,Frazione organica (t),"235,832"
Campitello di Fassa,4022036,Frazione organica (t),"247,703"
Campodenno,4022037,Frazione organica (t),"156,465"
Canal San Bovo,4022038,Frazione organica (t),"190,458"
Canazei,4022039,Frazione organica (t),"676,402"
Capriana,4022040,Frazione organica (t),"97,846"
Carano,4022041,Frazione organica (t),"307,289"
Carisolo,4022042,Frazione organica (t),"205,106"
Carzano,4022043,Frazione organica (t),"36,805"
Castel Condino,4022045,Frazione organica (t),"23,980"
Castel Ivano,4022240,Frazione organica (t),"240,705"
Castelfondo,4022046,Frazione organica (t),"70,394"
Castello Tesino,4022048,Frazione organica (t),"107,977"
Castello-Molina di Fiemme,4022047,Frazione organica (t),"411,214"
Castelnuovo,4022049,Frazione organica (t),"75,906"
Cavalese,4022050,Frazione organica (t),"874,681"
Cavareno,4022051,Frazione organica (t),"143,042"
Cavedago,4022052,Frazione organica (t),"81,231"
Cavedine,4022053,Frazione organica (t),"368,918"
Cavizzana,4022054,Frazione organica (t),"12,731"
Cembra Lisignago,4022241,Frazione organica (t),"300,467"
Cimone,4022058,Frazione organica (t),"69,224"
Cinte Tesino,4022059,Frazione organica (t),"29,128"
Cis,4022060,Frazione organica (t),"31,969"
Civezzano,4022061,Frazione organica (t),"429,769"
Cles,4022062,Frazione organica (t),"720,130"
Cloz,4022063,Frazione organica (t),"73,981"
Comano Terme,4022228,Frazione organica (t),"375,619"
Commezzadura,4022064,Frazione organica (t),"179,824"
Conta\',4022242,Frazione organica (t),"154,621"
Croviana,4022068,Frazione organica (t),"74,851"
Daiano,4022070,Frazione organica (t),"124,913"
Dambel,4022071,Frazione organica (t),"45,392"
